HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Date,Season,IsPlayoffs,IsOvertime,Bookmaker,HomeOdd,DrawOdd,AwayOdd,IsValid
Lipetsk,T. Moscow,1,1,3/6/2005 2:00:00 PM,2004/2005,False,False,bet-at-home,3.5,3.2,1.85,True
Lipetsk,T. Moscow,1,1,3/6/2005 2:00:00 PM,2004/2005,False,False,eFortuna.pl,3.35,3.2,2,True
Lipetsk,T. Moscow,1,1,3/6/2005 2:00:00 PM,2004/2005,False,False,iFortuna.cz,3.35,3.2,2,True
Lipetsk,T. Moscow,1,1,3/6/2005 2:00:00 PM,2004/2005,False,False,Tipsport.cz,2.9,3.2,2.15,True
Dynamo Moscow,FK Krylya Sovetov Samara,1,1,3/9/2005 2:00:00 PM,2004/2005,False,False,bet-at-home,2.1,3.1,2.9,True
Dynamo Moscow,FK Krylya Sovetov Samara,1,1,3/9/2005 2:00:00 PM,2004/2005,False,False,Chance.cz,2.25,3,3,True
Dynamo Moscow,FK Krylya Sovetov Samara,1,1,3/9/2005 2:00:00 PM,2004/2005,False,False,eFortuna.pl,2.2,3.1,3,True
Dynamo Moscow,FK Krylya Sovetov Samara,1,1,3/9/2005 2:00:00 PM,2004/2005,False,False,iFortuna.cz,2.2,3.1,3,True
Dynamo Moscow,FK Krylya Sovetov Samara,1,1,3/9/2005 2:00:00 PM,2004/2005,False,False,Tipsport.cz,2.2,3.1,2.95,True
FK Rostov,Saturn Ramenskoye,1,2,3/9/2005 5:00:00 PM,2004/2005,False,False,10Bet,2.45,2.95,2.66,True
FK Rostov,Saturn Ramenskoye,1,2,3/9/2005 5:00:00 PM,2004/2005,False,False,bet-at-home,2.4,3,2.54,True
FK Rostov,Saturn Ramenskoye,1,2,3/9/2005 5:00:00 PM,2004/2005,False,False,Chance.cz,2.5,2.8,2.8,True
FK Rostov,Saturn Ramenskoye,1,2,3/9/2005 5:00:00 PM,2004/2005,False,False,eFortuna.pl,2.5,3.1,2.59,True
FK Rostov,Saturn Ramenskoye,1,2,3/9/2005 5:00:00 PM,2004/2005,False,False,iFortuna.cz,2.5,3.1,2.59,True
FK Rostov,Saturn Ramenskoye,1,2,3/9/2005 5:00:00 PM,2004/2005,False,False,Tipsport.cz,2.5,2.9,2.7,True
Zenit Petersburg,Kuban,0,0,3/9/2005 7:00:00 PM,2004/2005,False,False,10Bet,1.28,4.2,7.46,True
Zenit Petersburg,Kuban,0,0,3/9/2005 7:00:00 PM,2004/2005,False,False,bet-at-home,1.25,4.7,8,True
Zenit Petersburg,Kuban,0,0,3/9/2005 7:00:00 PM,2004/2005,False,False,Chance.cz,1.33,4.4,7.6,True
Zenit Petersburg,Kuban,0,0,3/9/2005 7:00:00 PM,2004/2005,False,False,eFortuna.pl,1.3,4.8,7.4,True
Zenit Petersburg,Kuban,0,0,3/9/2005 7:00:00 PM,2004/2005,False,False,iFortuna.cz,1.3,4.8,7.4,True
Zenit Petersburg,Kuban,0,0,3/9/2005 7:00:00 PM,2004/2005,False,False,Tipsport.cz,1.3,4.9,7.2,True
FK Krylya Sovetov Samara,Dynamo Moscow,1,0,3/16/2005 3:00:00 PM,2004/2005,False,False,bet-at-home,1.8,3.2,3.7,True
FK Krylya Sovetov Samara,Dynamo Moscow,1,0,3/16/2005 3:00:00 PM,2004/2005,False,False,Chance.cz,1.85,3.25,3.8,True
FK Krylya Sovetov Samara,Dynamo Moscow,1,0,3/16/2005 3:00:00 PM,2004/2005,False,False,eFortuna.pl,1.88,3.3,3.65,True
FK Krylya Sovetov Samara,Dynamo Moscow,1,0,3/16/2005 3:00:00 PM,2004/2005,False,False,iFortuna.cz,1.88,3.3,3.65,True
FK Krylya Sovetov Samara,Dynamo Moscow,1,0,3/16/2005 3:00:00 PM,2004/2005,False,False,Tipsport.cz,1.88,3.2,3.7,True
Kuban,Zenit Petersburg,0,1,3/16/2005 3:00:00 PM,2004/2005,False,False,bet-at-home,5,3.6,1.5,True
Kuban,Zenit Petersburg,0,1,3/16/2005 3:00:00 PM,2004/2005,False,False,eFortuna.pl,3.65,3.3,1.88,True
Kuban,Zenit Petersburg,0,1,3/16/2005 3:00:00 PM,2004/2005,False,False,iFortuna.cz,3.65,3.3,1.88,True
Kuban,Zenit Petersburg,0,1,3/16/2005 3:00:00 PM,2004/2005,False,False,Tipsport.cz,3.7,3.2,1.88,True
Saturn Ramenskoye,FK Rostov,0,0,3/16/2005 6:00:00 PM,2004/2005,False,False,bet-at-home,1.5,3.6,5,True
Saturn Ramenskoye,FK Rostov,0,0,3/16/2005 6:00:00 PM,2004/2005,False,False,eFortuna.pl,1.51,3.7,5.7,True
Saturn Ramenskoye,FK Rostov,0,0,3/16/2005 6:00:00 PM,2004/2005,False,False,iFortuna.cz,1.51,3.7,5.7,True
Saturn Ramenskoye,FK Rostov,0,0,3/16/2005 6:00:00 PM,2004/2005,False,False,Tipsport.cz,1.5,3.75,5.5,True
