sport,country,league,winMu,winSigma,winCountMu,loseMu,loseSigma,loseCountMu
soccer,argentina,superliga,3.104993,0.054804,39.34,3.181187,0.070948,10.98
soccer,azerbaijan,premier-league,3.164948,0.061876,9.8,3.200272,0.068069,1.46
soccer,belgium,jupiler-league,3.219234,0.039843,31.76,3.161046,0.076251,3.82
soccer,brazil,serie-a,3.171397,0.051971,48.56,3.160611,0.069723,3.64
soccer,china,super-league,3.185714,0.055288,18.52,3.161033,0.083875,3.42
soccer,czech-republic,1-liga,3.172763,0.052764,23,3.166951,0.078819,3.22
soccer,denmark,superliga,3.208232,0.042256,22.98,3.173173,0.071452,3.38
soccer,england,championship,3.18248,0.048916,74.58,3.143176,0.0845,8.88
soccer,england,premier-league,3.161014,0.054837,35.08,3.167457,0.076317,4.58
soccer,europe,champions-league,3.176874,0.061293,14.32,3.151989,0.088485,2.54
soccer,europe,europa-league,3.186209,0.057434,34.9,3.168471,0.082317,5.46
soccer,finland,veikkausliiga,3.187435,0.054724,20.08,3.172812,0.070183,2.76
soccer,france,ligue-1,3.117391,0.063307,34.68,3.180272,0.069889,8.1
soccer,germany,bundesliga,3.211802,0.048127,29.66,3.158294,0.073077,3.68
soccer,greece,super-league,3.085057,0.070559,20.22,3.202078,0.075269,4.24
soccer,indonesia,liga-1,3.233739,0.045683,10.52,3.159204,0.077103,1.06
soccer,iran,persian-gulf-pro-league,3.115186,0.079485,15.7,3.216136,0.059059,5.38
soccer,israel,ligat-ha-al,3.166349,0.049972,22.5,3.183183,0.068365,3.38
soccer,italy,serie-a,3.14516,0.064726,32.26,3.176666,0.074065,6.44
soccer,japan,emperors-cup,3.199333,0.057156,3,3.165532,0.08668,0.48
soccer,japan,j-league,3.212722,0.046796,32.32,3.150193,0.082377,5.64
soccer,kazakhstan,premier-league,3.171155,0.06136,11.36,3.219742,0.055926,1.7
soccer,malaysia,super-league,3.23945,0.043437,5.8,3.169109,0.076936,0.84
soccer,netherlands,eredivisie,3.248864,0.034148,19.22,3.153388,0.075917,3.84
soccer,norway,eliteserien,3.240321,0.036627,21.54,3.141027,0.081612,2.58
soccer,poland,ekstraklasa,3.158684,0.045799,31.56,3.166378,0.077747,4.56
soccer,portugal,primeira-liga,3.131785,0.053032,20.96,3.184233,0.063313,4.1
soccer,romania,liga-1,3.142563,0.056726,26,3.177755,0.072986,5.18
soccer,russia,premier-league,3.130924,0.071099,20.58,3.189814,0.067451,3.84
soccer,russia,russian-cup,3.181965,0.077756,3.3,3.20119,0.059681,0.48
soccer,scotland,premiership,3.19169,0.043419,24,3.177991,0.071645,2.26
soccer,serbia,super-liga,3.127229,0.061882,21.56,3.18325,0.085133,2.54
soccer,slovakia,fortuna-liga,3.182062,0.047513,17.78,3.157441,0.080038,2.36
soccer,south-korea,k-league-1,3.179028,0.050851,26.46,3.155227,0.078694,5.2
soccer,spain,laliga,3.175779,0.054418,37.44,3.175423,0.068896,3.78
soccer,sweden,allsvenskan,3.209067,0.045393,23.36,3.173816,0.076773,3.52
soccer,switzerland,super-league,3.226265,0.042611,15.88,3.16369,0.080528,3.16
soccer,turkey,super-lig,3.187791,0.047497,32.98,3.156798,0.072854,3.68
soccer,usa,mls,3.198494,0.047991,43.42,3.142862,0.085487,1.98
soccer,wales,premier-league,3.256393,0.034367,9.7,3.155323,0.088308,3.12
