Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly
american-football,canada,cfl,1.30,83,1.2582,0.8313,0.0445,0.1780
american-football,canada,cfl,1.40,101,1.3550,0.7624,0.0323,0.0931
american-football,usa,afl,1.10,67,1.0584,0.9552,0.0131,0.1880
american-football,usa,afl,1.20,50,1.1458,0.9400,0.0786,0.5285
american-football,usa,afl,1.30,24,1.2404,0.9167,0.1379,0.5700
american-football,usa,afl,1.40,25,1.3544,0.9200,0.2440,0.6943
american-football,usa,ncaa,1.40,463,1.3490,0.7689,0.0348,0.1067
american-football,usa,ncaa,1.50,272,1.4588,0.7574,0.1033,0.2285
american-football,usa,nfl,1.10,110,1.0811,0.9364,0.0117,0.1516
american-football,usa,nfl,1.20,220,1.1536,0.9091,0.0501,0.3174
baseball,europe,european-championship,1.10,29,1.0497,0.9655,0.0141,0.2711
baseball,italy,ibl,1.20,35,1.1617,0.9714,0.1291,0.7948
baseball,mexico,lmb,1.20,22,1.1950,1.0000,0.1950,1.0000
baseball,mexico,lmb,1.50,363,1.4600,0.7576,0.1042,0.2306
baseball,netherlands,hoofdklasse,1.30,45,1.2658,0.8444,0.0662,0.2592
baseball,puerto-rico,prbl,1.50,30,1.4680,0.8000,0.1740,0.3726
baseball,south-korea,kbo,1.30,22,1.2850,1.0000,0.2850,1.0000
baseball,south-korea,kbo,1.40,99,1.3667,0.8889,0.2133,0.5859
baseball,usa,mlb,1.30,33,1.2833,1.0000,0.2833,1.0000
baseball,usa,mlb,1.40,122,1.3838,0.8197,0.1322,0.3498
baseball,usa,mlb,1.50,444,1.4593,0.7230,0.0554,0.1199
basketball,argentina,liga-a,1.50,495,1.4576,0.6889,0.0031,0.0091
basketball,asia,abl,1.20,50,1.1588,0.9600,0.1116,0.7081
basketball,australia,nbl,1.10,54,1.0850,1.0000,0.0850,1.0000
basketball,australia,nbl,1.50,153,1.4482,0.7059,0.0218,0.0497
basketball,australia,seabl,1.10,115,1.0589,1.0000,0.0589,1.0000
basketball,australia,seabl,1.20,137,1.1545,0.8978,0.0357,0.2365
basketball,australia,seabl,1.30,148,1.2574,0.8176,0.0248,0.1089
basketball,australia,seabl,1.50,156,1.4576,0.8013,0.1662,0.3670
basketball,austria,zweite-liga,1.10,48,1.0271,1.0000,0.0271,1.0000
basketball,bahrain,premier-league,1.30,33,1.2633,0.8788,0.1106,0.4185
basketball,belarus,premier-league,1.50,23,1.4791,0.7826,0.1574,0.3289
basketball,belgium,euromillions-basketball-league,1.20,231,1.1498,0.8918,0.0235,0.1692
basketball,bosnia-and-herzegovina,prvenstvo-bih,1.10,27,1.0496,0.9630,0.0093,0.2167
basketball,bosnia-and-herzegovina,prvenstvo-bih,1.30,20,1.2500,0.9500,0.1870,0.7500
basketball,brazil,lbf-women,1.20,26,1.1546,0.9231,0.0623,0.4256
basketball,bulgaria,nbl,1.20,119,1.1466,0.8824,0.0089,0.0801
basketball,bulgaria,nbl,1.40,63,1.3541,0.7619,0.0297,0.0896
basketball,canada,nbl,1.40,67,1.3667,0.7463,0.0185,0.0544
basketball,canada,nbl,1.50,66,1.4545,0.6970,0.0147,0.0303
basketball,chile,lnb,1.50,42,1.4583,0.7857,0.1500,0.3182
basketball,china,cba,1.10,482,1.0525,1.0000,0.0525,1.0000
basketball,china,cba,1.20,320,1.1445,0.9031,0.0321,0.2326
basketball,china,cba,1.40,206,1.3470,0.7913,0.0697,0.1898
basketball,china,wcba-women,1.10,170,1.0548,0.9765,0.0301,0.5473
basketball,china,wcba-women,1.20,108,1.1472,0.8889,0.0170,0.1342
basketball,china,wcba-women,1.30,69,1.2625,0.8696,0.0965,0.3726
basketball,china,wcba-women,1.40,74,1.3636,0.7703,0.0526,0.1385
basketball,croatia,a1-liga,1.10,385,1.0436,0.9584,-0.0005,0.0061
basketball,croatia,a1-liga,1.30,142,1.2606,0.8521,0.0710,0.2845
basketball,croatia,a1-liga,1.50,103,1.4583,0.7961,0.1635,0.3513
basketball,cyprus,division-a,1.10,85,1.0399,1.0000,0.0399,1.0000
basketball,cyprus,division-a,1.20,27,1.1630,0.8889,0.0367,0.2071
basketball,cyprus,division-a,1.40,39,1.3692,0.7949,0.0879,0.2393
basketball,czech-republic,nbl,1.10,627,1.0396,0.9713,0.0096,0.2455
basketball,czech-republic,nbl,1.30,200,1.2522,0.9000,0.1262,0.5035
basketball,czech-republic,nbl,1.50,176,1.4476,0.7330,0.0582,0.1364
basketball,czech-republic,zbl-women,1.30,54,1.2561,0.8704,0.0920,0.3642
basketball,denmark,basketligaen,1.20,161,1.1496,0.8820,0.0127,0.0930
basketball,denmark,dameligaen-women,1.30,22,1.2627,0.8182,0.0336,0.1261
basketball,europe,aba-league,1.10,252,1.0625,0.9683,0.0284,0.4606
basketball,europe,aba-league,1.20,196,1.1492,0.8776,0.0084,0.0568
basketball,europe,aba-league,1.30,224,1.2555,0.8214,0.0316,0.1226
basketball,europe,aba-league,1.40,168,1.3479,0.8095,0.0893,0.2620
basketball,europe,aba-league,1.50,160,1.4558,0.7500,0.0910,0.2015
basketball,europe,baltic-league,1.10,314,1.0417,0.9713,0.0112,0.2843
basketball,europe,baltic-league,1.20,130,1.1543,0.9077,0.0454,0.3095
basketball,europe,baltic-league,1.50,77,1.4495,0.7532,0.0944,0.2043
basketball,europe,bibl,1.30,67,1.2576,0.8358,0.0509,0.1985
basketball,europe,champions-league,1.30,63,1.2467,1.0000,0.2467,1.0000
basketball,europe,champions-league,1.50,49,1.4429,0.8571,0.2343,0.5346
basketball,europe,eurobasket-u16,1.10,46,1.0600,0.9565,0.0143,0.2319
basketball,europe,eurobasket-u16,1.20,46,1.1548,0.8696,0.0015,0.0269
basketball,europe,eurobasket-u16,1.30,61,1.2648,0.8197,0.0361,0.1386
basketball,europe,eurobasket-u18-b,1.30,50,1.2612,0.8400,0.0608,0.2274
basketball,europe,eurobasket-u18-b,1.40,55,1.3589,0.7455,0.0153,0.0362
basketball,europe,eurobasket-u18,1.50,48,1.4571,0.7708,0.1206,0.2695
basketball,europe,eurobasket-u20-b,1.40,45,1.3518,0.7556,0.0224,0.0607
basketball,europe,eurobasket-u20,1.50,77,1.4503,0.7273,0.0540,0.1216
basketball,europe,eurochallenge,1.20,213,1.1490,0.9155,0.0496,0.3482
basketball,europe,eurochallenge,1.50,120,1.4508,0.7500,0.0903,0.1955
basketball,europe,eurocup-women,1.20,81,1.1574,0.9630,0.1152,0.7277
basketball,europe,eurocup-women,1.30,84,1.2625,0.8214,0.0329,0.1412
basketball,europe,eurocup-women,1.40,33,1.3691,0.8182,0.1182,0.3256
basketball,europe,euroleague-women,1.10,321,1.0425,0.9751,0.0162,0.3886
basketball,europe,euroleague-women,1.20,148,1.1514,0.9257,0.0661,0.4346
basketball,europe,euroleague-women,1.50,88,1.4468,0.8068,0.1652,0.3745
basketball,europe,euroleague,1.10,295,1.0640,0.9458,0.0052,0.0988
basketball,europe,euroleague,1.40,209,1.3428,0.7512,0.0070,0.0253
basketball,europe,european-championship-u16-women,1.10,74,1.0473,0.9730,0.0192,0.4015
basketball,europe,european-championship-u16-women,1.20,34,1.1500,0.9412,0.0835,0.5490
basketball,europe,european-championship-u16-women,1.40,32,1.3500,0.7500,0.0100,0.0357
basketball,europe,european-championship-u16-women,1.50,30,1.4480,0.8000,0.1593,0.3536
basketball,europe,european-championship-u18-b-women,1.20,46,1.1470,0.9130,0.0457,0.3213
basketball,europe,european-championship-u18-b-women,1.40,46,1.3452,0.8696,0.1678,0.4917
basketball,europe,european-championship-u18-b-women,1.50,30,1.4467,0.7333,0.0653,0.1363
basketball,europe,european-championship-u18-women,1.40,44,1.3523,0.7727,0.0468,0.1276
basketball,europe,european-championship-u18-women,1.50,28,1.4579,0.7143,0.0407,0.0903
basketball,europe,european-championship-u20-women,1.20,50,1.1496,0.8800,0.0088,0.0779
basketball,europe,european-championship-u20-women,1.30,60,1.2600,0.8000,0.0097,0.0308
basketball,europe,european-championship-u20-women,1.40,40,1.3635,0.7500,0.0180,0.0622
basketball,europe,european-championship-u20-women,1.50,46,1.4461,0.6957,0.0100,0.0134
basketball,europe,european-championship-women,1.20,53,1.1568,0.8868,0.0274,0.1648
basketball,europe,european-championship-women,1.40,61,1.3616,0.8197,0.1174,0.3210
basketball,europe,european-championship-women,1.50,43,1.4526,0.8140,0.1763,0.4029
basketball,europe,fiba-europe-cup,1.10,43,1.0553,1.0000,0.0553,1.0000
basketball,europe,fiba-europe-cup,1.20,81,1.1431,0.9259,0.0601,0.4082
basketball,europe,fiba-europe-cup,1.40,72,1.3474,0.8472,0.1410,0.4074
basketball,finland,korisliiga,1.10,290,1.0601,0.9448,0.0012,0.0274
basketball,finland,korisliiga,1.30,347,1.2559,0.8329,0.0433,0.1796
basketball,finland,korisliiga,1.50,172,1.4556,0.7500,0.0909,0.2013
basketball,france,lfb-women,1.10,180,1.0513,0.9556,0.0047,0.0898
basketball,france,lfb-women,1.20,96,1.1604,0.9167,0.0658,0.3972
basketball,france,lfb-women,1.40,68,1.3576,0.8235,0.1176,0.3301
basketball,france,lnb,1.40,394,1.3492,0.7462,0.0080,0.0194
basketball,france,pro-b,1.10,118,1.0775,1.0000,0.0775,1.0000
basketball,france,pro-b,1.20,228,1.1652,0.8991,0.0458,0.2886
basketball,fyr-of-macedonia,superleague,1.20,34,1.1629,0.9118,0.0588,0.3702
basketball,georgia,superleague,1.10,28,1.0564,1.0000,0.0564,1.0000
basketball,germany,bbl,1.40,336,1.3563,0.7500,0.0175,0.0482
basketball,germany,dbbl-women,1.10,43,1.0528,0.9535,0.0040,0.0724
basketball,germany,dbbl-women,1.20,23,1.1626,0.8696,0.0104,0.0674
