Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
baseball,mexico,lmb,1.20,22,22,22,1.1950,1.0000,4.29,0.1950,1.0000,1,1,0.195,0.195,1,1
baseball,south-korea,kbo,1.30,22,11,11,1.2850,1.0000,3.135,0.2850,1.0000,2,2,0.27,0.3,0.999999999999999,1
baseball,south-korea,kbo,1.40,99,24.75,22,1.3625,0.9583,5.28,0.3050,0.8446,4,4,0.14,0.36,0.378378378378378,1
baseball,usa,mlb,1.30,33,11,11,1.2833,1.0000,3.11666666666667,0.2833,1.0000,3,3,0.27,0.3,0.999999999999999,1
basketball,europe,champions-league,1.30,63,63,63,1.2467,1.0000,15.54,0.2467,1.0000,1,1,0.246666666666667,0.246666666666667,1,1
basketball,europe,champions-league,1.50,49,49,42,1.4429,0.8571,11.48,0.2343,0.5290,1,1,0.234285714285714,0.234285714285714,0.529032258064516,0.529032258064516
basketball,europe,fiba-europe-cup,1.40,72,36,30.5,1.3465,0.8452,5.075,0.1377,0.3967,2,2,0.118333333333333,0.157142857142857,0.346341463414634,0.447154471544716
basketball,germany,dbbl-women,1.50,22,5.5,4.5,1.4618,0.8875,1.0775,0.3019,0.6446,4,4,0.1075,0.5,0.231182795698925,1
basketball,japan,b-league,1.50,22,22,22,1.4500,1.0000,9.9,0.4500,1.0000,1,1,0.45,0.45,1,1
basketball,lithuania,nkl,1.40,50,50,50,1.3460,1.0000,17.3,0.3460,1.0000,1,1,0.346,0.346,0.999999999999998,0.999999999999998
basketball,qatar,qbl,1.20,20,5,5,1.1656,1.0000,0.82,0.1656,1.0000,4,4,0.15,0.19,0.999999999999999,1
basketball,sweden,basketligan-women,1.50,24,24,24,1.4717,1.0000,11.32,0.4717,1.0000,1,1,0.471666666666667,0.471666666666667,1,1
basketball,turkey,super-ligi,1.20,294,32.6666666666667,32.6666666666667,1.1428,1.0000,4.68666666666667,0.1428,1.0000,9,9,0.13,0.16,1,1
handball,serbia,superliga,1.50,33,16.5,13.5,1.4514,0.8889,3.135,0.2892,0.6456,2,2,0.133333333333333,0.445,0.29126213592233,1
handball,slovenia,1-a-drl-women,1.20,24,6,6,1.1488,1.0000,0.93,0.1488,1.0000,4,4,0.115,0.165,0.999999999999999,1
hockey,canada,ohl,1.30,44,14.6666666666667,14.6666666666667,1.2633,1.0000,3.81333333333333,0.2633,1.0000,3,3,0.25,0.28,1,1
hockey,europe,champions-league,1.40,28,9.33333333333333,9.33333333333333,1.3400,1.0000,3.17333333333333,0.3400,1.0000,3,3,0.325,0.355,0.999999999999999,1
hockey,finland,mestis,1.20,64,12.8,12.8,1.1577,1.0000,2,0.1577,1.0000,5,5,0.13,0.2,0.999999999999999,1
hockey,france,ligue-magnus,1.20,66,13.2,13.2,1.1708,1.0000,2.046,0.1708,1.0000,5,5,0.136666666666667,0.2,1,1
hockey,germany,del2,1.20,34,17,17,1.1900,1.0000,3.13,0.1900,1.0000,2,2,0.18,0.2,1,1
hockey,hungary,mol-liga,1.20,32,10.6666666666667,10.6666666666667,1.1453,1.0000,1.62666666666667,0.1453,1.0000,3,3,0.14,0.156,1,1
hockey,italy,serie-a,1.50,106,17.6666666666667,16.6666666666667,1.4524,0.9667,6.44166666666667,0.4051,0.8894,6,6,0.144,0.5,0.336448598130841,1
