Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly,Number Of Seasons,No Of Positive Seasons,Money Low,Money High
american-football,austria,afl,1.30,33,1.1196,0.9222,0.0333,0.2720,5,3,-0.15,0.25
american-football,austria,afl,1.50,3,1.4000,0.3333,-0.5500,-1.3333,3,1,-1,0.35
american-football,canada,cfl,1.30,33,1.2346,0.6417,-0.2086,-0.8859,8,5,-1,0.256666666666667
american-football,canada,cfl,1.50,51,1.3927,0.7500,0.0445,0.1134,9,5,-0.625,0.425
american-football,denmark,national-ligaen,1.30,1,1.0200,1.0000,0.0200,1.0000,1,1,0.02,0.02
american-football,europe,european-championship,1.30,3,1.0833,1.0000,0.0833,1.0000,1,1,0.0833333333333334,0.0833333333333334
american-football,finland,vaahteraliiga,1.30,3,1.1000,1.0000,0.1000,1.0000,1,1,0.1,0.1
american-football,germany,gfl,1.30,6,1.1480,0.9000,0.0340,0.2243,2,1,-0.042,0.11
american-football,germany,gfl,1.50,4,1.4000,1.0000,0.4000,1.0000,1,1,0.4,0.4
american-football,italy,ifl,1.30,1,1.2500,0.0000,-1.0000,-4.0000,1,0,-1,-1
american-football,sweden,superserien,1.30,1,1.1300,1.0000,0.1300,1.0000,1,1,0.13,0.13
american-football,usa,afl,1.30,71,1.1296,0.7991,-0.1023,-0.7508,4,2,-0.30125,0.102222222222222
american-football,usa,afl,1.50,40,1.4225,0.5167,-0.2735,-0.6273,3,1,-0.6475,0.102
american-football,usa,ncaa,1.30,507,1.2081,0.8841,0.0684,0.3272,9,6,-0.1225,0.254
american-football,usa,ncaa,1.50,701,1.3963,0.5220,-0.2801,-0.6844,9,0,-1,-0.0171428571428571
american-football,usa,nfl,1.30,167,1.2168,0.6481,-0.2243,-0.9751,9,4,-1,0.22
american-football,usa,nfl,1.50,296,1.3896,0.6452,-0.1007,-0.2652,9,4,-0.6725,0.386666666666667
american-football,world,world-championship,1.30,2,1.1200,1.0000,0.1200,1.0000,1,1,0.12,0.12
baseball,australia,abl,1.50,2,1.5000,0.0000,-1.0000,-2.0000,1,0,-1,-1
baseball,colombia,lcbp,1.30,2,1.1100,1.0000,0.1100,1.0000,1,1,0.11,0.11
baseball,cuba,serie-nacional,1.50,33,1.4500,0.7500,0.0775,0.1944,2,1,-0.295,0.45
baseball,czech-republic,extraliga,1.30,4,1.2375,0.7500,-0.0525,-0.3026,1,0,-0.0525,-0.0525
baseball,czech-republic,extraliga,1.50,3,1.4033,0.6667,-0.0633,-0.1598,1,0,-0.0633333333333333,-0.0633333333333333
baseball,dominican-republic,lidom,1.50,4,1.4600,1.0000,0.4600,1.0000,1,1,0.46,0.46
baseball,europe,european-championship,1.30,33,1.1006,0.8241,-0.1016,-0.9239,3,1,-0.2925,0.0111111111111111
baseball,europe,european-championship,1.50,8,1.4075,0.6944,-0.0403,-0.0554,3,2,-0.523333333333333,0.36
baseball,germany,bundesliga-north,1.30,1,1.2500,1.0000,0.2500,1.0000,1,1,0.25,0.25
baseball,germany,bundesliga-south,1.30,1,1.0800,1.0000,0.0800,1.0000,1,1,0.0800000000000001,0.0800000000000001
baseball,germany,bundesliga-south,1.50,3,1.4600,0.3333,-0.5400,-1.1159,1,0,-0.54,-0.54
baseball,italy,ibl,1.30,49,1.1375,0.8250,-0.0625,-0.4477,4,2,-0.46,0.2
baseball,italy,ibl,1.50,31,1.4305,0.3417,-0.5121,-1.1876,4,0,-1,-0.0383333333333334
baseball,japan,npb,1.30,33,1.2875,0.2500,-0.6825,-2.3587,2,0,-1,-0.365
