Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly,Number Of Seasons,No Of Positive Seasons,Money Low,Money High
american-football,usa,ncaa,1.50,701,1.3963,0.5220,-0.2801,-0.6844,9,0,-1,-0.0171428571428571
baseball,italy,ibl,1.50,31,1.4305,0.3417,-0.5121,-1.1876,4,0,-1,-0.0383333333333334
baseball,japan,npb,1.30,33,1.2875,0.2500,-0.6825,-2.3587,2,0,-1,-0.365
baseball,netherlands,hoofdklasse,1.30,162,1.1391,0.5640,-0.3780,-2.5713,5,0,-0.678571428571429,-0.0389473684210526
baseball,world,world-baseball-classic,1.50,33,1.3988,0.5734,-0.1945,-0.4962,3,0,-0.405714285714286,-0.0466666666666667
basketball,chile,lnb,1.50,20,1.3992,0.2500,-0.6575,-1.6289,2,0,-1,-0.315
basketball,europe,eurobasket-u16-b,1.30,56,1.1362,0.8030,-0.0902,-0.6430,2,0,-0.143636363636364,-0.0366666666666667
basketball,europe,fiba-europe-cup,1.50,56,1.3954,0.5833,-0.1808,-0.4704,2,0,-0.3,-0.0616666666666667
basketball,georgia,superleague,1.30,53,1.1490,0.5768,-0.3448,-2.2629,4,0,-1,-0.03
basketball,japan,jbl-league,1.30,28,1.1221,0.7857,-0.1236,-0.9687,1,0,-0.123571428571429,-0.123571428571429
basketball,latvia,lbl,1.50,125,1.3876,0.5278,-0.2701,-0.6906,6,0,-0.535,-0.07
basketball,lithuania,lmkl-women,1.30,20,1.1060,0.9000,-0.0230,-0.0434,1,0,-0.023,-0.023
basketball,norway,kvinneligaen-women,1.30,34,1.0921,0.8606,-0.0629,-0.6538,2,0,-0.0646153846153846,-0.06125
basketball,philippines,fiesta-conference,1.50,38,1.4189,0.6842,-0.0263,-0.0696,1,0,-0.0263157894736842,-0.0263157894736842
basketball,russia,super-league,1.50,32,1.4300,0.3750,-0.4663,-1.0785,4,0,-1,-0.285
basketball,slovakia,extraliga-women,1.30,35,1.0526,0.5167,-0.4588,-8.6702,3,0,-1,-0.154
basketball,sweden,basketligan-women,1.30,44,1.1300,0.7273,-0.1945,-1.3706,1,0,-0.194545454545455,-0.194545454545455
basketball,world,club-friendly-women,1.50,23,1.4002,0.3519,-0.5159,-1.2678,3,0,-1,-0.217777777777778
basketball,world,friendly-international-women,1.50,32,1.4210,0.3333,-0.5137,-1.2502,5,0,-1,-0.25
basketball,world,olympic-games,1.30,60,1.1083,0.8643,-0.0599,-0.3889,2,0,-0.0638461538461538,-0.0558823529411764
basketball,world,universiade,1.30,28,1.1540,0.6250,-0.2915,-1.8107,2,0,-0.421666666666667,-0.16125
basketball,world,world-championship-u17,1.30,67,1.0936,0.8031,-0.1286,-1.3013,4,0,-0.297777777777778,-0.01
basketball,world,world-championship-u17,1.50,27,1.4077,0.2667,-0.6325,-1.5322,4,0,-1,-0.07
basketball,world,world-championship-u19-women,1.50,34,1.3838,0.4583,-0.3738,-0.9532,4,0,-1,-0.0683333333333333
handball,europe,baltic-league,1.30,28,1.1129,0.8181,-0.0854,-0.7941,4,0,-0.1775,-0.0183333333333333
handball,europe,european-championship-u20,1.30,77,1.1477,0.7950,-0.0976,-0.5932,3,0,-0.170833333333333,-0.0242857142857143
handball,finland,sm-sarja-women,1.30,40,1.1218,0.8064,-0.1036,-0.7827,5,0,-0.303333333333333,-0.00428571428571426
handball,latvia,synottip-virsliga,1.30,27,1.1529,0.7286,-0.1605,-1.0463,4,0,-0.282,-0.082
handball,slovenia,1-nlb-lig,1.50,107,1.3863,0.3671,-0.4938,-1.2715,7,0,-1,-0.095
handball,world,club-friendly,1.50,36,1.3702,0.2679,-0.6186,-1.7100,4,0,-1,-0.224285714285714
handball,world,olympic-games,1.50,32,1.3949,0.5238,-0.2701,-0.6820,2,0,-0.534444444444445,-0.00571428571428575
handball,world,world-championship-u18-women,1.30,64,1.1377,0.8153,-0.0804,-0.5267,3,0,-0.108125,-0.063
handball,world,world-championship-u19,1.30,52,1.1277,0.6831,-0.2396,-1.7993,3,0,-0.355714285714286,-0.172222222222222
hockey,latvia,lhl,1.30,55,1.1359,0.6901,-0.2277,-1.5898,5,0,-0.3875,-0.114444444444444
hockey,latvia,lhl,1.50,22,1.3927,0.3000,-0.5770,-1.4827,5,0,-1,-0.0333333333333334
hockey,slovenia,slohokej-liga,1.50,24,1.4063,0.6250,-0.1338,-0.2981,1,0,-0.13375,-0.13375
hockey,sweden,division-1-norra,1.30,24,1.2025,0.7500,-0.0925,-0.4846,1,0,-0.0925,-0.0925
hockey,switzerland,swiss-cup,1.30,31,1.1069,0.8708,-0.0373,-0.3375,2,0,-0.0546666666666667,-0.02
hockey,ukraine,extra-league,1.30,67,1.1447,0.7750,-0.1190,-0.7801,4,0,-0.17,-0.085
hockey,usa,ushl,1.50,20,1.3950,0.0000,-1.0000,-2.5316,1,0,-1,-1
hockey,world,olympic-games,1.30,22,1.1235,0.6500,-0.2875,-2.1840,2,0,-0.455,-0.12
rugby-union,australia,shute-shield,1.50,32,1.4333,0.3333,-0.5183,-1.2051,3,0,-0.65,-0.28
rugby-union,england,greene-king-ipa-championship,1.30,66,1.1727,0.7759,-0.0810,-0.5219,3,0,-0.114444444444444,-0.046
rugby-union,world,seven-s-world-series-hong-kong,1.50,20,1.3973,0.4050,-0.4418,-1.0926,5,0,-1,-0.1075
soccer,bahrain,bahrain-cup,1.50,22,1.4098,0.4500,-0.3652,-0.8920,2,0,-0.432,-0.298333333333333
soccer,europe,bene-league-women,1.30,78,1.1443,0.7667,-0.1301,-0.8500,3,0,-0.255555555555555,-0.0416666666666667
soccer,finland,kakkonen-group-a,1.50,25,1.4436,0.4222,-0.3858,-0.8804,3,0,-1,-0.0333333333333334
soccer,finland,kakkonen-north,1.50,36,1.3931,0.5000,-0.3138,-0.7719,4,0,-0.325,-0.2925
soccer,germany,oberliga-mittelrhein,1.30,20,1.1750,0.5000,-0.4625,-2.3571,2,0,-0.48,-0.445
soccer,germany,oberliga-niederrhein,1.30,37,1.2617,0.3333,-0.5767,-2.2144,3,0,-1,-0.355
soccer,greece,division-c-group-d,1.50,21,1.3775,0.3333,-0.5375,-1.4327,3,0,-1,-0.2875
soccer,italy,lega-pro-group-c,1.50,38,1.4092,0.4167,-0.4217,-1.0090,2,0,-0.503333333333333,-0.34
soccer,netherlands,eredivisie-women,1.30,46,1.1449,0.8095,-0.0792,-0.5052,2,0,-0.11,-0.0483333333333334
soccer,netherlands,tweede-divisie,1.50,21,1.4100,0.3333,-0.5000,-1.2927,1,0,-0.5,-0.5
soccer,norway,junior-u19,1.30,27,1.1756,0.7778,-0.0900,-0.4880,1,0,-0.09,-0.09
soccer,spain,segunda-division-b-group-2,1.50,54,1.4580,0.2000,-0.7160,-1.5467,5,0,-1,-0.25
soccer,sweden,division-2-norrland,1.50,63,1.4206,0.4278,-0.4091,-0.9328,6,0,-1,-0.0733333333333334
volleyball,asia,asian-games,1.30,26,1.0846,0.8462,-0.1054,-0.9720,1,0,-0.105384615384615,-0.105384615384615
volleyball,austria,2-bundesliga-south-women,1.30,101,1.1227,0.7548,-0.1708,-1.2433,5,0,-0.313333333333333,-0.0375
volleyball,austria,2-bundesliga-west-women,1.30,73,1.1651,0.7167,-0.1776,-0.9993,5,0,-0.27,-0.0766666666666666
volleyball,croatia,superliga,1.50,90,1.4085,0.3839,-0.4709,-1.1241,8,0,-1,-0.0544444444444445
volleyball,europe,baltic-league,1.50,53,1.4076,0.3611,-0.4841,-1.2063,6,0,-1,-0.0633333333333333
volleyball,europe,european-championship-u19-women,1.50,34,1.4023,0.6500,-0.0944,-0.2201,4,0,-0.166,-0.035
volleyball,europe,european-championships-u18-women,1.30,72,1.0976,0.7560,-0.1779,-1.7445,3,0,-0.285833333333333,-0.0254545454545454
volleyball,europe,european-championships,1.50,47,1.3913,0.4133,-0.4377,-1.0858,5,0,-0.536666666666667,-0.32
volleyball,france,coupe-de-france,1.30,32,1.1702,0.7692,-0.1153,-0.5867,5,0,-0.337777777777778,-0.012
volleyball,germany,2-bundesliga-south-women,1.50,48,1.4622,0.6111,-0.1100,-0.2302,3,0,-0.266666666666667,-0.03
volleyball,russia,superleague-west,1.30,32,1.1594,0.8125,-0.0563,-0.3640,1,0,-0.05625,-0.05625
volleyball,russia,victory-cup,1.30,48,1.1338,0.6875,-0.2344,-1.6489,1,0,-0.234375,-0.234375
volleyball,world,club-friendly-women,1.30,35,1.1573,0.7852,-0.1086,-0.5805,3,0,-0.210833333333333,-0.0111111111111111
