Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly,Number Of Seasons,No Of Positive Seasons,Money Low,Money High
american-football,usa,afl,1.30,141,1.1370,0.9623,0.0949,0.6873,5,5,0.0323076923076923,0.18
baseball,europe,european-championship,1.30,53,1.1066,0.9825,0.0885,0.8178,3,3,0.0642105263157895,0.102631578947368
baseball,mexico,lmb,1.30,22,1.1950,1.0000,0.1950,1.0000,1,1,0.195,0.195
baseball,puerto-rico,prbl,1.50,30,1.4725,0.8750,0.2888,0.6104,2,2,0.0975,0.48
baseball,south-korea,kbo,1.30,22,1.2850,1.0000,0.2850,1.0000,2,2,0.27,0.3
baseball,usa,mlb,1.30,33,1.2833,1.0000,0.2833,1.0000,3,3,0.27,0.3
basketball,europe,champions-league,1.30,126,1.1989,0.8889,0.0661,0.3302,1,1,0.066111111111111,0.066111111111111
basketball,europe,champions-league,1.50,91,1.3969,0.7692,0.0792,0.1878,1,1,0.0792307692307692,0.0792307692307692
basketball,europe,fiba-europe-cup,1.30,185,1.1635,0.8807,0.0196,0.1509,2,2,0.0178947368421053,0.0213333333333333
basketball,europe,fiba-europe-cup,1.50,106,1.3791,0.7841,0.0734,0.2145,2,2,0.015,0.131818181818182
basketball,finland,korisliiga-women,1.30,30,1.1420,0.9333,0.0653,0.4638,1,1,0.0653333333333333,0.0653333333333333
basketball,fyr-of-macedonia,superleague,1.30,102,1.1354,0.9357,0.0606,0.4603,5,5,0.00800000000000001,0.125
basketball,iceland,premier-league-women,1.50,20,1.4310,0.7000,-0.0030,0.0039,1,0,-0.00300000000000002,-0.00300000000000002
basketball,israel,league-cup,1.30,20,1.1173,1.0000,0.1173,1.0000,7,7,0.01,0.195
basketball,italy,a2-play-offs,1.50,92,1.3978,0.7801,0.0906,0.2275,3,3,0.0077777777777778,0.148636363636364
basketball,italy,serie-a1-women,1.50,178,1.3897,0.8316,0.1554,0.3996,9,9,0.00750000000000001,0.394
basketball,japan,jbl-league,1.30,40,1.1114,0.9474,0.0530,0.4751,2,2,0.0010526315789474,0.105
basketball,lithuania,nkl,1.50,75,1.3880,0.8667,0.1907,0.5230,1,1,0.190666666666667,0.190666666666667
basketball,poland,1-liga,1.30,28,1.2000,0.8571,0.0229,0.1429,1,1,0.0228571428571429,0.0228571428571429
basketball,poland,1-liga,1.50,30,1.4100,0.7333,0.0300,0.0829,1,1,0.03,0.03
basketball,sweden,basketligan-women,1.50,52,1.4062,0.8462,0.1938,0.4674,1,1,0.193846153846154,0.193846153846154
basketball,turkey,turkish-cup,1.30,33,1.1904,0.9844,0.1713,0.9023,8,8,0.00375,0.29
basketball,usa,ibl,1.30,42,1.1195,0.9524,0.0605,0.5540,1,1,0.0604761904761905,0.0604761904761905
basketball,world,world-championship-u19-women,1.50,42,1.4117,0.8661,0.2195,0.5407,4,4,0.00714285714285712,0.418
basketball,world,world-championship-women,1.30,53,1.1113,0.9737,0.0836,0.7372,2,2,0.0552631578947369,0.112
handball,asia,asian-championship,1.30,26,1.1046,0.9615,0.0554,0.5939,2,1,-0.00307692307692305,0.113846153846154
handball,fyr-of-macedonia,superleague,1.30,38,1.1149,0.9500,0.0509,0.5147,2,2,0.011,0.0907142857142857
hockey,czech-republic,2-liga-east,1.30,38,1.1560,0.8708,-0.0039,0.0428,2,1,-0.0125,0.00466666666666666
hockey,russia,mhl,1.30,33,1.2525,1.0000,0.2525,1.0000,2,2,0.25,0.255
hockey,slovenia,slohokej-liga,1.30,45,1.1407,0.9333,0.0567,0.4594,1,1,0.0566666666666667,0.0566666666666667
hockey,sweden,division-1-norra,1.50,42,1.3843,0.8571,0.1914,0.4854,1,1,0.191428571428571,0.191428571428571
hockey,sweden,hockeyettan-ostra,1.50,108,1.3660,0.9167,0.2493,0.6890,3,3,0.04125,0.36
hockey,sweden,hockeyettan-sodra,1.50,130,1.3865,0.8333,0.1557,0.4021,3,3,0.0225,0.403333333333333
rugby-union,world,commonwealth-games-7-s,1.30,20,1.0700,0.9500,0.0175,0.2357,1,1,0.0175,0.0175
soccer,belgium,first-amateur-division,1.30,25,1.2180,1.0000,0.2180,1.0000,1,1,0.218,0.218
soccer,belgium,second-amateur-division-group-acff,1.50,25,1.3820,1.0000,0.3820,1.0000,1,1,0.382,0.382
soccer,brazil,serie-c,1.30,20,1.2344,1.0000,0.2344,1.0000,3,3,0.203333333333333,0.28
soccer,china,yi-league,1.30,37,1.1856,1.0000,0.1856,1.0000,2,2,0.181111111111111,0.19
soccer,cyprus,division-2,1.50,23,1.4049,0.8714,0.2166,0.5539,5,5,0.035,0.4
soccer,czech-republic,first-league-women,1.30,26,1.0988,1.0000,0.0988,1.0000,5,5,0.064,0.128
soccer,czech-republic,u19-league,1.50,41,1.4163,0.8167,0.1593,0.3763,2,2,0.152,0.166666666666667
soccer,egypt,premier-league,1.30,77,1.2392,1.0000,0.2392,1.0000,6,6,0.215,0.28
soccer,england,championship,1.30,92,1.2508,1.0000,0.2508,1.0000,6,6,0.225,0.28
