Season,Participants,Best Odd,Your Bet,Winning Bet
2016,New England Patriots - Pittsburgh Steelers,1.41,1,1
2016,Atlanta Falcons - Green Bay Packers,1.41,1,1
2016,Dallas Cowboys - Green Bay Packers,1.44,1,2
2016,New England Patriots - Houston Texans,1.07,1,1
2016,Atlanta Falcons - Seattle Seahawks,1.36,1,1
2016,Green Bay Packers - New York Giants,1.45,1,1
2016,Pittsburgh Steelers - Miami Dolphins,1.16,1,1
2016,Seattle Seahawks - Detroit Lions,1.23,1,1
2016,Houston Texans - Oakland Raiders,1.48,1,1
2016,Atlanta Falcons - New Orleans Saints,1.28,1,1
2016,Los Angeles Chargers - Kansas City Chiefs,1.42,2,2
2016,Los Angeles Rams - Arizona Cardinals,1.33,2,2
2016,San Francisco 49ers - Seattle Seahawks,1.17,2,2
2016,Washington Redskins - New York Giants,1.27,1,2
2016,Indianapolis Colts - Jacksonville Jaguars,1.4,1,1
2016,Miami Dolphins - New England Patriots,1.27,2,2
2016,Minnesota Vikings - Chicago Bears,1.38,1,1
2016,Philadelphia Eagles - Dallas Cowboys,1.39,1,1
2016,Dallas Cowboys - Detroit Lions,1.36,1,1
2016,Pittsburgh Steelers - Baltimore Ravens,1.38,1,1
2016,Los Angeles Rams - San Francisco 49ers,1.4,1,2
2016,Seattle Seahawks - Arizona Cardinals,1.24,1,2
2016,Buffalo Bills - Miami Dolphins,1.45,1,2
2016,Cleveland Browns - Los Angeles Chargers,1.46,2,1
2016,Green Bay Packers - Minnesota Vikings,1.35,1,1
2016,Jacksonville Jaguars - Tennessee Titans,1.47,2,1
2016,New England Patriots - New York Jets,1.06,1,1
2016,Washington Redskins - Carolina Panthers,1.33,1,2
2016,Dallas Cowboys - Tampa Bay Buccaneers,1.34,1,1
2016,Atlanta Falcons - San Francisco 49ers,1.1,1,1
2016,New England Patriots - Pittsburgh Steelers,1.41,1,1
2016,Atlanta Falcons - Green Bay Packers,1.41,1,1
2016,Dallas Cowboys - Green Bay Packers,1.44,1,2
2016,New England Patriots - Houston Texans,1.07,1,1
2016,Atlanta Falcons - Seattle Seahawks,1.36,1,1
2016,Green Bay Packers - New York Giants,1.45,1,1
2016,Pittsburgh Steelers - Miami Dolphins,1.16,1,1
2016,Seattle Seahawks - Detroit Lions,1.23,1,1
2016,Houston Texans - Oakland Raiders,1.48,1,1
2016,Atlanta Falcons - New Orleans Saints,1.28,1,1
2016,Los Angeles Chargers - Kansas City Chiefs,1.42,2,2
2016,Los Angeles Rams - Arizona Cardinals,1.33,2,2
2016,San Francisco 49ers - Seattle Seahawks,1.17,2,2
2016,Washington Redskins - New York Giants,1.27,1,2
2016,Indianapolis Colts - Jacksonville Jaguars,1.4,1,1
2016,Miami Dolphins - New England Patriots,1.27,2,2
2016,Minnesota Vikings - Chicago Bears,1.38,1,1
2016,Philadelphia Eagles - Dallas Cowboys,1.39,1,1
2016,Dallas Cowboys - Detroit Lions,1.36,1,1
2016,Pittsburgh Steelers - Baltimore Ravens,1.38,1,1
2016,Los Angeles Rams - San Francisco 49ers,1.4,1,2
2016,Seattle Seahawks - Arizona Cardinals,1.24,1,2
2016,Buffalo Bills - Miami Dolphins,1.45,1,2
2016,Cleveland Browns - Los Angeles Chargers,1.46,2,1
2016,Green Bay Packers - Minnesota Vikings,1.35,1,1
2016,Jacksonville Jaguars - Tennessee Titans,1.47,2,1
2016,New England Patriots - New York Jets,1.06,1,1
2016,Washington Redskins - Carolina Panthers,1.33,1,2
2016,Dallas Cowboys - Tampa Bay Buccaneers,1.34,1,1
2016,Atlanta Falcons - San Francisco 49ers,1.1,1,1
2016,New England Patriots - Pittsburgh Steelers,1.41,1,1
2016,Atlanta Falcons - Green Bay Packers,1.41,1,1
2016,Dallas Cowboys - Green Bay Packers,1.44,1,2
2016,New England Patriots - Houston Texans,1.07,1,1
2016,Atlanta Falcons - Seattle Seahawks,1.36,1,1
2016,Green Bay Packers - New York Giants,1.45,1,1
2016,Pittsburgh Steelers - Miami Dolphins,1.16,1,1
2016,Seattle Seahawks - Detroit Lions,1.23,1,1
2016,Houston Texans - Oakland Raiders,1.48,1,1
2016,Atlanta Falcons - New Orleans Saints,1.28,1,1
2016,Los Angeles Chargers - Kansas City Chiefs,1.42,2,2
2016,Los Angeles Rams - Arizona Cardinals,1.33,2,2
2016,San Francisco 49ers - Seattle Seahawks,1.17,2,2
2016,Washington Redskins - New York Giants,1.27,1,2
2016,Indianapolis Colts - Jacksonville Jaguars,1.4,1,1
2016,Miami Dolphins - New England Patriots,1.27,2,2
2016,Minnesota Vikings - Chicago Bears,1.38,1,1
2016,Philadelphia Eagles - Dallas Cowboys,1.39,1,1
2016,Dallas Cowboys - Detroit Lions,1.36,1,1
