Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Leones del Escogido - Tigres del Licey,1.46,2,2
2016,Leones del Escogido - Tigres del Licey,1.46,2,2
2016,Leones del Escogido - Tigres del Licey,1.46,2,2
2016,Leones del Escogido - Tigres del Licey,1.46,2,2
2015,Toros del Este - Estrellas de Oriente,1.44,1,1
2015,Toros del Este - Estrellas de Oriente,1.44,1,1
2015,Toros del Este - Estrellas de Oriente,1.44,1,1
2015,Toros del Este - Estrellas de Oriente,1.44,1,1
2013,Tigres del Licey - Toros del Este,1.5,1,1
2013,Tigres del Licey - Toros del Este,1.5,1,1
2013,Tigres del Licey - Toros del Este,1.5,1,1
2013,Tigres del Licey - Toros del Este,1.5,1,1
