Season,Participants,Best Odd,Your Bet,Winning Bet
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,KIA Tigers - NC Dinos,1.4,1,1
2017,Nexen Heroes - Hanwha Eagles,1.38,1,1
2017,Samsung Lions - Lotte Giants,1.38,2,2
2017,Nexen Heroes - Hanwha Eagles,1.48,1,2
2017,KT Wiz Suwon - KIA Tigers,1.32,2,1
2017,KIA Tigers - Nexen Heroes,1.31,1,1
2017,Samsung Lions - LG Twins,1.43,2,1
2017,Doosan Bears - Hanwha Eagles,1.35,1,1
2017,Lotte Giants - KT Wiz Suwon,1.3,1,1
2017,Hanwha Eagles - KIA Tigers,1.29,2,2
2017,NC Dinos - Samsung Lions,1.38,1,2
2016,Doosan Bears - NC Dinos&nbsp;,1.42,1,1
2016,LG Twins - NC Dinos&nbsp;,1.48,2,2
2016,Nexen Heroes - LG Twins&nbsp;,1.43,1,1
2016,NC Dinos - KT Wiz Suwon,1.43,1,2
2016,LG Twins - Doosan Bears,1.39,2,2
2016,NC Dinos - KT Wiz Suwon,1.43,1,2
