Season,Participants,Best Odd,Your Bet,Winning Bet
2017,China - Syria,1.03,1,1
2017,Lebanon - Chinese Taipei,1.01,1,1
2017,Japan - South Korea,1.5,2,2
2017,Syria - India,1.3,1,1
2017,Iran - Jordan,1.01,1,1
2017,Philippines - Qatar,1.03,1,1
2017,Iraq - China,1.07,2,2
2017,Japan - Hong Kong,1.01,1,1
2017,Syria - Iran,1.01,2,2
2017,India - Jordan,1.03,2,2
2017,Philippines - Iraq,1.07,1,1
2017,Qatar - China,1.01,2,2
2017,New Zealand - Lebanon,1.31,2,1
2017,South Korea - Kazakhstan,1.01,1,1
2017,Chinese Taipei - Japan,1.31,2,2
2017,Jordan - Syria,1.12,1,1
2017,Iraq - Qatar,1.48,1,1
2017,Iran - India,1.01,1,1
2017,China - Philippines,1.19,1,2
2017,Lebanon - South Korea,1.45,1,1
2017,Hong Kong - Chinese Taipei,1.01,2,2
2017,Japan - Australia,1.02,2,2
2017,Kazakhstan - New Zealand,1.1,2,2
2015,Iran - Japan,1.03,1,1
2015,Lebanon - South Korea,1.3,2,1
2015,India - Qatar,1.05,2,2
2015,Japan - Philippines,1.16,2,2
2015,Qatar - Lebanon,1.46,2,2
2015,India - South Korea,1.02,2,2
2015,Jordan - Palestine,1.16,1,1
2015,Hong Kong - Kazakhstan,1.09,2,2
2015,Philippines - Lebanon,1.21,1,1
2015,India - China,1.01,2,2
2015,Iran - South Korea,1.11,1,1
2015,Hong Kong - Jordan,1.03,2,2
2015,South Korea - Kazakhstan,1.06,1,1
2015,China - Qatar,1.07,1,1
2015,Philippines - India,1.03,1,1
2015,Japan - Hong Kong,1.02,1,1
2015,Palestine - Iran,1.01,2,2
2015,Jordan - Kazakhstan,1.5,1,1
2015,Kuwait - Chinese Taipei,1.05,2,2
2015,Lebanon - China,1.08,2,2
2015,Malaysia - Singapore,1.29,2,2
2015,Qatar - South Korea,1.15,2,1
2015,Palestine - Japan,1.21,2,2
2015,Philippines - Iran,1.12,2,1
2015,India - Hong Kong,1.06,1,1
2015,China - Kazakhstan,1.03,1,1
2015,Malaysia - Kuwait,1.06,2,2
2015,Japan - Philippines,1.14,2,2
2015,South Korea - Lebanon,1.38,1,1
2015,Qatar - Chinese Taipei,1.46,2,2
2015,China - Jordan,1.03,1,1
2015,Hong Kong - Palestine,1.07,2,2
2015,Kuwait - Philippines,1.01,2,2
2015,India - Japan,1.11,2,2
2015,Lebanon - Qatar&nbsp;,1.49,1,2
2015,Palestine - Kuwait,1.06,1,1
2015,South Korea - China,1.17,2,2
2015,Iran - Japan,1.03,1,1
2015,Lebanon - South Korea,1.3,2,1
2015,India - Qatar,1.05,2,2
2015,Japan - Philippines,1.16,2,2
2015,Qatar - Lebanon,1.46,2,2
2015,India - South Korea,1.02,2,2
2015,Jordan - Palestine,1.16,1,1
2015,Hong Kong - Kazakhstan,1.09,2,2
2015,Philippines - Lebanon,1.21,1,1
2015,India - China,1.01,2,2
2015,Iran - South Korea,1.11,1,1
2015,Hong Kong - Jordan,1.03,2,2
2015,South Korea - Kazakhstan,1.06,1,1
2015,China - Qatar,1.07,1,1
2015,Philippines - India,1.03,1,1
2015,Japan - Hong Kong,1.02,1,1
2015,Palestine - Iran,1.01,2,2
2015,Jordan - Kazakhstan,1.5,1,1
2015,Kuwait - Chinese Taipei,1.05,2,2
2015,Lebanon - China,1.08,2,2
2015,Malaysia - Singapore,1.29,2,2
2015,Qatar - South Korea,1.15,2,1
2015,Palestine - Japan,1.21,2,2
2015,Philippines - Iran,1.12,2,1
2015,India - Hong Kong,1.06,1,1
2015,China - Kazakhstan,1.03,1,1
2015,Malaysia - Kuwait,1.06,2,2
2015,Japan - Philippines,1.14,2,2
2015,South Korea - Lebanon,1.38,1,1
2015,Qatar - Chinese Taipei,1.46,2,2
2015,China - Jordan,1.03,1,1
2015,Hong Kong - Palestine,1.07,2,2
2015,Kuwait - Philippines,1.01,2,2
2015,India - Japan,1.11,2,2
2015,Lebanon - Qatar&nbsp;,1.49,1,2
2015,Palestine - Kuwait,1.06,1,1
2015,South Korea - China,1.17,2,2
2013,Philippines - Iran,1.11,2,2
2013,South Korea - Chinese Taipei,1.41,1,1
2013,Qatar - China,1.11,2,2
2013,Kazakhstan - Jordan,1.3,2,2
2013,Iran - Chinese Taipei,1.05,1,1
2013,Jordan - China,1.07,2,2
2013,Japan - Hong Kong,1.05,1,1
2013,India - Bahrain,1.39,1,1
2013,South Korea - Qatar,1.22,1,1
2013,Philippines - Kazakhstan,1.07,1,1
2013,Chinese Taipei - China,1.21,2,1
2013,Iran - Jordan,1.01,1,1
2013,Japan - India,1.02,1,1
2013,Bahrain - Hong Kong,1.15,1,2
2013,India - South Korea,1.01,2,2
2013,Hong Kong - Philippines,1.01,2,2
2013,Bahrain - China,1.01,2,2
2013,Chinese Taipei - Qatar,1.39,1,2
2013,Iran - Kazakhstan,1.01,1,1
2013,Japan - Jordan,1.49,1,2
2013,Kazakhstan - South Korea,1.13,2,2
2013,Philippines - Qatar,1.36,1,1
2013,Thailand - Saudi Arabia,1.23,2,2
2013,China - India,1.01,1,1
2013,Japan - Chinese Taipei,1.19,2,2
2013,Jordan - Hong Kong,1.03,1,1
2013,South Korea - Bahrain,1.04,1,1
2013,Philippines - Japan,1.32,1,1
2013,Malaysia - Thailand,1.05,2,2
2013,Kazakhstan - China,1.12,2,2
2013,Chinese Taipei - Hong Kong,1.01,1,1
2013,Iran - India,1.01,1,1
2013,Qatar - Jordan,1.38,1,1
2013,Saudi Arabia - Jordan,1.05,2,2
2013,Philippines - Chinese Taipei,1.44,1,2
2013,Bahrain - Thailand,1.06,1,1
2013,Iran - China,1.49,1,1
2013,Hong Kong - Qatar,1.02,2,2
2013,India - Kazakhstan,1.3,2,2
2013,Thailand - India,1.32,2,2
2013,Jordan - Philippines,1.22,2,2
2013,Kazakhstan - Bahrain,1.03,1,1
2013,South Korea - Iran,1.16,2,2
2013,Japan - Hong Kong,1.01,1,1
2013,Chinese Taipei - Saudi Arabia,1.01,1,1
2013,Philippines - Iran,1.11,2,2
2013,South Korea - Chinese Taipei,1.41,1,1
2013,Qatar - China,1.11,2,2
2013,Kazakhstan - Jordan,1.3,2,2
2013,Iran - Chinese Taipei,1.05,1,1
2013,Jordan - China,1.07,2,2
2013,Japan - Hong Kong,1.05,1,1
2013,India - Bahrain,1.39,1,1
2013,South Korea - Qatar,1.22,1,1
2013,Philippines - Kazakhstan,1.07,1,1
2013,Chinese Taipei - China,1.21,2,1
2013,Iran - Jordan,1.01,1,1
2013,Japan - India,1.02,1,1
2013,Bahrain - Hong Kong,1.15,1,2
2013,India - South Korea,1.01,2,2
2013,Hong Kong - Philippines,1.01,2,2
