Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Perth - Illawarra Hawks&nbsp;,1.29,1,1
2016,Perth - Illawarra Hawks&nbsp;,1.34,1,1
2016,Adelaide - Illawarra Hawks&nbsp;,1.39,1,2
2016,Perth - Cairns&nbsp;,1.32,1,1
2016,Adelaide - Illawarra Hawks&nbsp;,1.43,1,1
2016,Adelaide - Cairns,1.36,1,2
2016,Illawarra Hawks - Brisbane Bullets,1.19,1,1
2016,Perth - Sydney,1.36,1,1
2016,Adelaide - New Zealand Breakers,1.24,1,2
2016,Perth - Brisbane Bullets,1.2,1,1
2016,Cairns - Brisbane Bullets,1.44,1,1
2016,Perth - Melbourne United,1.49,1,1
2016,Adelaide - Sydney,1.37,1,1
2016,Brisbane Bullets - Melbourne United,1.42,2,1
2016,Perth - Cairns,1.41,1,1
2016,Illawarra Hawks - New Zealand Breakers,1.43,1,2
2016,Adelaide - Brisbane Bullets,1.23,1,1
2016,Melbourne United - Cairns,1.42,1,1
2016,Illawarra Hawks - Brisbane Bullets,1.36,1,1
2016,Adelaide - Melbourne United,1.34,1,1
2016,Cairns - New Zealand Breakers,1.5,1,1
2016,Illawarra Hawks - Perth,1.39,1,2
2016,Sydney - New Zealand Breakers,1.41,1,1
2016,Perth - Illawarra Hawks&nbsp;,1.29,1,1
2016,Perth - Illawarra Hawks&nbsp;,1.34,1,1
2016,Adelaide - Illawarra Hawks&nbsp;,1.39,1,2
2016,Perth - Cairns&nbsp;,1.32,1,1
2016,Adelaide - Illawarra Hawks&nbsp;,1.43,1,1
2016,Adelaide - Cairns,1.36,1,2
2016,Illawarra Hawks - Brisbane Bullets,1.19,1,1
2016,Perth - Sydney,1.36,1,1
2016,Adelaide - New Zealand Breakers,1.24,1,2
2016,Perth - Brisbane Bullets,1.2,1,1
2016,Cairns - Brisbane Bullets,1.44,1,1
2016,Perth - Melbourne United,1.49,1,1
2016,Adelaide - Sydney,1.37,1,1
2016,Brisbane Bullets - Melbourne United,1.42,2,1
2016,Perth - Cairns,1.41,1,1
2016,Illawarra Hawks - New Zealand Breakers,1.43,1,2
2016,Adelaide - Brisbane Bullets,1.23,1,1
2016,Melbourne United - Cairns,1.42,1,1
2016,Illawarra Hawks - Brisbane Bullets,1.36,1,1
2016,Adelaide - Melbourne United,1.34,1,1
2016,Cairns - New Zealand Breakers,1.5,1,1
2016,Illawarra Hawks - Perth,1.39,1,2
2016,Sydney - New Zealand Breakers,1.41,1,1
2016,Perth - Illawarra Hawks&nbsp;,1.29,1,1
2016,Perth - Illawarra Hawks&nbsp;,1.34,1,1
2016,Adelaide - Illawarra Hawks&nbsp;,1.39,1,2
2016,Perth - Cairns&nbsp;,1.32,1,1
2016,Adelaide - Illawarra Hawks&nbsp;,1.43,1,1
2016,Adelaide - Cairns,1.36,1,2
2016,Illawarra Hawks - Brisbane Bullets,1.19,1,1
2016,Perth - Sydney,1.36,1,1
2016,Adelaide - New Zealand Breakers,1.24,1,2
2016,Perth - Brisbane Bullets,1.2,1,1
2016,Cairns - Brisbane Bullets,1.44,1,1
2016,Perth - Melbourne United,1.49,1,1
2016,Adelaide - Sydney,1.37,1,1
2016,Brisbane Bullets - Melbourne United,1.42,2,1
2016,Perth - Cairns,1.41,1,1
2016,Illawarra Hawks - New Zealand Breakers,1.43,1,2
2016,Adelaide - Brisbane Bullets,1.23,1,1
2016,Melbourne United - Cairns,1.42,1,1
2016,Illawarra Hawks - Brisbane Bullets,1.36,1,1
2016,Adelaide - Melbourne United,1.34,1,1
2016,Cairns - New Zealand Breakers,1.5,1,1
2016,Illawarra Hawks - Perth,1.39,1,2
2016,Sydney - New Zealand Breakers,1.41,1,1
2015,Perth - New Zealand Breakers&nbsp;,1.38,1,1
2015,New Zealand Breakers - Perth&nbsp;,1.44,1,1
2015,Perth - New Zealand Breakers&nbsp;,1.41,1,1
2015,Perth - Illawarra Hawks&nbsp;,1.33,1,1
2015,Illawarra Hawks - Perth&nbsp;,1.5,2,1
2015,New Zealand Breakers - Melbourne United&nbsp;,1.37,1,1
2015,Perth - Illawarra Hawks&nbsp;,1.35,1,1
2015,Perth - Adelaide,1.2,1,1
2015,Melbourne United - New Zealand Breakers,1.33,1,2
2015,Townsville - Sydney,1.33,1,1
2015,Illawarra Hawks - Adelaide,1.4,1,1
2015,New Zealand Breakers - Melbourne United,1.2,1,1
2015,New Zealand Breakers - Cairns,1.33,1,1
2015,Illawarra Hawks - Townsville,1.14,1,1
2015,Perth - Sydney,1.07,1,1
2015,Cairns - Adelaide,1.43,1,1
2015,Perth - Melbourne United,1.35,1,2
2015,Cairns - Sydney,1.25,1,1
2015,New Zealand Breakers - Townsville,1.21,1,1
