Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Bauru - Paulistano&nbsp;,1.38,1,1
2016,Bauru - Paulistano&nbsp;,1.3,1,1
2016,Bauru - Paulistano&nbsp;,1.35,1,2
2016,Bauru - Pinheiros&nbsp;,1.28,1,1
2016,Pinheiros - Bauru&nbsp;,1.44,1,2
2016,Bauru - Pinheiros&nbsp;,1.31,1,1
2016,Paulistano - Universo/Vitoria&nbsp;,1.33,1,1
2016,Bauru - Pinheiros&nbsp;,1.29,1,2
2016,Paulistano - Universo/Vitoria&nbsp;,1.37,1,1
2016,Franca - Paulistano&nbsp;,1.5,1,2
2016,Mogi - Universo/Vitoria&nbsp;,1.23,1,2
2016,Flamengo - Pinheiros&nbsp;,1.4,1,2
2016,Universo/Vitoria - Mogi&nbsp;,1.41,2,1
2016,Paulistano - Franca&nbsp;,1.3,1,2
2016,Pinheiros - Flamengo&nbsp;,1.19,2,1
2016,Bauru - Brasilia&nbsp;,1.33,1,1
2016,Mogi - Universo/Vitoria&nbsp;,1.26,1,1
2016,Mogi - Universo/Vitoria&nbsp;,1.29,1,2
2016,Flamengo - Pinheiros&nbsp;,1.19,1,2
2016,Flamengo - Pinheiros&nbsp;,1.14,1,1
2016,Paulistano - Franca&nbsp;,1.44,1,1
2016,Pinheiros - Flamengo&nbsp;,1.35,2,2
2016,Bauru - Brasilia&nbsp;,1.44,1,2
2016,Universo/Vitoria - Campo Mourao&nbsp;,1.35,1,1
2016,Paulistano - Cearense&nbsp;,1.28,1,1
2016,Pinheiros - Vasco&nbsp;,1.48,1,1
2016,Universo/Vitoria - Campo Mourao&nbsp;,1.27,1,2
2016,Universo/Vitoria - Campo Mourao&nbsp;,1.23,1,1
2016,Paulistano - Cearense&nbsp;,1.28,1,2
2016,Bauru - Macae&nbsp;,1.11,1,1
2016,Paulistano - Cearense&nbsp;,1.32,1,1
2016,Pinheiros - Vasco&nbsp;,1.5,1,1
2016,Bauru - Macae&nbsp;,1.1,1,1
2016,Pinheiros - Vasco&nbsp;,1.37,1,2
2016,Macae - Bauru&nbsp;,1.39,2,2
2016,Bauru - Paulistano&nbsp;,1.38,1,1
2016,Bauru - Paulistano&nbsp;,1.3,1,1
2016,Bauru - Paulistano&nbsp;,1.35,1,2
2016,Bauru - Pinheiros&nbsp;,1.28,1,1
2016,Pinheiros - Bauru&nbsp;,1.44,1,2
2016,Bauru - Pinheiros&nbsp;,1.31,1,1
2016,Paulistano - Universo/Vitoria&nbsp;,1.33,1,1
2016,Bauru - Pinheiros&nbsp;,1.29,1,2
2016,Paulistano - Universo/Vitoria&nbsp;,1.37,1,1
2016,Franca - Paulistano&nbsp;,1.5,1,2
2016,Mogi - Universo/Vitoria&nbsp;,1.23,1,2
2016,Flamengo - Pinheiros&nbsp;,1.4,1,2
2016,Universo/Vitoria - Mogi&nbsp;,1.41,2,1
2016,Paulistano - Franca&nbsp;,1.3,1,2
2016,Pinheiros - Flamengo&nbsp;,1.19,2,1
2016,Bauru - Brasilia&nbsp;,1.33,1,1
2016,Mogi - Universo/Vitoria&nbsp;,1.26,1,1
2016,Mogi - Universo/Vitoria&nbsp;,1.29,1,2
2016,Flamengo - Pinheiros&nbsp;,1.19,1,2
2016,Flamengo - Pinheiros&nbsp;,1.14,1,1
2016,Paulistano - Franca&nbsp;,1.44,1,1
2016,Pinheiros - Flamengo&nbsp;,1.35,2,2
2016,Bauru - Brasilia&nbsp;,1.44,1,2
2016,Universo/Vitoria - Campo Mourao&nbsp;,1.35,1,1
2016,Paulistano - Cearense&nbsp;,1.28,1,1
2016,Pinheiros - Vasco&nbsp;,1.48,1,1
2016,Universo/Vitoria - Campo Mourao&nbsp;,1.27,1,2
2016,Universo/Vitoria - Campo Mourao&nbsp;,1.23,1,1
2016,Paulistano - Cearense&nbsp;,1.28,1,2
2016,Bauru - Macae&nbsp;,1.11,1,1
2016,Paulistano - Cearense&nbsp;,1.32,1,1
2016,Pinheiros - Vasco&nbsp;,1.5,1,1
2016,Bauru - Macae&nbsp;,1.1,1,1
2016,Pinheiros - Vasco&nbsp;,1.37,1,2
2016,Macae - Bauru&nbsp;,1.39,2,2
2016,Bauru - Paulistano&nbsp;,1.38,1,1
2016,Bauru - Paulistano&nbsp;,1.3,1,1
2016,Bauru - Paulistano&nbsp;,1.35,1,2
2016,Bauru - Pinheiros&nbsp;,1.28,1,1
2016,Pinheiros - Bauru&nbsp;,1.44,1,2
2016,Bauru - Pinheiros&nbsp;,1.31,1,1
2016,Paulistano - Universo/Vitoria&nbsp;,1.33,1,1
2016,Bauru - Pinheiros&nbsp;,1.29,1,2
2016,Paulistano - Universo/Vitoria&nbsp;,1.37,1,1
2016,Franca - Paulistano&nbsp;,1.5,1,2
2016,Mogi - Universo/Vitoria&nbsp;,1.23,1,2
2016,Flamengo - Pinheiros&nbsp;,1.4,1,2
2016,Universo/Vitoria - Mogi&nbsp;,1.41,2,1
2016,Paulistano - Franca&nbsp;,1.3,1,2
