Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Osorno - Espanol de Talca&nbsp;,1.37,1,2
2016,Espanol de Talca - Osorno&nbsp;,1.45,2,1
2016,Osorno - Espanol de Talca&nbsp;,1.33,1,1
2016,Osorno - Espanol de Talca&nbsp;,1.43,1,1
2016,Espanol de Talca - Leones Quilpue&nbsp;,1.44,2,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.29,1,1
2016,Espanol de Talca - Leones Quilpue&nbsp;,1.41,2,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.32,1,2
2016,Osorno - Ancud&nbsp;,1.47,1,1
2016,Osorno - Ancud&nbsp;,1.43,1,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.31,1,1
2016,Osorno - Las Animas&nbsp;,1.36,1,1
2016,Puente Alto - Catolica&nbsp;,1.42,1,2
2016,Espanol de Talca - U. De Concepcion&nbsp;,1.24,1,1
2016,Puerto Montt - Deportes Castro&nbsp;,1.26,1,1
2016,Ancud - Valdivia&nbsp;,1.37,1,2
2016,Osorno - Las Animas&nbsp;,1.29,1,1
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.48,1,1
2016,Ancud - Valdivia&nbsp;,1.4,1,1
2016,Tinguiririca - Leones Quilpue&nbsp;,1.21,2,2
2016,Ancud - Valdivia&nbsp;,1.36,1,1
2016,Osorno - Las Animas&nbsp;,1.29,1,2
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.49,1,1
2016,Leones Quilpue - Tinguiririca&nbsp;,1.1,1,1
2016,Puerto Montt - Deportes Castro&nbsp;,1.22,1,2
2016,Osorno - Las Animas&nbsp;,1.21,1,1
2016,Leones Quilpue - Tinguiririca&nbsp;,1.17,1,1
2016,Puente Alto - Catolica&nbsp;,1.37,1,2
2016,Puerto Montt - Deportes Castro&nbsp;,1.31,1,1
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.3,1,2
2016,Tinguiririca - Puente Alto,1.36,1,1
2016,Osorno - Espanol de Talca&nbsp;,1.37,1,2
2016,Espanol de Talca - Osorno&nbsp;,1.45,2,1
2016,Osorno - Espanol de Talca&nbsp;,1.33,1,1
2016,Osorno - Espanol de Talca&nbsp;,1.43,1,1
2016,Espanol de Talca - Leones Quilpue&nbsp;,1.44,2,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.29,1,1
2016,Espanol de Talca - Leones Quilpue&nbsp;,1.41,2,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.32,1,2
2016,Osorno - Ancud&nbsp;,1.47,1,1
2016,Osorno - Ancud&nbsp;,1.43,1,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.31,1,1
2016,Osorno - Las Animas&nbsp;,1.36,1,1
2016,Puente Alto - Catolica&nbsp;,1.42,1,2
2016,Espanol de Talca - U. De Concepcion&nbsp;,1.24,1,1
2016,Puerto Montt - Deportes Castro&nbsp;,1.26,1,1
2016,Ancud - Valdivia&nbsp;,1.37,1,2
2016,Osorno - Las Animas&nbsp;,1.29,1,1
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.48,1,1
2016,Ancud - Valdivia&nbsp;,1.4,1,1
2016,Tinguiririca - Leones Quilpue&nbsp;,1.21,2,2
2016,Ancud - Valdivia&nbsp;,1.36,1,1
2016,Osorno - Las Animas&nbsp;,1.29,1,2
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.49,1,1
2016,Leones Quilpue - Tinguiririca&nbsp;,1.1,1,1
2016,Puerto Montt - Deportes Castro&nbsp;,1.22,1,2
2016,Osorno - Las Animas&nbsp;,1.21,1,1
2016,Leones Quilpue - Tinguiririca&nbsp;,1.17,1,1
2016,Puente Alto - Catolica&nbsp;,1.37,1,2
2016,Puerto Montt - Deportes Castro&nbsp;,1.31,1,1
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.3,1,2
2016,Tinguiririca - Puente Alto,1.36,1,1
2016,Osorno - Espanol de Talca&nbsp;,1.37,1,2
2016,Espanol de Talca - Osorno&nbsp;,1.45,2,1
2016,Osorno - Espanol de Talca&nbsp;,1.33,1,1
2016,Osorno - Espanol de Talca&nbsp;,1.43,1,1
2016,Espanol de Talca - Leones Quilpue&nbsp;,1.44,2,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.29,1,1
2016,Espanol de Talca - Leones Quilpue&nbsp;,1.41,2,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.32,1,2
2016,Osorno - Ancud&nbsp;,1.47,1,1
2016,Osorno - Ancud&nbsp;,1.43,1,1
2016,Leones Quilpue - Espanol de Talca&nbsp;,1.31,1,1
2016,Osorno - Las Animas&nbsp;,1.36,1,1
2016,Puente Alto - Catolica&nbsp;,1.42,1,2
2016,Espanol de Talca - U. De Concepcion&nbsp;,1.24,1,1
2016,Puerto Montt - Deportes Castro&nbsp;,1.26,1,1
2016,Ancud - Valdivia&nbsp;,1.37,1,2
2016,Osorno - Las Animas&nbsp;,1.29,1,1
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.48,1,1
2016,Ancud - Valdivia&nbsp;,1.4,1,1
2016,Tinguiririca - Leones Quilpue&nbsp;,1.21,2,2
2016,Ancud - Valdivia&nbsp;,1.36,1,1
2016,Osorno - Las Animas&nbsp;,1.29,1,2
2016,U. De Concepcion - Espanol de Talca&nbsp;,1.49,1,1
