Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Romania U20 - Croatia U20,1.15,2,1
2017,Hungary U20 - Kosovo U20,1.05,1,1
2017,Poland U20 - Belgium U20,1.37,1,1
2017,Albania U20 - FYR Macedonia U20,1.24,2,2
2017,Finland U20 - Netherlands U20,1.3,1,1
2017,Armenia U20 - Ireland U20,1.27,1,1
2017,Azerbaijan U20 - Malta U20,1.12,1,1
2017,Great Britain U20 - Croatia U20,1.08,2,2
2017,Netherlands U20 - Kosovo U20,1.01,1,1
2017,Russia U20 - Romania U20,1.25,1,2
2017,Finland U20 - Hungary U20,1.29,1,1
2017,Slovakia U20 - Albania U20,1.07,1,2
2017,Malta U20 - Ireland U20,1.34,2,2
2017,Russia U20 - Belgium U20,1.16,1,1
2017,FYR Macedonia U20 - Kosovo U20,1.18,1,2
2017,Netherlands U20 - Belarus U20,1.07,1,1
2017,Croatia U20 - Georgia U20,1.01,1,1
2017,Hungary U20 - Albania U20,1.01,1,1
2017,Poland U20 - Great Britain U20,1.36,1,2
2017,Finland U20 - Slovakia U20,1.01,1,1
2017,Moldova U20 - Malta U20,1.03,2,2
2017,Armenia U20 - Azerbaijan U20,1.06,1,1
2017,Finland U20 - Belarus U20,1.05,1,1
2017,Kosovo U20 - Portugal U20,1.01,2,2
2017,Belgium U20 - Armenia U20,1.06,1,1
2017,Hungary U20 - Ireland U20,1.01,1,1
2017,Malta U20 - FYR Macedonia U20,1.01,2,2
2017,FYR Macedonia U20 - Romania U20,1.17,2,2
2017,Slovakia U20 - Netherlands U20,1.05,2,2
2017,Azerbaijan U20 - Great Britain U20,1.01,2,2
2017,Belarus U20 - Belgium U20,1.04,2,2
2017,Hungary U20 - Kosovo U20,1.04,1,1
2017,Albania U20 - Georgia U20,1.01,2,2
2017,Kosovo U20 - Ireland U20,1.41,1,1
2017,Netherlands U20 - Russia U20,1.24,2,2
2017,Romania U20 - Croatia U20,1.15,2,1
2017,Hungary U20 - Kosovo U20,1.05,1,1
2017,Poland U20 - Belgium U20,1.37,1,1
2017,Albania U20 - FYR Macedonia U20,1.24,2,2
2017,Finland U20 - Netherlands U20,1.3,1,1
2017,Armenia U20 - Ireland U20,1.27,1,1
2017,Azerbaijan U20 - Malta U20,1.12,1,1
2017,Great Britain U20 - Croatia U20,1.08,2,2
2017,Netherlands U20 - Kosovo U20,1.01,1,1
2017,Russia U20 - Romania U20,1.25,1,2
2017,Finland U20 - Hungary U20,1.29,1,1
2017,Slovakia U20 - Albania U20,1.07,1,2
2017,Malta U20 - Ireland U20,1.34,2,2
2017,Russia U20 - Belgium U20,1.16,1,1
2017,FYR Macedonia U20 - Kosovo U20,1.18,1,2
2017,Netherlands U20 - Belarus U20,1.07,1,1
2017,Croatia U20 - Georgia U20,1.01,1,1
2017,Hungary U20 - Albania U20,1.01,1,1
2017,Poland U20 - Great Britain U20,1.36,1,2
2017,Finland U20 - Slovakia U20,1.01,1,1
2017,Moldova U20 - Malta U20,1.03,2,2
2017,Armenia U20 - Azerbaijan U20,1.06,1,1
2017,Finland U20 - Belarus U20,1.05,1,1
2017,Kosovo U20 - Portugal U20,1.01,2,2
2017,Belgium U20 - Armenia U20,1.06,1,1
2017,Hungary U20 - Ireland U20,1.01,1,1
2017,Malta U20 - FYR Macedonia U20,1.01,2,2
2017,FYR Macedonia U20 - Romania U20,1.17,2,2
2017,Slovakia U20 - Netherlands U20,1.05,2,2
2017,Azerbaijan U20 - Great Britain U20,1.01,2,2
2017,Belarus U20 - Belgium U20,1.04,2,2
2017,Hungary U20 - Kosovo U20,1.04,1,1
2017,Albania U20 - Georgia U20,1.01,2,2
2017,Kosovo U20 - Ireland U20,1.41,1,1
2017,Netherlands U20 - Russia U20,1.24,2,2
2016,Montenegro U20 - Iceland U20,1.2,1,1
2016,Croatia U20 - Greece U20,1.36,2,2
2016,Poland U20 - Bosnia &amp; Herzegovina U20,1.26,2,2
2016,Romania U20 - Russia U20,1.07,2,2
2016,Great Britain U20 - Georgia U20,1.11,1,1
2016,Portugal U20 - Ireland U20,1.48,1,1
2016,Netherlands U20 - Slovakia U20,1.41,1,1
2016,Belarus U20 - FYR Macedonia U20,1.26,1,1
2016,Bulgaria U20 - Armenia U20,1.42,1,2
2016,Kosovo U20 - Estonia U20,1.17,2,2
2016,Iceland U20 - Greece U20,1.03,2,1
2016,Georgia U20 - Bosnia &amp; Herzegovina U20,1.03,2,2
2016,Montenegro U20 - Croatia U20,1.37,2,1
2016,Poland U20 - Great Britain U20,1.35,1,1
2016,Russia U20 - Ireland U20,1.02,1,1
2016,Belarus U20 - Netherlands U20,1.34,1,1
2016,Bulgaria U20 - Kosovo U20,1.11,1,1
2016,Iceland U20 - Georgia U20,1.35,1,1
2016,Greece U20 - Bosnia &amp; Herzegovina U20,1.1,1,1
2016,Russia U20 - FYR Macedonia U20,1.06,1,1
2016,Croatia U20 - Great Britain U20,1.04,1,1
2016,Montenegro U20 - Poland U20,1.24,1,1
2016,Albania U20 - Bulgaria U20,1.09,2,2
2016,Armenia U20 - Estonia U20,1.08,2,1
2016,Romania U20 - Slovakia U20,1.16,1,2
2016,Iceland U20 - Poland U20,1.13,2,1
2016,Georgia U20 - Armenia U20,1.05,1,2
2016,Kosovo U20 - Ireland U20,1.12,2,2
2016,Albania U20 - Netherlands U20,1.04,2,2
2016,Poland U20 - Estonia U20,1.03,1,1
2016,Belarus U20 - Russia U20,1.28,2,2
2016,Great Britain U20 - Netherlands U20,1.23,1,1
2016,Ireland U20 - Albania U20,1.2,1,1
2016,Croatia U20 - Bosnia &amp; Herzegovina U20,1.4,1,1
2016,Russia U20 - Poland U20,1.28,2,2
2016,Estonia U20 - Iceland U20,1.43,2,2
2016,Montenegro U20 - Iceland U20,1.2,1,1
2016,Croatia U20 - Greece U20,1.36,2,2
2016,Poland U20 - Bosnia &amp; Herzegovina U20,1.26,2,2
2016,Romania U20 - Russia U20,1.07,2,2
2016,Great Britain U20 - Georgia U20,1.11,1,1
2016,Portugal U20 - Ireland U20,1.48,1,1
2016,Netherlands U20 - Slovakia U20,1.41,1,1
2016,Belarus U20 - FYR Macedonia U20,1.26,1,1
2016,Bulgaria U20 - Armenia U20,1.42,1,2
2016,Kosovo U20 - Estonia U20,1.17,2,2
2016,Iceland U20 - Greece U20,1.03,2,1
2016,Georgia U20 - Bosnia &amp; Herzegovina U20,1.03,2,2
2016,Montenegro U20 - Croatia U20,1.37,2,1
2016,Poland U20 - Great Britain U20,1.35,1,1
2016,Russia U20 - Ireland U20,1.02,1,1
2016,Belarus U20 - Netherlands U20,1.34,1,1
2016,Bulgaria U20 - Kosovo U20,1.11,1,1
2016,Iceland U20 - Georgia U20,1.35,1,1
2016,Greece U20 - Bosnia &amp; Herzegovina U20,1.1,1,1
2016,Russia U20 - FYR Macedonia U20,1.06,1,1
2016,Croatia U20 - Great Britain U20,1.04,1,1
2016,Montenegro U20 - Poland U20,1.24,1,1
2016,Albania U20 - Bulgaria U20,1.09,2,2
2016,Armenia U20 - Estonia U20,1.08,2,1
2016,Romania U20 - Slovakia U20,1.16,1,2
2016,Iceland U20 - Poland U20,1.13,2,1
2016,Georgia U20 - Armenia U20,1.05,1,2
2016,Kosovo U20 - Ireland U20,1.12,2,2
2016,Albania U20 - Netherlands U20,1.04,2,2
2016,Poland U20 - Estonia U20,1.03,1,1
2016,Belarus U20 - Russia U20,1.28,2,2
2016,Great Britain U20 - Netherlands U20,1.23,1,1
2016,Ireland U20 - Albania U20,1.2,1,1
2016,Croatia U20 - Bosnia &amp; Herzegovina U20,1.4,1,1
2016,Russia U20 - Poland U20,1.28,2,2
2016,Estonia U20 - Iceland U20,1.43,2,2
2015,Georgia U20 - Armenia U20,1.48,1,1
2015,FYR Macedonia U20 - Luxembourg U20,1.3,1,1
2015,Austria U20 - Albania U20,1.25,1,1
2015,Portugal U20 - Slovakia U20,1.3,2,1
2015,Romania U20 - Moldova U20,1.01,1,1
2015,Portugal U20 - Romania U20,1.09,1,2
2015,Belarus U20 - Luxembourg U20,1.34,1,1
2015,Slovakia U20 - Switzerland U20,1.29,1,1
2015,Armenia U20 - Albania U20,1.26,1,1
2015,Montenegro U20 - Finland U20,1.42,1,2
2015,Slovakia U20 - Armenia U20,1.2,1,1
2015,Hungary U20 - Belarus U20,1.34,1,2
2015,Sweden U20 - FYR Macedonia U20,1.27,1,1
2015,Portugal U20 - Austria U20,1.43,1,1
2015,Romania U20 - Georgia U20,1.45,2,2
2015,Belarus U20 - Sweden U20,1.41,2,2
2015,Armenia U20 - Moldova U20,1.01,1,1
2015,FYR Macedonia U20 - Hungary U20,1.49,2,2
2015,Albania U20 - Switzerland U20,1.11,2,2
2015,Netherlands U20 - Montenegro U20,1.07,2,2
2015,Austria U20 - Georgia U20,1.32,1,2
2015,Finland U20 - Luxembourg U20,1.25,1,1
2015,FYR Macedonia U20 - Switzerland U20,1.03,1,1
2015,Netherlands U20 - Romania U20,1.08,1,1
2015,Kosovo U20 - Luxembourg U20,1.12,2,2
2015,Montenegro U20 - Georgia U20,1.01,1,1
2015,Armenia U20 - Belarus U20,1.1,2,2
2015,Austria U20 - Finland U20,1.05,2,2
2015,Moldova U20 - Slovakia U20,1.01,2,2
2015,Georgia U20 - Kosovo U20,1.31,1,2
2015,Slovakia U20 - Hungary U20,1.04,2,2
2015,Albania U20 - Moldova U20,1.06,1,1
2015,Kosovo U20 - Montenegro U20,1.01,2,2
2015,Romania U20 - Finland U20,1.03,2,2
2015,Switzerland U20 - Belarus U20,1.06,2,2
2015,Portugal U20 - Georgia U20,1.09,1,1
2015,Georgia U20 - Armenia U20,1.48,1,1
2015,FYR Macedonia U20 - Luxembourg U20,1.3,1,1
2015,Austria U20 - Albania U20,1.25,1,1
2015,Portugal U20 - Slovakia U20,1.3,2,1
2015,Romania U20 - Moldova U20,1.01,1,1
2015,Portugal U20 - Romania U20,1.09,1,2
2015,Belarus U20 - Luxembourg U20,1.34,1,1
2015,Slovakia U20 - Switzerland U20,1.29,1,1
2015,Armenia U20 - Albania U20,1.26,1,1
2015,Montenegro U20 - Finland U20,1.42,1,2
2015,Slovakia U20 - Armenia U20,1.2,1,1
2015,Hungary U20 - Belarus U20,1.34,1,2
2015,Sweden U20 - FYR Macedonia U20,1.27,1,1
2015,Portugal U20 - Austria U20,1.43,1,1
2015,Romania U20 - Georgia U20,1.45,2,2
2015,Belarus U20 - Sweden U20,1.41,2,2
2015,Armenia U20 - Moldova U20,1.01,1,1
2015,FYR Macedonia U20 - Hungary U20,1.49,2,2
2015,Albania U20 - Switzerland U20,1.11,2,2
2015,Netherlands U20 - Montenegro U20,1.07,2,2
2015,Austria U20 - Georgia U20,1.32,1,2
2015,Finland U20 - Luxembourg U20,1.25,1,1
2015,FYR Macedonia U20 - Switzerland U20,1.03,1,1
2015,Netherlands U20 - Romania U20,1.08,1,1
2015,Kosovo U20 - Luxembourg U20,1.12,2,2
2015,Montenegro U20 - Georgia U20,1.01,1,1
2015,Armenia U20 - Belarus U20,1.1,2,2
2015,Austria U20 - Finland U20,1.05,2,2
2015,Moldova U20 - Slovakia U20,1.01,2,2
2015,Georgia U20 - Kosovo U20,1.31,1,2
2015,Slovakia U20 - Hungary U20,1.04,2,2
2015,Albania U20 - Moldova U20,1.06,1,1
2015,Kosovo U20 - Montenegro U20,1.01,2,2
2015,Romania U20 - Finland U20,1.03,2,2
2015,Switzerland U20 - Belarus U20,1.06,2,2
2015,Portugal U20 - Georgia U20,1.09,1,1
2014,Bosnia &amp; Herzegovina U20 - Belgium U20,1.14,1,1
2014,Romania U20 - Georgia U20,1.47,2,1
2014,Portugal U20 - Netherlands U20,1.49,1,2
2014,Finland U20 - Cyprus U20,1.13,1,1
2014,Bosnia &amp; Herzegovina U20 - Ukraine U20,1.05,1,1
2014,Belarus U20 - Belgium U20,1.29,2,2
2014,Portugal U20 - Finland U20,1.47,1,1
2014,Netherlands U20 - Cyprus U20,1.09,1,1
2014,Bosnia &amp; Herzegovina U20 - Luxembourg U20,1.01,1,1
2014,Portugal U20 - Belgium U20,1.41,2,2
2014,Finland U20 - Switzerland U20,1.06,1,2
2014,Estonia U20 - Cyprus U20,1.17,1,2
2014,Austria U20 - Netherlands U20,1.07,2,2
2014,Belgium U20 - Estonia U20,1.03,1,1
2014,Luxembourg U20 - Portugal U20,1.02,2,2
2014,Belarus U20 - Austria U20,1.02,1,1
2014,Switzerland U20 - Georgia U20,1.11,2,2
2014,Cyprus U20 - Romania U20,1.02,2,1
2014,Portugal U20 - Bosnia &amp; Herzegovina U20,1.01,2,2
2014,Estonia U20 - Luxembourg U20,1.26,1,1
2014,Romania U20 - Belgium U20,1.07,2,2
2014,Austria U20 - Ukraine U20,1.02,2,2
2014,Bosnia &amp; Herzegovina U20 - Estonia U20,1.01,1,1
2014,Netherlands U20 - Switzerland U20,1.03,1,1
2014,Ukraine U20 - Finland U20,1.41,2,1
2014,Luxembourg U20 - Romania U20,1.36,2,2
2014,Belarus U20 - Georgia U20,1.31,1,1
2014,Romania U20 - Bosnia &amp; Herzegovina U20,1.01,2,2
2014,Switzerland U20 - Belarus U20,1.02,2,2
2014,Finland U20 - Austria U20,1.02,1,1
2014,Georgia U20 - Ukraine U20,1.12,2,2
2014,Estonia U20 - Portugal U20,1.29,2,2
2014,Cyprus U20 - Luxembourg U20,1.47,2,2
2014,Luxembourg U20 - Belgium U20,1.02,2,2
2014,Portugal U20 - Romania U20,1.3,1,1
2014,Ukraine U20 - Switzerland U20,1.01,1,1
2014,Belgium U20 - Bosnia &amp; Herzegovina U20,1.11,2,2
2014,Bosnia &amp; Herzegovina U20 - Belgium U20,1.14,1,1
2014,Romania U20 - Georgia U20,1.47,2,1
2014,Portugal U20 - Netherlands U20,1.49,1,2
2014,Finland U20 - Cyprus U20,1.13,1,1
2014,Bosnia &amp; Herzegovina U20 - Ukraine U20,1.05,1,1
2014,Belarus U20 - Belgium U20,1.29,2,2
2014,Portugal U20 - Finland U20,1.47,1,1
2014,Netherlands U20 - Cyprus U20,1.09,1,1
2014,Bosnia &amp; Herzegovina U20 - Luxembourg U20,1.01,1,1
2014,Portugal U20 - Belgium U20,1.41,2,2
2014,Finland U20 - Switzerland U20,1.06,1,2
2014,Estonia U20 - Cyprus U20,1.17,1,2
2014,Austria U20 - Netherlands U20,1.07,2,2
2014,Belgium U20 - Estonia U20,1.03,1,1
2014,Luxembourg U20 - Portugal U20,1.02,2,2
2014,Belarus U20 - Austria U20,1.02,1,1
2014,Switzerland U20 - Georgia U20,1.11,2,2
