Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Bayern - Bamberg,1.46,2,2
2017,Alba Berlin - Ludwigsburg,1.41,1,1
2017,Ludwigsburg - Bamberg,1.11,2,2
2017,Bayern - Alba Berlin,1.18,1,1
2017,Ludwigsburg - Ulm,1.43,2,1
2017,Bayern - Bonn,1.08,1,1
2017,Bayreuth - Bamberg,1.23,2,2
2015,Bayern - Alba Berlin,1.34,1,2
2015,Frankfurt - Oldenburg,1.44,1,1
2015,Ludwigsburg - Bamberg,1.32,2,2
2015,Alba Berlin - s.Oliver Wurzburg,1.1,1,1
2014,Oldenburg - Bamberg,1.44,2,1
2014,Bonn - Alba Berlin,1.41,2,2
2014,Oldenburg - Bonn,1.5,1,1
2014,Bonn - Gottingen,1.19,1,1
2014,Ulm - Bamberg,1.35,2,2
2013,Bayern - Ulm,1.5,1,2
2013,Alba Berlin - Bonn,1.22,1,1
2013,Bayern - Artland,1.09,1,1
2012,Ulm - Alba Berlin,1.45,2,2
2012,Artland - Bayern,1.45,2,2
2012,Alba Berlin - Bayern,1.43,1,1
2012,Bamberg - Bayern,1.28,1,2
2012,Ulm - Trier,1.12,1,1
2011,Bonn - Bamberg,1.31,2,2
2011,Basketball Braunschweig - Ulm,1.37,2,2
2011,Ulm - Bamberg,1.19,2,2
2011,Bonn - Basketball Braunschweig,1.48,1,1
2011,Alba Berlin - Basketball Braunschweig,1.12,1,2
2011,Ulm - Oldenburg,1.33,1,1
2011,Bamberg - Artland,1.15,1,1
2010,Basketball Braunschweig - Bamberg,1.12,2,2
2010,Artland - Bamberg,1.15,2,2
2010,Frankfurt - Basketball Braunschweig,1.38,1,2
2010,Basketball Braunschweig - Oldenburg,1.47,1,1
2010,Frankfurt - Bonn,1.34,1,1
2009,Gottingen - Oldenburg,1.49,1,1
2008,Bonn - Alba Berlin,1.5,2,2
2008,Alba Berlin - Frankfurt,1.46,1,1
2008,Bonn - Dusseldorf,1.2,1,1
2008,Paderborn - Alba Berlin,1.2,2,2
