Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Killester - Eanna,1.18,1,1
2016,GCD Swords Thunder - Marian,1.5,1,1
2016,Killester - Templeogue,1.45,2,2
2016,KUBS Basketball Club - Killester,1.22,2,1
2016,KUBS Basketball Club - Templeogue,1.04,2,2
2016,Killester - KUBS Basketball Club,1.03,1,2
2016,Templeogue - Belfast,1.01,1,1
2016,GCD Swords Thunder - KUBS Basketball Club,1.01,1,1
2016,DCU Saints - Moycullen,1.5,1,1
2016,KUBS Basketball Club - Marian,1.1,2,2
2016,UCC Demons - KUBS Basketball Club,1.18,1,1
2016,Moycullen - Tralee Warriors,1.47,2,2
2016,Killester - Belfast,1.43,1,1
2016,GCD Swords Thunder - Killester,1.13,1,1
2016,KUBS Basketball Club - Belfast,1.49,2,2
2016,Templeogue - KUBS Basketball Club,1.01,1,1
