Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Zalgiris Kaunas - Lietkabelis,1.1,1,1
2016,Zalgiris Kaunas - Vytautas,1.07,1,1
2016,Lietkabelis - Juventus,1.48,1,1
2016,Alytaus Dzukija - Lietkabelis,1.18,2,2
2016,Zalgiris Kaunas - Neptunas,1.05,1,1
2016,Juventus - Lietuvos Rytas,1.35,2,1
2015,Vytautas - Neptunas,1.15,2,2
2015,Lietuvos Rytas - Neptunas,1.37,1,1
2015,Zalgiris Kaunas - Vytautas,1.01,1,1
2015,Lietuvos Rytas - Lietkabelis,1.03,1,1
2015,Neptunas - Siauliai,1.31,1,1
2015,Vytautas - Juventus,1.5,1,1
2014,Lietuvos Rytas - Zalgiris Kaunas,1.34,2,2
2014,Juventus - Zalgiris Kaunas,1.07,2,2
2014,Lietuvos Rytas - Siauliai,1.08,1,1
2014,Zalgiris Kaunas - Lietkabelis,1.02,1,1
2014,Neptunas - Siauliai,1.26,1,2
2014,Lietuvos Rytas - Alytaus Dzukija,1.1,1,1
2013,Vytautas - Lietuvos Rytas,1.23,2,1
2013,Zalgiris Kaunas - Neptunas,1.32,1,1
2013,Neptunas - Lietuvos Rytas,1.18,2,2
2013,Vytautas - Zalgiris Kaunas,1.15,2,1
2013,Neptunas - Siauliai&nbsp;,1.24,1,1
2013,Pieno Zvaigzdes - Vytautas&nbsp;,1.46,1,1
2013,Pieno Zvaigzdes - Nevezis&nbsp;,1.06,1,1
2013,Siauliai - Juventus&nbsp;,1.24,1,1
2013,Nevezis - Pieno Zvaigzdes&nbsp;,1.28,2,2
2013,Nevezis - Lietkabelis&nbsp;,1.16,1,1
2013,Juventus - Atletas,1.1,1,1
2013,Siauliai - Alytaus Dzukija,1.24,1,1
2013,Pieno Zvaigzdes - Mazeikiai,1.06,1,1
2013,Mazeikiai - Pieno Zvaigzdes,1.17,2,2
2012,Vytautas - Pieno Zvaigzdes&nbsp;,1.15,1,1
2012,Pieno Zvaigzdes - Vytautas&nbsp;,1.49,2,1
2012,Siauliai - Pieno Zvaigzdes&nbsp;,1.31,1,2
2012,Vytautas - Nevezis&nbsp;,1.01,1,1
