2016,Golden State Warriors - Cleveland Cavaliers&nbsp;,1.26,1
2016,Golden State Warriors - Cleveland Cavaliers&nbsp;,1.25,1
2016,Golden State Warriors - Cleveland Cavaliers&nbsp;,1.31,1
2016,Boston Celtics - Cleveland Cavaliers&nbsp;,1.19,1
2016,Cleveland Cavaliers - Boston Celtics&nbsp;,1.04,1
2016,San Antonio Spurs - Golden State Warriors&nbsp;,1.14,1
2016,Cleveland Cavaliers - Boston Celtics&nbsp;,1.03,0
2016,San Antonio Spurs - Golden State Warriors&nbsp;,1.22,1
2016,Boston Celtics - Cleveland Cavaliers&nbsp;,1.47,1
2016,Golden State Warriors - San Antonio Spurs&nbsp;,1.07,1
2016,Boston Celtics - Washington Wizards&nbsp;,1.47,1
2016,Golden State Warriors - San Antonio Spurs&nbsp;,1.16,1
2016,Washington Wizards - Boston Celtics&nbsp;,1.47,1
2016,Houston Rockets - San Antonio Spurs&nbsp;,1.2,0
2016,San Antonio Spurs - Houston Rockets&nbsp;,1.46,1
2016,Utah Jazz - Golden State Warriors&nbsp;,1.23,1
2016,Houston Rockets - San Antonio Spurs&nbsp;,1.47,1
2016,Toronto Raptors - Cleveland Cavaliers&nbsp;,1.34,1
2016,Utah Jazz - Golden State Warriors&nbsp;,1.37,1
2016,Houston Rockets - San Antonio Spurs&nbsp;,1.45,0
2016,Golden State Warriors - Utah Jazz&nbsp;,1.06,1
2016,Washington Wizards - Boston Celtics&nbsp;,1.45,1
2016,San Antonio Spurs - Houston Rockets&nbsp;,1.41,1
2016,Cleveland Cavaliers - Toronto Raptors&nbsp;,1.29,1
2016,Golden State Warriors - Utah Jazz&nbsp;,1.07,1
2016,Boston Celtics - Washington Wizards&nbsp;,1.48,1
2016,San Antonio Spurs - Houston Rockets&nbsp;,1.36,0
2016,Cleveland Cavaliers - Toronto Raptors&nbsp;,1.32,1
2016,Utah Jazz - Los Angeles Clippers&nbsp;,1.43,0
2016,Memphis Grizzlies - San Antonio Spurs&nbsp;,1.46,1
2016,Boston Celtics - Chicago Bulls&nbsp;,1.27,1
2016,Washington Wizards - Atlanta Hawks&nbsp;,1.38,1
2016,San Antonio Spurs - Memphis Grizzlies&nbsp;,1.14,1
