Season,Participants,Best Odd,Your Bet,Winning Bet
2017,USA 3x3 U18 W - Russia 3x3 U18 W,1.17,1,1
2017,Australia 3x3 U18 W - USA 3x3 U18 W,1.04,2,2
2017,Australia 3x3 U18 W - Japan 3x3 U18 W,1.41,1,2
2017,Kazakhstan 3x3 U18 W - Singapore 3x3 U18 W,1.02,1,1
2017,China 3x3 U18 W - Argentina 3x3 U18 W,1.3,1,1
2017,Venezuela 3x3 U18 W - Russia 3x3 U18 W,1.17,2,2
2017,Russia 3x3 U18 W - Italy 3x3 U18 W,1.22,1,2
2017,Venezuela 3x3 U18 W - China 3x3 U18 W,1.13,2,2
2017,Singapore 3x3 U18 W - Egypt 3x3 U18 W,1.43,2,2
2017,Egypt 3x3 U18 W - Kazakhstan 3x3 U18 W,1.5,1,2
2017,Andorra 3x3 U18 W - Sri Lanka 3x3 U18 W,1.3,1,1
