Season,Participants,Best Odd,Your Bet,Winning Bet
2015,Nice W - Fleury Loiret W,1.31,2,2
2015,Fleury Loiret W - Dijon W,1.05,1,1
2015,Issy W - Besancon W,1.2,1,1
2015,Metz W - Nantes W,1.1,1,1
2015,Nimes W - Nice W,1.4,1,2
2014,Mios Biganos W - Fleury Loiret W,1.2,2,2
2014,Nantes W - Fleury Loiret W,1.28,2,0
2014,Toulon W - Issy W,1.25,2,2
2014,Nantes W - Dijon W&nbsp;,1.25,1,1
2014,Nimes W - Nice W&nbsp;,1.4,1,0
2013,Fleury Loiret W - Metz W,1.45,2,2
2013,Mios Biganos W - Issy W,1.42,2,2
2013,Nimes W - Metz W,1.01,2,2
2013,Nantes W - Fleury Loiret W,1.07,2,2
2012,Metz W - Fleury Loiret W,1.28,1,2
2011,Arvor W - Mios Biganos W,1.4,1,1
2011,Havre W - Mios Biganos W,1.1,1,2
2011,Fleury Loiret W - Arvor W,1.23,2,2
2011,Havre W - Issy W,1.29,1,1
2011,Arvor W - Besancon W&nbsp;,1.01,1,1
2011,Besancon W - Arvor W&nbsp;,1.19,2,1
2011,Dijon W - Issy W&nbsp;,1.09,2,2
