Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Pinheiros - Taubate,1.23,2,1
2017,Universidad Nacional De Lujan - Sag Villa Ballester,1.47,1,1
2017,Universidad Nacional De Lujan - Taubate,1.03,2,2
2017,Colegio Aleman - Sag Villa Ballester,1.09,2,2
2017,Sag Villa Ballester - Ovalle Balonmano,1.03,1,1
2017,Sag Villa Ballester - Taubate,1.08,2,2
2017,Pinheiros - Colegio Aleman,1.02,1,1
2016,Pinheiros - Taubate,1.15,2,2
2016,Sag Villa Ballester - River Plate,1.42,1,1
2016,Salto del Guaira - Colegio Aleman,1.14,2,2
2016,River Plate - Pinheiros,1.37,2,2
2016,Taubate - Sag Villa Ballester,1.17,1,1
2016,Colegio Aleman - New York City,1.29,1,2
2016,Italiano - Salto del Guaira,1.21,1,1
2016,Taubate - River Plate,1.1,1,1
2016,Salto del Guaira - Colegio Aleman,1.02,2,2
2016,Italiano - New York City,1.5,2,1
2016,Sag Villa Ballester - Colegio Aleman,1.03,1,1
