Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
2016,Shawinigan Cataractes - Val-d'Or Foreurs&nbsp;,1.31,1,2
2016,Baie-Comeau Drakkar - Charlottetown Islanders&nbsp;,1.37,2,2
2016,Rimouski Oceanic - Saint John Sea Dogs&nbsp;,1.23,2,2
2016,Saint John Sea Dogs - Chicoutimi Sagueneens&nbsp;,1.42,1,0
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.38,2,2
2016,Val-d'Or Foreurs - Saint John Sea Dogs&nbsp;,1.39,2,2
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.45,1,2
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.26,1,1
2016,Rouyn-Noranda Huskies - Chicoutimi Sagueneens&nbsp;,1.47,1,1
2016,Saint John Sea Dogs - Val-d'Or Foreurs&nbsp;,1.28,1,0
2016,Rouyn-Noranda Huskies - Halifax Mooseheads&nbsp;,1.37,1,1
