Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.44,1,1
2016,Swift Current Broncos - Regina Pats&nbsp;,1.5,2,2
2016,Regina Pats - Swift Current Broncos&nbsp;,1.41,1,1
2016,Regina Pats - Swift Current Broncos&nbsp;,1.45,1,1
2015,Brandon Wheat Kings - Moose Jaw Warriors&nbsp;,1.35,1,1
2015,Brandon Wheat Kings - Moose Jaw Warriors&nbsp;,1.4,1,1
2015,Brandon Wheat Kings - Moose Jaw Warriors&nbsp;,1.41,1,1
2015,Brandon Wheat Kings - Edmonton Oil Kings&nbsp;,1.26,1,1
2015,Edmonton Oil Kings - Brandon Wheat Kings&nbsp;,1.46,2,2
2015,Victoria Royals - Spokane Chiefs&nbsp;,1.4,1,2
2015,Edmonton Oil Kings - Brandon Wheat Kings&nbsp;,1.44,2,2
2015,Brandon Wheat Kings - Moose Jaw Warriors&nbsp;,1.35,1,1
2015,Brandon Wheat Kings - Moose Jaw Warriors&nbsp;,1.4,1,1
2015,Brandon Wheat Kings - Moose Jaw Warriors&nbsp;,1.41,1,1
2015,Brandon Wheat Kings - Edmonton Oil Kings&nbsp;,1.26,1,1
2015,Edmonton Oil Kings - Brandon Wheat Kings&nbsp;,1.46,2,2
2015,Victoria Royals - Spokane Chiefs&nbsp;,1.4,1,2
