Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Jablonec - Vsetin,1.09,2,2
2016,Havlickuv Brod - Jablonec,1.19,1,1
2016,Vsetin - Havlickuv Brod,1.17,1,0
2016,Vsetin - Jablonec,1.15,1,1
2016,Pisek - Kobra Praha&nbsp;,1.2,2,2
2016,Kobra Praha - Pisek&nbsp;,1.08,1,0
2016,Decin - Sokolov,1.27,1,1
2016,Kobra Praha - Trutnov,1.36,1,1
2016,Bilina - Jablonec,1.48,2,0
2016,Klatovy - Risuty,1.34,1,2
2016,Risuty - Sokolov,1.24,1,0
2016,Jablonec - Sokolov,1.13,1,1
2016,Kobra Praha - Decin,1.26,1,1
2016,Klatovy - Trutnov,1.35,1,1
2016,Sokolov - Klatovy,1.36,2,2
2016,Klatovy - Decin,1.5,1,1
2016,Jablonec - Vsetin,1.09,2,2
2016,Havlickuv Brod - Jablonec,1.19,1,1
2016,Vsetin - Havlickuv Brod,1.17,1,0
2016,Vsetin - Jablonec,1.15,1,1
2016,Pisek - Kobra Praha&nbsp;,1.2,2,2
2016,Kobra Praha - Pisek&nbsp;,1.08,1,0
2016,Decin - Sokolov,1.27,1,1
2016,Kobra Praha - Trutnov,1.36,1,1
2016,Bilina - Jablonec,1.48,2,0
2016,Klatovy - Risuty,1.34,1,2
2016,Risuty - Sokolov,1.24,1,0
2016,Jablonec - Sokolov,1.13,1,1
2016,Kobra Praha - Decin,1.26,1,1
2016,Klatovy - Trutnov,1.35,1,1
2016,Sokolov - Klatovy,1.36,2,2
2016,Klatovy - Decin,1.5,1,1
2015,Bilina - Kolin,1.38,2,1
2015,Tabor - Sokolov,1.17,1,1
2015,Jablonec - Bilina,1.42,1,1
2015,Jindrichuv Hradec - Risuty,1.32,2,1
2015,Pelhrimov - Klatovy,1.5,2,1
2015,Kolin - Decin,1.17,1,1
2015,Jindrichuv Hradec - Pisek,1.37,2,2
2015,Klatovy - Klasterec,1.17,1,1
2014,Kobra Praha - Decin&nbsp;,1.3,1,1
