Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Olimpija Ljubljana - Slavija&nbsp;,1.1,1,1
2016,Jesenice - Celje&nbsp;,1.11,1,1
2016,HK MK Bled - Celje&nbsp;,1.39,2,2
2016,Mladost - Slavija,1.46,2,2
2016,Zagreb - Medvescak Zagreb 2,1.17,2,2
2016,Maribor - Triglav,1.03,2,2
2016,Celje - Maribor,1.2,1,1
2015,Olimpija Ljubljana - Jesenice&nbsp;,1.46,1,1
2015,Olimpija Ljubljana - Jesenice&nbsp;,1.4,1,0
2015,Jesenice - Celje&nbsp;,1.37,1,1
2015,Slavija - Olimpija Ljubljana&nbsp;,1.2,2,2
2015,Olimpija Ljubljana - Slavija&nbsp;,1.07,1,1
2015,Jesenice - Celje&nbsp;,1.3,1,2
2015,HK MK Bled - Jesenice,1.03,2,2
2015,Celje - HK MK Bled,1.12,1,1
