Season,Participants,Best Odd,Your Bet,Winning Bet
2013,Kristianstads - Nybro,1.22,1,1
2013,Olofstroms - Tingsryds,1.45,2,2
2013,Kallinge/Ronneby - Olofstroms,1.46,1,1
2013,Morrums GoIS - Boras,1.16,1,1
2013,Nittorps - Kristianstads,1.11,2,0
2013,Tingsryds - Pantern,1.34,1,1
2013,Boras - Tingsryds,1.15,2,2
2013,Morrums GoIS - Nybro,1.35,1,1
2013,Helsingborgs - Nittorps,1.05,1,1
2013,Boras - Nittorps,1.39,1,0
2013,Helsingborgs - Boras,1.15,1,1
2013,Nittorps - Nybro,1.16,2,2
2013,Nybro - Boras,1.49,1,1
2013,Pantern - Nittorps,1.08,1,1
2013,Tingsryds - Halmstad,1.45,1,2
2013,Boras - Kristianstads,1.26,2,0
2013,Nittorps - Kallinge/Ronneby,1.06,2,2
2013,Kallinge/Ronneby - Nybro,1.25,1,1
2013,Olofstroms - Nittorps,1.05,1,1
2013,Pantern - Boras,1.1,1,2
2013,Tingsryds - Helsingborgs,1.36,1,0
2013,Boras - Halmstad,1.23,2,2
2013,Nittorps - Tingsryds,1.03,2,2
2013,Olofstroms - Boras,1.2,1,0
2013,Kallinge/Ronneby - Boras,1.08,1,1
2013,Kristianstads - Nybro,1.22,1,1
2013,Olofstroms - Tingsryds,1.45,2,2
2013,Kallinge/Ronneby - Olofstroms,1.46,1,1
2013,Morrums GoIS - Boras,1.16,1,1
2013,Nittorps - Kristianstads,1.11,2,0
2013,Tingsryds - Pantern,1.34,1,1
2013,Boras - Tingsryds,1.15,2,2
2013,Morrums GoIS - Nybro,1.35,1,1
2013,Helsingborgs - Nittorps,1.05,1,1
2013,Boras - Nittorps,1.39,1,0
2013,Helsingborgs - Boras,1.15,1,1
2013,Nittorps - Nybro,1.16,2,2
2013,Nybro - Boras,1.49,1,1
2013,Pantern - Nittorps,1.08,1,1
2013,Tingsryds - Halmstad,1.45,1,2
2013,Boras - Kristianstads,1.26,2,0
2013,Nittorps - Kallinge/Ronneby,1.06,2,2
2013,Kallinge/Ronneby - Nybro,1.25,1,1
2013,Olofstroms - Nittorps,1.05,1,1
2013,Pantern - Boras,1.1,1,2
2013,Tingsryds - Helsingborgs,1.36,1,0
2013,Boras - Halmstad,1.23,2,2
2013,Nittorps - Tingsryds,1.03,2,2
2013,Olofstroms - Boras,1.2,1,0
2013,Kallinge/Ronneby - Boras,1.08,1,1
2013,Kristianstads - Nybro,1.22,1,1
2013,Olofstroms - Tingsryds,1.45,2,2
2013,Kallinge/Ronneby - Olofstroms,1.46,1,1
2013,Morrums GoIS - Boras,1.16,1,1
2013,Nittorps - Kristianstads,1.11,2,0
2013,Tingsryds - Pantern,1.34,1,1
2013,Boras - Tingsryds,1.15,2,2
2013,Morrums GoIS - Nybro,1.35,1,1
2013,Helsingborgs - Nittorps,1.05,1,1
2013,Boras - Nittorps,1.39,1,0
2013,Helsingborgs - Boras,1.15,1,1
2013,Nittorps - Nybro,1.16,2,2
