Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Donbass - Kryvbas&nbsp;,1.12,1,1
2016,Kryvbas - Donbass&nbsp;,1.47,2,2
2016,Generals Kiev - Kremenchuk&nbsp;,1.02,2,2
2016,Kryvbas - Donbass&nbsp;,1.3,2,1
2016,Generals Kiev - Kremenchuk&nbsp;,1.06,2,2
2016,Kremenchuk - Generals Kiev&nbsp;,1.03,1,1
2016,Donbass - Kryvbas&nbsp;,1.16,1,1
2016,Kremenchuk - Generals Kiev&nbsp;,1.03,1,1
2016,Kryvbas - Donbass,1.24,2,2
2016,Kremenchuk - Generals Kiev,1.04,1,1
2016,Kryvbas - Bilyi Bars,1.31,1,1
2016,Bilyi Bars - Donbass,1.04,2,2
2016,Generals Kiev - Kryvbas,1.32,2,2
2016,Vityaz Kharkiv - Bilyi Bars,1.21,2,0
2016,Kryvbas - Kremenchuk,1.37,2,2
2016,Donbass - Kryvbas,1.11,1,2
2016,Generals Kiev - Vityaz Kharkiv,1.01,1,1
2016,Generals Kiev - Vityaz Kharkiv,1.26,1,1
2016,Kremenchuk - Bilyi Bars,1.06,1,1
2016,Kryvbas - Generals Kiev,1.11,1,0
2016,Bilyi Bars - Vityaz Kharkiv,1.04,1,1
2016,Bilyi Bars - Vityaz Kharkiv,1.2,1,1
2016,Vityaz Kharkiv - Kryvbas,1.17,2,2
2016,Kryvbas - Kremenchuk,1.11,2,2
2016,Donbass - Kryvbas&nbsp;,1.12,1,1
2016,Kryvbas - Donbass&nbsp;,1.47,2,2
2016,Generals Kiev - Kremenchuk&nbsp;,1.02,2,2
2016,Kryvbas - Donbass&nbsp;,1.3,2,1
2016,Generals Kiev - Kremenchuk&nbsp;,1.06,2,2
2016,Kremenchuk - Generals Kiev&nbsp;,1.03,1,1
2016,Donbass - Kryvbas&nbsp;,1.16,1,1
2016,Kremenchuk - Generals Kiev&nbsp;,1.03,1,1
2016,Kryvbas - Donbass,1.24,2,2
2016,Kremenchuk - Generals Kiev,1.04,1,1
2016,Kryvbas - Bilyi Bars,1.31,1,1
2016,Bilyi Bars - Donbass,1.04,2,2
2016,Generals Kiev - Kryvbas,1.32,2,2
2016,Vityaz Kharkiv - Bilyi Bars,1.21,2,0
2016,Kryvbas - Kremenchuk,1.37,2,2
2016,Donbass - Kryvbas,1.11,1,2
2016,Generals Kiev - Vityaz Kharkiv,1.01,1,1
2016,Generals Kiev - Vityaz Kharkiv,1.26,1,1
2016,Kremenchuk - Bilyi Bars,1.06,1,1
2016,Kryvbas - Generals Kiev,1.11,1,0
2016,Bilyi Bars - Vityaz Kharkiv,1.04,1,1
2016,Bilyi Bars - Vityaz Kharkiv,1.2,1,1
2016,Vityaz Kharkiv - Kryvbas,1.17,2,2
2016,Kryvbas - Kremenchuk,1.11,2,2
2015,Bilyi Bars - Kompanion,1.11,1,1
2015,Vityaz Kharkiv - Donbass,1.11,2,2
2015,Bilyi Bars - Generals Kiev,1.02,2,2
2015,Donbass - Kremenchuk,1.5,1,1
2015,Rapid Kiev - Bilyi Bars,1.11,2,2
2015,Vityaz Kharkiv - Bilyi Bars,1.04,1,2
2015,Yunost Kharkiv - Kompanion,1.32,2,0
2015,Bilyi Bars - Vityaz Kharkiv,1.08,2,2
2015,Vityaz Kharkiv - Kremenchuk,1.09,2,0
2015,Donbass - Generals Kiev,1.5,1,0
2015,Bilyi Bars - Kompanion,1.11,1,1
2015,Vityaz Kharkiv - Donbass,1.11,2,2
2015,Bilyi Bars - Generals Kiev,1.02,2,2
2015,Donbass - Kremenchuk,1.5,1,1
2015,Rapid Kiev - Bilyi Bars,1.11,2,2
2015,Vityaz Kharkiv - Bilyi Bars,1.04,1,2
2015,Yunost Kharkiv - Kompanion,1.32,2,0
2015,Bilyi Bars - Vityaz Kharkiv,1.08,2,2
2015,Vityaz Kharkiv - Kremenchuk,1.09,2,0
2015,Donbass - Generals Kiev,1.5,1,0
2015,Bilyi Bars - Kompanion,1.11,1,1
2015,Vityaz Kharkiv - Donbass,1.11,2,2
2015,Bilyi Bars - Generals Kiev,1.02,2,2
2015,Donbass - Kremenchuk,1.5,1,1
2015,Rapid Kiev - Bilyi Bars,1.11,2,2
2015,Vityaz Kharkiv - Bilyi Bars,1.04,1,2
2015,Yunost Kharkiv - Kompanion,1.32,2,0
2015,Bilyi Bars - Vityaz Kharkiv,1.08,2,2
2015,Vityaz Kharkiv - Kremenchuk,1.09,2,0
2015,Donbass - Generals Kiev,1.5,1,0
2013,Bilyi Bars - Sokol Kiev&nbsp;,1.28,1,1
2013,Kompanion - Levy&nbsp;,1.05,1,1
2013,Sokol Kiev - Bilyi Bars&nbsp;,1.35,2,2
2013,Levy - Kompanion&nbsp;,1.1,2,2
2013,Generals Kiev - Sokol Kiev,1.48,2,0
2013,Sokol Kiev - Levy,1.45,1,1
2013,Sokol Kiev - Levy,1.4,1,2
2013,Bilyi Bars - Generals Kiev,1.03,1,1
2013,Levy - Kompanion,1.04,2,2
2013,Bilyi Bars - Generals Kiev,1.07,1,1
2013,Levy - Kompanion,1.08,2,2
2013,Bilyi Bars - Levy,1.06,1,1
2013,Kompanion - Sokol Kiev,1.36,1,2
2013,Bilyi Bars - Levy,1.04,1,2
2013,Kompanion - Sokol Kiev,1.44,1,1
2013,Sokol Kiev - Bilyi Bars,1.23,2,0
2013,Levy - Generals Kiev,1.35,2,1
2013,Sokol Kiev - Bilyi Bars,1.38,2,2
2013,Sokol Kiev - Kompanion,1.3,2,2
2013,Sokol Kiev - Kompanion,1.25,2,2
2013,Generals Kiev - Bilyi Bars,1.17,2,2
2013,Generals Kiev - Bilyi Bars,1.37,2,2
