Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Tractor Chelyabinsk U18 (Rus) - Tyumensky Legion (Rus) ,1.35,2,2
2017,HC MVD (Rus) - Kunlun (Chn) ,1.22,1,2
2017,Metallurg Novokuznetsk (Rus) - Altay Barnaul (Rus) ,1.23,1,1
2017,Jesenice (Slo) - Klagenfurt II (Aut) ,1.25,1,1
2017,Comet (Nor) - Sparta Sarpsborg (Nor) ,1.3,2,2
2017,Rapperswil (Sui) - Adler Mannheim (Ger) ,1.43,2,2
2017,Gap (Fra) - Briancon (Fra) ,1.25,1,1
2017,Nove Zamky (Svk) - AZ Havirov (Cze) ,1.41,1,1
2017,Ringerike (Nor) - Frisk Asker (Nor) ,1.49,2,2
2017,Sp. Moscow (Rus) - CSKA Moscow (Rus) ,1.34,2,2
2017,Tractor Chelyabinsk U18 (Rus) - Tyumensky Legion (Rus) ,1.35,2,2
2017,HC MVD (Rus) - Kunlun (Chn) ,1.22,1,2
2017,Metallurg Novokuznetsk (Rus) - Altay Barnaul (Rus) ,1.23,1,1
2017,Jesenice (Slo) - Klagenfurt II (Aut) ,1.25,1,1
2017,Comet (Nor) - Sparta Sarpsborg (Nor) ,1.3,2,2
2017,Rapperswil (Sui) - Adler Mannheim (Ger) ,1.43,2,2
2017,Gap (Fra) - Briancon (Fra) ,1.25,1,1
2017,Nove Zamky (Svk) - AZ Havirov (Cze) ,1.41,1,1
2017,Ringerike (Nor) - Frisk Asker (Nor) ,1.49,2,2
2017,Sp. Moscow (Rus) - CSKA Moscow (Rus) ,1.34,2,2
2017,Tractor Chelyabinsk U18 (Rus) - Tyumensky Legion (Rus) ,1.35,2,2
2017,HC MVD (Rus) - Kunlun (Chn) ,1.22,1,2
2017,Metallurg Novokuznetsk (Rus) - Altay Barnaul (Rus) ,1.23,1,1
2017,Jesenice (Slo) - Klagenfurt II (Aut) ,1.25,1,1
2017,Comet (Nor) - Sparta Sarpsborg (Nor) ,1.3,2,2
2017,Rapperswil (Sui) - Adler Mannheim (Ger) ,1.43,2,2
2017,Gap (Fra) - Briancon (Fra) ,1.25,1,1
2017,Nove Zamky (Svk) - AZ Havirov (Cze) ,1.41,1,1
2017,Ringerike (Nor) - Frisk Asker (Nor) ,1.49,2,2
2017,Sp. Moscow (Rus) - CSKA Moscow (Rus) ,1.34,2,2
2017,Tractor Chelyabinsk U18 (Rus) - Tyumensky Legion (Rus) ,1.35,2,2
2017,HC MVD (Rus) - Kunlun (Chn) ,1.22,1,2
2017,Metallurg Novokuznetsk (Rus) - Altay Barnaul (Rus) ,1.23,1,1
