Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Norway U18 W - Denmark U18 W,1.32,1,1
2016,Norway U18 W - Hungary U18 W,1.41,1,1
2016,Slovakia U18 W - Denmark U18 W,1.2,1,1
2016,Austria U18 W - Italy U18 W,1.43,1,1
2016,Romania U18 W - Australia U18 W,1.39,2,0
2016,Austria U18 W - Kazakhstan U18 W,1.46,1,1
2016,China U18 W - Austria U18 W,1.02,2,2
2016,Kazakhstan U18 W - Romania U18 W,1.04,1,1
2016,Poland U18 W - Great Britain U18 W,1.15,1,2
2016,Austria U18 W - Romania U18 W,1.02,1,1
2016,Italy U18 W - Great Britain U18 W,1.26,1,1
2016,Poland U18 W - Australia U18 W,1.01,1,1
2015,Kazakhstan U18 W - Denmark U18 W,1.05,2,2
2015,Great Britain U18 W - Poland U18 W,1.25,2,2
2015,China U18 W - Italy U18 W,1.24,2,2
2015,Poland U18 W - Denmark U18 W,1.2,2,2
2015,Italy U18 W - Kazakhstan U18 W,1.47,1,1
2015,Poland U18 W - China U18 W,1.41,1,1
2015,Poland U18 W - Kazakhstan U18 W,1.49,1,1
2015,China U18 W - Denmark U18 W,1.08,2,2
2015,Great Britain U18 W - Italy U18 W,1.38,2,2
2015,Norway U18 W - Slovakia U18 W,1.4,1,0
2015,France U18 W - Germany U18 W,1.5,1,1
2015,Austria U18 W - Norway U18 W,1.21,2,2
2013,Switzerland U18 W - Austria U18 W,1.2,1,1
2013,Japan U18 W - Norway U18 W,1.43,1,1
2013,Austria U18 W - Slovakia U18 W,1.2,2,2
2013,Norway U18 W - France U18 W,1.22,1,2
2013,Switzerland U18 W - France U18 W,1.17,1,1
2013,Austria U18 W - Japan U18 W,1.11,2,2
2013,Slovakia U18 W - Norway U18 W,1.5,2,2
2013,Switzerland U18 W - Norway U18 W,1.27,1,2
2013,Japan U18 W - Slovakia U18 W,1.14,1,1
2013,Slovakia U18 W - Switzerland U18 W,1.12,2,2
2013,Norway U18 W - Austria U18 W,1.2,1,1
