Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Fiji - Tonga,1.49,2,2
2017,Papua New Guinea - Cook Islands,1.26,1,1
2016,Wales - Jamaica,1.02,1,0
2016,Australia - New Zealand,1.44,1,1
2015,England - France,1.01,1,1
2015,Leeds Rhinos - New Zealand,1.06,2,2
2015,Tonga - Cook Islands,1.09,1,1
2015,Australia - New Zealand,1.4,1,2
2015,Papua New Guinea - Fiji,1.27,2,2
2014,Australia - New Zealand,1.06,1,1
2013,Scotland - Papua New Guinea,1.48,1,2
2012,England - France,1.01,1,1
2012,England - France,1.01,1,1
