Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Exeter Chiefs - Harlequin,1.4,1,1
2016,Bristol - Exeter Chiefs,1.09,2,2
2016,Wasps - Ospreys,1.23,1,2
2016,Cardiff Blues - Worcester Warriors,1.24,2,2
2016,Northampton Saints - Scarlets,1.01,1,1
2016,Exeter Chiefs - Wasps,1.14,1,1
2016,Leicester Tigers - Northampton Saints,1.5,1,1
2016,Sale Sharks - Cardiff Blues,1.02,1,1
2016,Scarlets - Saracens,1.43,2,2
2016,Dragons - Scarlets,1.27,1,1
2016,Exeter Chiefs - Cardiff Blues,1.08,1,1
2016,Wasps - Worcester Warriors,1.06,1,1
2016,Leicester Tigers - Dragons,1.02,1,1
2016,Northampton Saints - Gloucester,1.27,1,1
2016,Saracens - Newcastle Falcons,1.02,1,1
2016,Ospreys - Harlequin,1.41,2,2
2016,Scarlets - Bath,1.29,2,1
2016,Newcastle Falcons - Northampton Saints,1.44,1,2
2016,Gloucester - Saracens,1.39,2,1
2016,Sale Sharks - Wasps,1.21,1,1
2016,Worcester Warriors - Bristol,1.25,1,1
2014,Saracens - Exeter Chiefs,1.49,1,1
2014,Leicester Tigers - Exeter Chiefs,1.3,1,2
2014,Saracens - Exeter Chiefs,1.29,1,1
2014,Dragons - London Welsh,1.09,1,1
2014,Northampton Saints - Wasps,1.13,1,1
2014,Bath - Ospreys,1.07,1,2
2014,Sale Sharks - Scarlets,1.01,1,1
2014,Newcastle Falcons - Sale Sharks,1.3,1,1
2014,Dragons - Exeter Chiefs,1.43,2,2
2014,Wasps - Cardiff Blues,1.35,1,2
2014,Scarlets - London Irish,1.48,1,1
2014,Gloucester - Ospreys,1.15,1,1
2014,Harlequin - Bath,1.34,1,2
2014,Ospreys - Dragons,1.36,1,2
2014,Cardiff Blues - Scarlets,1.17,1,1
2014,London Welsh - Gloucester,1.39,2,2
2014,Wasps - London Irish,1.23,1,1
2014,Exeter Chiefs - Bath,1.29,1,1
2014,Newcastle Falcons - Cardiff Blues,1.19,1,2
2014,Harlequin - Dragons,1.05,1,1
2014,Ospreys - Saracens,1.41,1,2
2014,Northampton Saints - Newcastle Falcons,1.03,1,1
2014,Bath - London Welsh,1.01,1,1
2014,Exeter Chiefs - Gloucester,1.24,1,1
2014,London Irish - Leicester Tigers,1.29,1,2
2014,Sale Sharks - Wasps,1.19,1,1
2013,Bath - Exeter Chiefs,1.5,1,2
2013,Northampton Saints - Saracens,1.16,1,1
2013,London Irish - Scarlets,1.36,1,1
2013,Gloucester - Wasps,1.4,1,1
2013,Northampton Saints - Saracens,1.29,1,1
2013,Worcester Warriors - Exeter Chiefs,1.39,2,2
2013,Newcastle Falcons - Dragons,1.45,1,1
2013,Ospreys - Sale Sharks,1.42,1,1
2013,Saracens - Newcastle Falcons,1.02,1,1
2013,Bath - Cardiff Blues,1.05,1,1
2013,Exeter Chiefs - Ospreys,1.12,1,1
2013,Harlequin - Leicester Tigers,1.47,1,1
2013,Dragons - Northampton Saints,1.36,2,2
2013,Sale Sharks - Worcester Warriors,1.11,1,1
2013,Scarlets - Gloucester,1.33,1,1
2013,Saracens - Scarlets,1.04,1,1
2013,Bath - Exeter Chiefs,1.27,1,1
2013,Gloucester - Newcastle Falcons,1.13,1,1
2013,Harlequin - Sale Sharks,1.4,1,2
2013,Ospreys - Cardiff Blues,1.27,1,2
2013,Newcastle Falcons - London Irish,1.48,1,1
2013,Leicester Tigers - Ospreys,1.24,1,1
2013,Cardiff Blues - Worcester Warriors,1.5,1,2
2013,Scarlets - Dragons,1.23,1,1
2012,Harlequin - Sale Sharks,1.47,1,1
2012,London Welsh - Dragons,1.28,1,2
2012,Scarlets - Leicester Tigers,1.34,2,1
2012,Exeter Chiefs - Northampton Saints,1.4,2,1
2012,Worcester Warriors - Saracens,1.47,1,2
2012,Cardiff Blues - London Irish,1.41,2,1
2012,London Irish - Worcester Warriors,1.28,1,1
2012,Saracens - Cardiff Blues,1.19,1,1
2012,Dragons - Ospreys,1.41,1,1
2012,Harlequin - London Welsh,1.1,1,1
2012,Leicester Tigers - Wasps,1.03,1,1
2012,Northampton Saints - Gloucester,1.12,1,1
2012,Sale Sharks - Scarlets,1.18,1,1
2012,Bath - Exeter Chiefs,1.19,1,1
2012,Dragons - Northampton Saints,1.15,2,2
2012,Wasps - Worcester Warriors,1.49,1,1
2012,Scarlets - Cardiff Blues,1.28,1,1
2012,Exeter Chiefs - Ospreys,1.31,1,1
2012,Gloucester - London Welsh,1.01,1,1
2012,Sale Sharks - Saracens,1.45,1,1
2012,Harlequin - Bath,1.45,1,1
2012,London Welsh - Exeter Chiefs,1.2,1,2
2012,London Irish - Sale Sharks,1.28,1,1
2012,Worcester Warriors - Scarlets,1.27,1,1
2012,Bath - Dragons,1.05,1,1
2012,Northampton Saints - Harlequin,1.37,1,2
2012,Ospreys - Gloucester,1.38,1,1
2012,Saracens - Leicester Tigers,1.24,1,1
2011,Northampton Saints - Scarlets,1.24,1,1
2011,Bath - Leicester Tigers,1.31,1,2
2010,Gloucester - Newcastle Falcons,1.2,1,1
2010,Gloucester - Dragons,1.08,1,1
2010,Harlequin - Newcastle Falcons,1.19,1,2
2009,Northampton Saints - Gloucester,1.43,1,1
2009,Northampton Saints - Saracens,1.23,1,1
