Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Padova - Rovigo&nbsp;,1.37,1,2
2016,Cammi Calvisano - Viadana&nbsp;,1.11,1,1
2016,Viadana - Cammi Calvisano&nbsp;,1.23,2,1
2016,Lazio - Viadana,1.46,2,2
2016,Piacenza - San Dona,1.32,2,2
2016,Rovigo - Fiamme Oro,1.12,1,2
2016,Cammi Calvisano - Reggio,1.01,1,1
2016,Reggio - Lazio,1.3,1,2
2016,Rovigo - Mogliano,1.05,1,1
2016,San Dona - Padova,1.4,2,1
2016,Viadana - Piacenza,1.03,1,0
2016,Fiamme Oro - Cammi Calvisano,1.2,2,2
2016,Cammi Calvisano - San Dona,1.02,1,1
2016,Padova - Reggio,1.01,1,1
2016,Piacenza - Rovigo,1.18,2,2
2016,Fiamme Oro - Padova,1.32,2,2
2016,San Dona - Reggio,1.27,1,1
2016,Viadana - Cammi Calvisano,1.43,2,2
2016,Rovigo - Lazio,1.04,1,1
2016,Cammi Calvisano - Rovigo,1.15,1,1
2016,Padova - Piacenza,1.01,1,1
2016,Reggio - Viadana,1.43,2,1
2016,Fiamme Oro - Reggio,1.19,1,1
2016,Mogliano - Cammi Calvisano,1.38,2,1
2016,Viadana - San Dona,1.41,1,1
2016,Cammi Calvisano - Piacenza,1.01,1,1
2016,Padova - Lazio,1.06,1,1
2016,San Dona - Rovigo,1.32,2,1
2016,Piacenza - Fiamme Oro,1.25,2,1
2016,Rovigo - Reggio,1.06,1,1
2016,Lazio - Cammi Calvisano,1.12,2,2
2016,Cammi Calvisano - Padova,1.2,1,1
2016,Rovigo - Viadana,1.21,1,1
2016,San Dona - Piacenza,1.19,1,1
2016,Padova - Rovigo&nbsp;,1.37,1,2
2016,Cammi Calvisano - Viadana&nbsp;,1.11,1,1
2016,Viadana - Cammi Calvisano&nbsp;,1.23,2,1
2016,Lazio - Viadana,1.46,2,2
2016,Piacenza - San Dona,1.32,2,2
2016,Rovigo - Fiamme Oro,1.12,1,2
2016,Cammi Calvisano - Reggio,1.01,1,1
2016,Reggio - Lazio,1.3,1,2
2016,Rovigo - Mogliano,1.05,1,1
2016,San Dona - Padova,1.4,2,1
2016,Viadana - Piacenza,1.03,1,0
2016,Fiamme Oro - Cammi Calvisano,1.2,2,2
2016,Cammi Calvisano - San Dona,1.02,1,1
2016,Padova - Reggio,1.01,1,1
2016,Piacenza - Rovigo,1.18,2,2
2016,Fiamme Oro - Padova,1.32,2,2
2016,San Dona - Reggio,1.27,1,1
2016,Viadana - Cammi Calvisano,1.43,2,2
2016,Rovigo - Lazio,1.04,1,1
2016,Cammi Calvisano - Rovigo,1.15,1,1
2016,Padova - Piacenza,1.01,1,1
2016,Reggio - Viadana,1.43,2,1
2016,Fiamme Oro - Reggio,1.19,1,1
2016,Mogliano - Cammi Calvisano,1.38,2,1
2016,Viadana - San Dona,1.41,1,1
2016,Cammi Calvisano - Piacenza,1.01,1,1
2016,Padova - Lazio,1.06,1,1
2016,San Dona - Rovigo,1.32,2,1
2016,Piacenza - Fiamme Oro,1.25,2,1
2016,Rovigo - Reggio,1.06,1,1
2016,Lazio - Cammi Calvisano,1.12,2,2
2016,Cammi Calvisano - Padova,1.2,1,1
2016,Rovigo - Viadana,1.21,1,1
2016,San Dona - Piacenza,1.19,1,1
2015,Cammi Calvisano - Padova&nbsp;,1.25,1,1
2015,Rovigo - Mogliano&nbsp;,1.2,1,1
2015,Padova - Mogliano,1.29,1,2
2015,Fiamme Oro - San Dona,1.11,1,2
2015,Cammi Calvisano - Mogliano,1.16,1,1
2015,Lazio - Padova,1.45,2,2
2015,Rovigo - Fiamme Oro,1.12,1,1
2015,San Dona - Viadana,1.42,1,2
2015,Piacenza - L'Aquila Rugby,1.12,1,1
2015,Padova - Piacenza,1.03,1,1
2015,Viadana - Rovigo,1.45,2,2
2015,L'Aquila Rugby - Cammi Calvisano,1.01,2,2
