Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Argentina - Australia&nbsp;,1.29,2,2
2016,South Africa - New Zealand,1.16,2,2
2016,Argentina - New Zealand,1.06,2,2
2016,Australia - Argentina,1.27,1,1
2016,New Zealand - South Africa,1.04,1,1
2016,New Zealand - Argentina,1.02,1,1
2016,New Zealand - Australia,1.06,1,1
2016,South Africa - Argentina,1.18,1,1
2016,Australia - New Zealand,1.41,2,2
2015,South Africa - Argentina,1.06,1,2
2015,Australia - New Zealand,1.42,2,1
2015,Argentina - Australia,1.41,2,2
2015,New Zealand - Argentina,1.03,1,1
2014,Argentina - Australia,1.48,2,1
2014,Argentina - New Zealand,1.12,2,2
2014,South Africa - Australia,1.29,1,1
2014,Australia - Argentina,1.17,1,1
2014,New Zealand - South Africa,1.22,1,1
2014,New Zealand - Argentina,1.01,1,1
2014,Argentina - South Africa,1.17,2,2
2014,New Zealand - Australia,1.23,1,1
2014,South Africa - Argentina,1.01,1,1
2013,Argentina - New Zealand,1.11,2,2
2013,South Africa - Australia,1.17,1,1
2013,Australia - Argentina,1.22,1,1
2013,New Zealand - South Africa,1.34,1,1
2013,New Zealand - Argentina,1.02,1,1
2013,Argentina - South Africa,1.13,2,2
2013,New Zealand - Australia,1.15,1,1
2013,South Africa - Argentina,1.09,1,1
2013,Australia - New Zealand,1.49,2,2
2012,Australia - Argentina,1.17,1,1
2012,New Zealand - South Africa,1.1,1,1
2012,New Zealand - Argentina,1.01,1,1
2012,Argentina - South Africa,1.22,2,0
2012,New Zealand - Australia,1.09,1,1
2012,South Africa - Argentina,1.09,1,1
2012,Australia - New Zealand,1.39,2,2
