Season,Participants,Best Odd,Your Bet,Winning Bet
2016,USA 7s W - New Zealand 7s W,1.31,2,2
2016,Canada 7s W - Australia 7s W,1.44,2,2
2016,Ireland 7s W - Russia 7s W,1.31,2,2
2016,England 7s W - Spain 7s W,1.4,1,2
2016,Argentina 7s W - Brazil 7s W,1.09,2,2
2016,New Zealand 7s W - Russia 7s W,1.07,1,1
2016,USA 7s W - Ireland 7s W,1.36,1,1
2016,Fiji 7s W - Australia 7s W,1.14,2,2
2016,Canada 7s W - France 7s W,1.17,1,1
2016,Spain 7s W - Brazil 7s W,1.4,1,1
2016,England 7s W - Argentina 7s W,1.01,1,1
2016,Brazil 7s W - England 7s W,1.12,2,2
2016,Russia 7s W - Argentina 7s W,1.01,1,1
2016,Canada 7s W - France 7s W,1.17,1,1
2016,USA 7s W - Fiji 7s W,1.44,1,1
2016,Australia 7s W - Brazil 7s W,1.01,1,1
2016,New Zealand 7s W - England 7s W,1.12,1,1
2016,France 7s W - Russia 7s W,1.49,1,2
2016,USA 7s W - Spain 7s W,1.46,1,1
2016,Australia 7s W - England 7s W,1.14,1,1
2016,New Zealand 7s W - Brazil 7s W,1.01,1,1
2016,France 7s W - Argentina 7s W,1.03,1,1
2016,Canada 7s W - Russia 7s W,1.42,1,1
2016,Fiji 7s W - Spain 7s W,1.32,1,1
2016,USA 7s W - Ireland 7s W,1.45,1,2
