Season,Participants,Best Odd,Your Bet,Winning Bet
2017,England U20 - New Zealand U20,1.29,2,2
2017,Wales U20 - Italy U20,1.14,1,1
2017,South Africa U20 - France U20,1.43,1,1
2017,Scotland U20 - Australia U20,1.26,2,1
2017,Ireland U20 - Georgia U20,1.4,1,1
2017,Samoa U20 - Argentina U20,1.07,2,2
2017,New Zealand U20 - France U20,1.1,1,1
2017,England U20 - South Africa U20,1.5,1,1
2017,Scotland U20 - Wales U20,1.3,2,1
2017,Australia U20 - Italy U20,1.02,1,1
2017,Argentina U20 - Georgia U20,1.1,1,2
2017,Ireland U20 - Samoa U20,1.13,1,1
2017,England U20 - Australia U20,1.16,1,1
2017,France U20 - Georgia U20,1.06,1,1
2017,Argentina U20 - South Africa U20,1.34,2,2
2017,Ireland U20 - New Zealand U20,1.01,2,2
2017,Scotland U20 - Italy U20,1.13,1,1
2017,Wales U20 - Samoa U20,1.07,1,1
2017,England U20 - Wales U20,1.08,1,1
2017,South Africa U20 - Georgia U20,1.03,1,1
2017,Ireland U20 - Scotland U20,1.49,1,2
2017,Australia U20 - Wales U20,1.5,1,1
2017,Argentina U20 - Georgia U20,1.1,1,1
2017,Ireland U20 - Italy U20,1.07,1,2
2017,South Africa U20 - France U20,1.23,1,0
2017,England U20 - Samoa U20,1.01,1,1
2016,Ireland U20 - England U20,1.28,2,2
2016,Australia U20 - New Zealand U20,1.15,2,2
2016,Scotland U20 - Wales U20,1.26,2,2
2016,Argentina U20 - South Africa U20,1.4,2,1
2016,Georgia U20 - France U20,1.1,2,2
2016,England U20 - South Africa U20,1.4,1,1
2016,Scotland U20 - Australia U20,1.21,2,2
2016,France U20 - Japan U20,1.01,1,1
2016,New Zealand U20 - Wales U20,1.16,1,1
2016,England U20 - Australia U20,1.21,1,1
2016,Ireland U20 - Georgia U20,1.01,1,1
2016,New Zealand U20 - Wales U20,1.06,1,1
2016,Argentina U20 - Japan U20,1.01,1,1
2016,Scotland U20 - Italy U20,1.07,1,1
2016,England U20 - Scotland U20,1.15,1,1
2016,South Africa U20 - Argentina U20,1.17,1,2
2016,France U20 - Japan U20,1.01,1,1
2016,Wales U20 - Georgia U20,1.01,1,1
2016,Australia U20 - Italy U20,1.01,1,1
2016,New Zealand U20 - Ireland U20,1.02,1,2
2016,Australia U20 - Scotland U20,1.2,1,2
2016,Wales U20 - Ireland U20,1.32,1,2
2016,France U20 - Argentina U20,1.16,1,2
2015,New Zealand U20 - England U20,1.32,1,1
2015,France U20 - South Africa U20,1.26,2,2
2015,Italy U20 - Samoa U20,1.41,2,1
2015,Ireland U20 - Scotland U20,1.36,1,1
2015,Argentina U20 - Japan U20,1.01,1,1
2015,South Africa U20 - England U20,1.36,1,2
2015,New Zealand U20 - France U20,1.22,1,1
2015,Samoa U20 - Japan U20,1.02,1,2
2015,Australia U20 - Scotland U20,1.23,1,1
2015,Argentina U20 - Italy U20,1.18,1,1
2015,New Zealand U20 - Ireland U20,1.03,1,1
2015,South Africa U20 - Australia U20,1.24,1,1
2015,Argentina U20 - Scotland U20,1.2,1,2
2015,England U20 - France U20,1.29,1,2
2015,Australia U20 - Italy U20,1.01,1,1
2015,England U20 - Wales U20,1.13,1,1
2015,South Africa U20 - Samoa U20,1.02,1,1
2015,Ireland U20 - Scotland U20,1.09,1,1
2015,Australia U20 - Samoa U20,1.01,1,1
2015,France U20 - Wales U20,1.36,1,1
2015,Ireland U20 - Argentina U20,1.25,1,1
2014,Wales U20 - Samoa U20,1.14,1,1
2014,Ireland U20 - New Zealand U20,1.07,2,2
2014,Argentina U20 - Scotland U20,1.13,1,1
2014,Fiji U20 - Italy U20,1.25,2,2
2014,England U20 - Ireland U20,1.13,1,1
2014,Australia U20 - Samoa U20,1.06,1,1
2014,Argentina U20 - Fiji U20,1.03,1,1
2014,England U20 - Argentina U20,1.01,1,1
2014,Australia U20 - Italy U20,1.02,1,1
2014,Wales U20 - France U20,1.27,2,1
2014,Ireland U20 - Fiji U20,1.01,1,1
2014,New Zealand U20 - South Africa U20,1.41,1,2
2014,England U20 - Australia U20,1.33,1,1
2014,Wales U20 - Ireland U20,1.39,1,2
2014,Argentina U20 - Italy U20,1.03,1,2
2014,France U20 - Fiji U20,1.01,1,1
2014,Scotland U20 - Samoa U20,1.23,2,2
2014,France U20 - Ireland U20,1.4,1,1
2014,Wales U20 - Fiji U20,1.01,1,1
2014,Argentina U20 - Australia U20,1.15,2,2
2013,Wales U20 - England U20,1.37,2,2
2013,New Zealand U20 - England U20,1.36,1,2
2013,South Africa U20 - Wales U20,1.21,1,2
2013,France U20 - South Africa U20,1.06,2,2
2013,Scotland U20 - Samoa U20,1.13,1,1
2013,New Zealand U20 - Ireland U20,1.05,1,1
2013,Wales U20 - Argentina U20,1.37,1,1
2013,New Zealand U20 - Australia U20,1.05,1,1
2013,Ireland U20 - Fiji U20,1.02,1,1
2013,Wales U20 - Scotland U20,1.03,1,1
2013,South Africa U20 - England U20,1.5,1,1
2013,Argentina U20 - Samoa U20,1.01,1,1
2013,New Zealand U20 - Fiji U20,1.01,1,1
2013,Argentina U20 - Scotland U20,1.31,1,1
2013,France U20 - England U20,1.23,2,2
2013,Wales U20 - Samoa U20,1.01,1,1
2012,Italy U20 - Fiji U20,1.2,2,2
2012,Scotland U20 - Samoa U20,1.15,1,1
2012,Fiji U20 - Samoa U20,1.1,1,2
2012,Scotland U20 - Italy U20,1.22,1,1
2012,Australia U20 - Argentina U20,1.01,1,2
