Season,Participants,Best Odd,Your Bet,Winning Bet
2014,Vancouver (Can) - Western Province (Rsa) ,1.44,2,1
2014,Auckland (Nzl) - Daveta (Fij) ,1.3,1,2
2014,Bulls (Rsa) - New York (Usa) ,1.22,1,2
2014,Moscow (Rus) - Munster (Irl) ,1.16,2,1
2014,Saracens (Eng) - Waratahs (Aus) ,1.36,2,0
2014,Stade Francais Paris (Fra) - San Francisco (Usa) ,1.36,1,1
2014,Western Province (Rsa) - New York (Usa) ,1.16,1,1
2014,Bulls (Rsa) - Vancouver (Can) ,1.36,1,2
2014,Daveta (Fij) - Moscow (Rus) ,1.12,1,0
2014,Munster (Irl) - San Francisco (Usa) ,1.16,1,1
2014,Waratahs (Aus) - Vancouver (Can) ,1.16,1,2
2014,Auckland (Nzl) - New York (Usa) ,1.12,1,1
