Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Excursionistas - Sacachispas,1.45,1,1
2016,Justo Jose de Urquiza - Midland,1.39,1,1
2016,San Martin Burzaco - Central Cordoba,1.45,1,1
2016,Excursionistas - Sacachispas,1.45,1,1
2016,Justo Jose de Urquiza - Midland,1.39,1,1
2016,San Martin Burzaco - Central Cordoba,1.45,1,1
2016,Excursionistas - Sacachispas,1.45,1,1
2016,Justo Jose de Urquiza - Midland,1.39,1,1
2016,San Martin Burzaco - Central Cordoba,1.45,1,1
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2016,Def. de Cambaceres - Laferrere,1.39,1,1
2016,San Miguel - San Martin Burzaco,1.45,1,0
2014,Def. de Belgrano - Midland,1.47,1,1
2014,Def. de Belgrano - Defensores Unidos,1.5,1,0
