Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Atlas - Central Ballester,1.48,1,1
2016,Claypole - Victoriano A.,1.33,1,0
2016,General Lamadrid - CSR Espanol,1.35,1,1
2016,Ituzaingo - General Lamadrid,1.38,1,1
2016,Leandro N. Alem - Liniers,1.34,1,2
2016,Ituzaingo - CSR Espanol,1.32,1,1
2016,Atlas - Central Ballester,1.48,1,1
2016,Claypole - Victoriano A.,1.33,1,0
2016,General Lamadrid - CSR Espanol,1.35,1,1
2016,Ituzaingo - General Lamadrid,1.38,1,1
2016,Leandro N. Alem - Liniers,1.34,1,2
2016,Ituzaingo - CSR Espanol,1.32,1,1
2016,Atlas - Central Ballester,1.48,1,1
2016,Claypole - Victoriano A.,1.33,1,0
2016,General Lamadrid - CSR Espanol,1.35,1,1
2016,Ituzaingo - General Lamadrid,1.38,1,1
2016,Leandro N. Alem - Liniers,1.34,1,2
2016,Ituzaingo - CSR Espanol,1.32,1,1
2016,Atlas - Central Ballester,1.48,1,1
2016,Claypole - Victoriano A.,1.33,1,0
2016,General Lamadrid - CSR Espanol,1.35,1,1
2016,Ituzaingo - General Lamadrid,1.38,1,1
2016,Leandro N. Alem - Liniers,1.34,1,2
2016,Ituzaingo - CSR Espanol,1.32,1,1
2016,Atlas - Central Ballester,1.48,1,1
2016,Claypole - Victoriano A.,1.33,1,0
2016,General Lamadrid - CSR Espanol,1.35,1,1
2016,Ituzaingo - General Lamadrid,1.38,1,1
2016,Leandro N. Alem - Liniers,1.34,1,2
2016,Ituzaingo - CSR Espanol,1.32,1,1
2015,Deportivo Muniz - Victoriano A.,1.44,1,1
2015,Deportivo Muniz - Victoriano A.,1.44,1,1
2013,Deportivo Riestra - Sportivo Barracas,1.4,1,1
