Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Adelaide City - Adelaide Olympic,1.3,1,1
2017,Blue Eagles - NE Metrostars,1.41,2,0
2017,Campbelltown City - Cumberland Utd.,1.24,1,2
2017,Cumberland Utd. - Adelaide City,1.19,2,2
2017,NE Metrostars - Adelaide U21,1.39,1,1
2017,Adelaide City - West Torrens,1.38,1,2
2017,Adelaide Comets - Cumberland Utd.,1.19,1,0
2017,Blue Eagles - Adelaide City,1.27,2,2
2017,West Torrens - Cumberland Utd.,1.45,1,1
2017,Adelaide City - Adelaide Olympic,1.3,1,1
2017,Blue Eagles - NE Metrostars,1.41,2,0
2017,Campbelltown City - Cumberland Utd.,1.24,1,2
2017,Cumberland Utd. - Adelaide City,1.19,2,2
2017,NE Metrostars - Adelaide U21,1.39,1,1
2017,Adelaide City - West Torrens,1.38,1,2
2017,Adelaide Comets - Cumberland Utd.,1.19,1,0
2017,Blue Eagles - Adelaide City,1.27,2,2
2017,West Torrens - Cumberland Utd.,1.45,1,1
2017,Adelaide City - Adelaide Olympic,1.3,1,1
2017,Blue Eagles - NE Metrostars,1.41,2,0
2017,Campbelltown City - Cumberland Utd.,1.24,1,2
2017,Cumberland Utd. - Adelaide City,1.19,2,2
2017,NE Metrostars - Adelaide U21,1.39,1,1
2017,Adelaide City - West Torrens,1.38,1,2
2017,Adelaide Comets - Cumberland Utd.,1.19,1,0
2017,Blue Eagles - Adelaide City,1.27,2,2
2017,West Torrens - Cumberland Utd.,1.45,1,1
2016,Perth SC - Devonport,1.14,1,1
2016,Bentleigh Greens - Edgeworth E.,1.33,1,0
2016,West Torrens - Adelaide Raiders,1.13,1,2
2016,Adelaide City - South Adelaide,1.19,1,1
2016,Adelaide Raiders - Blue Eagles,1.31,2,2
2016,Campbelltown City - Adelaide U21,1.22,1,1
2016,Campbelltown City - Adelaide Olympic,1.27,1,1
2016,Adelaide Raiders - Campbelltown City,1.19,2,2
2016,Adelaide Comets - Adelaide U21,1.48,1,1
2016,Adelaide U21 - Adelaide City,1.25,2,2
2016,West Torrens - Croydon Kings,1.49,1,1
2016,West Adelaide - Adelaide U21,1.48,1,1
2016,Adelaide Comets - Adelaide Raiders,1.16,1,1
2016,Perth SC - Devonport,1.14,1,1
2016,Bentleigh Greens - Edgeworth E.,1.33,1,0
2016,West Torrens - Adelaide Raiders,1.13,1,2
2016,Adelaide City - South Adelaide,1.19,1,1
2016,Adelaide Raiders - Blue Eagles,1.31,2,2
2016,Campbelltown City - Adelaide U21,1.22,1,1
2016,Campbelltown City - Adelaide Olympic,1.27,1,1
2016,Adelaide Raiders - Campbelltown City,1.19,2,2
2016,Adelaide Comets - Adelaide U21,1.48,1,1
2016,Adelaide U21 - Adelaide City,1.25,2,2
2016,West Torrens - Croydon Kings,1.49,1,1
2016,West Adelaide - Adelaide U21,1.48,1,1
2016,Adelaide Comets - Adelaide Raiders,1.16,1,1
2016,Perth SC - Devonport,1.14,1,1
2016,Bentleigh Greens - Edgeworth E.,1.33,1,0
2016,West Torrens - Adelaide Raiders,1.13,1,2
2016,Adelaide City - South Adelaide,1.19,1,1
2016,Adelaide Raiders - Blue Eagles,1.31,2,2
2016,Campbelltown City - Adelaide U21,1.22,1,1
2016,Campbelltown City - Adelaide Olympic,1.27,1,1
2016,Adelaide Raiders - Campbelltown City,1.19,2,2
2016,Adelaide Comets - Adelaide U21,1.48,1,1
2016,Adelaide U21 - Adelaide City,1.25,2,2
2016,West Torrens - Croydon Kings,1.49,1,1
2016,West Adelaide - Adelaide U21,1.48,1,1
2016,Adelaide Comets - Adelaide Raiders,1.16,1,1
2015,Bayswater - Olympia Warriors,1.42,1,1
2015,Blacktown City - Canberra FC,1.38,1,1
2015,South Melbourne - Olympia Warriors,1.34,1,2
2015,Campbelltown City - White City,1.46,1,1
2015,Modbury Jets - West Adelaide,1.41,2,0
2015,Croydon Kings - White City,1.42,1,1
2015,Adelaide City - Adelaide Comets,1.45,1,2
2015,Para - NE Metrostars,1.38,2,1
2015,West Adelaide - Port Adelaide Lion,1.35,1,1
2015,Para - Blue Eagles,1.41,2,2
2015,Bayswater - Olympia Warriors,1.42,1,1
2015,Blacktown City - Canberra FC,1.38,1,1
2015,South Melbourne - Olympia Warriors,1.34,1,2
2015,Campbelltown City - White City,1.46,1,1
2015,Modbury Jets - West Adelaide,1.41,2,0
2015,Croydon Kings - White City,1.42,1,1
2015,Adelaide City - Adelaide Comets,1.45,1,2
2015,Para - NE Metrostars,1.38,2,1
2015,West Adelaide - Port Adelaide Lion,1.35,1,1
2015,Para - Blue Eagles,1.41,2,2
2015,Bayswater - Olympia Warriors,1.42,1,1
2015,Blacktown City - Canberra FC,1.38,1,1
2015,South Melbourne - Olympia Warriors,1.34,1,2
2015,Campbelltown City - White City,1.46,1,1
2015,Modbury Jets - West Adelaide,1.41,2,0
2015,Croydon Kings - White City,1.42,1,1
2015,Adelaide City - Adelaide Comets,1.45,1,2
2015,Para - NE Metrostars,1.38,2,1
2015,West Adelaide - Port Adelaide Lion,1.35,1,1
2015,Para - Blue Eagles,1.41,2,2
2015,Bayswater - Olympia Warriors,1.42,1,1
2015,Blacktown City - Canberra FC,1.38,1,1
2015,South Melbourne - Olympia Warriors,1.34,1,2
2015,Campbelltown City - White City,1.46,1,1
2015,Modbury Jets - West Adelaide,1.41,2,0
2015,Croydon Kings - White City,1.42,1,1
2015,Adelaide City - Adelaide Comets,1.45,1,2
2015,Para - NE Metrostars,1.38,2,1
2015,West Adelaide - Port Adelaide Lion,1.35,1,1
2015,Para - Blue Eagles,1.41,2,2
2014,South Hobart - South Melbourne,1.42,2,2
2014,NE Metrostars - South Adelaide,1.17,1,0
2014,West Adelaide - Adelaide Raiders,1.4,1,1
2014,NE Metrostars - West Adelaide,1.47,1,1
2014,Croydon Kings - Cumberland Utd.,1.25,1,0
2014,Western Strikers - Blue Eagles,1.39,2,1
2014,Blue Eagles - Para,1.29,1,2
2014,Campbelltown City - NE Metrostars,1.47,2,2
2014,West Adelaide - Western Strikers,1.36,1,1
2014,Croydon Kings - South Adelaide,1.38,1,1
2014,NE Metrostars - Adelaide Raiders,1.26,1,1
2014,Para - West Adelaide,1.48,2,0
2014,South Hobart - South Melbourne,1.42,2,2
2014,NE Metrostars - South Adelaide,1.17,1,0
2014,West Adelaide - Adelaide Raiders,1.4,1,1
2014,NE Metrostars - West Adelaide,1.47,1,1
2014,Croydon Kings - Cumberland Utd.,1.25,1,0
2014,Western Strikers - Blue Eagles,1.39,2,1
2014,Blue Eagles - Para,1.29,1,2
2014,Campbelltown City - NE Metrostars,1.47,2,2
2014,West Adelaide - Western Strikers,1.36,1,1
2014,Croydon Kings - South Adelaide,1.38,1,1
2014,NE Metrostars - Adelaide Raiders,1.26,1,1
2014,Para - West Adelaide,1.48,2,0
2014,South Hobart - South Melbourne,1.42,2,2
2014,NE Metrostars - South Adelaide,1.17,1,0
2014,West Adelaide - Adelaide Raiders,1.4,1,1
2014,NE Metrostars - West Adelaide,1.47,1,1
2014,Croydon Kings - Cumberland Utd.,1.25,1,0
2014,Western Strikers - Blue Eagles,1.39,2,1
2014,Blue Eagles - Para,1.29,1,2
2014,Campbelltown City - NE Metrostars,1.47,2,2
2014,West Adelaide - Western Strikers,1.36,1,1
2014,Croydon Kings - South Adelaide,1.38,1,1
2014,NE Metrostars - Adelaide Raiders,1.26,1,1
2014,Para - West Adelaide,1.48,2,0
2014,South Hobart - South Melbourne,1.42,2,2
2014,NE Metrostars - South Adelaide,1.17,1,0
2014,West Adelaide - Adelaide Raiders,1.4,1,1
2014,NE Metrostars - West Adelaide,1.47,1,1
2014,Croydon Kings - Cumberland Utd.,1.25,1,0
2014,Western Strikers - Blue Eagles,1.39,2,1
2014,Blue Eagles - Para,1.29,1,2
2014,Campbelltown City - NE Metrostars,1.47,2,2
2014,West Adelaide - Western Strikers,1.36,1,1
2014,Croydon Kings - South Adelaide,1.38,1,1
2014,NE Metrostars - Adelaide Raiders,1.26,1,1
2014,Para - West Adelaide,1.48,2,0
2013,Adelaide City - Enfield City,1.07,1,1
2013,Adelaide Comets - Campbelltown City,1.49,2,0
2013,NE Metrostars - Adelaide Cobras,1.19,1,1
2013,Adelaide Cobras - Campbelltown City,1.46,2,2
2013,Adelaide Raiders - Enfield City,1.29,1,1
2013,Blue Eagles - White City,1.5,1,1
2013,Croydon Kings - NE Metrostars,1.5,2,2
2013,NE Metrostars - Western Strikers,1.43,1,2
2013,West Torrens - Adelaide Comets,1.44,1,2
2013,Enfield City - NE Metrostars,1.21,2,2
2013,Para - Enfield City,1.29,1,1
2013,Adelaide City - Adelaide Comets,1.2,1,1
2013,Blue Eagles - Croydon Kings,1.47,1,1
2013,Adelaide City - Enfield City,1.07,1,1
2013,Adelaide Comets - Campbelltown City,1.49,2,0
2013,NE Metrostars - Adelaide Cobras,1.19,1,1
2013,Adelaide Cobras - Campbelltown City,1.46,2,2
2013,Adelaide Raiders - Enfield City,1.29,1,1
2013,Blue Eagles - White City,1.5,1,1
2013,Croydon Kings - NE Metrostars,1.5,2,2
2013,NE Metrostars - Western Strikers,1.43,1,2
2013,West Torrens - Adelaide Comets,1.44,1,2
2013,Enfield City - NE Metrostars,1.21,2,2
2013,Para - Enfield City,1.29,1,1
2013,Adelaide City - Adelaide Comets,1.2,1,1
2013,Blue Eagles - Croydon Kings,1.47,1,1
2013,Adelaide City - Enfield City,1.07,1,1
2013,Adelaide Comets - Campbelltown City,1.49,2,0
2013,NE Metrostars - Adelaide Cobras,1.19,1,1
2013,Adelaide Cobras - Campbelltown City,1.46,2,2
2013,Adelaide Raiders - Enfield City,1.29,1,1
2013,Blue Eagles - White City,1.5,1,1
2013,Croydon Kings - NE Metrostars,1.5,2,2
2013,NE Metrostars - Western Strikers,1.43,1,2
2013,West Torrens - Adelaide Comets,1.44,1,2
2013,Enfield City - NE Metrostars,1.21,2,2
2013,Para - Enfield City,1.29,1,1
2013,Adelaide City - Adelaide Comets,1.2,1,1
2013,Blue Eagles - Croydon Kings,1.47,1,1
2013,Adelaide City - Enfield City,1.07,1,1
2013,Adelaide Comets - Campbelltown City,1.49,2,0
2013,NE Metrostars - Adelaide Cobras,1.19,1,1
2013,Adelaide Cobras - Campbelltown City,1.46,2,2
2013,Adelaide Raiders - Enfield City,1.29,1,1
2013,Blue Eagles - White City,1.5,1,1
2013,Croydon Kings - NE Metrostars,1.5,2,2
2013,NE Metrostars - Western Strikers,1.43,1,2
2013,West Torrens - Adelaide Comets,1.44,1,2
2013,Enfield City - NE Metrostars,1.21,2,2
2013,Para - Enfield City,1.29,1,1
2013,Adelaide City - Adelaide Comets,1.2,1,1
2013,Blue Eagles - Croydon Kings,1.47,1,1
2012,Croydon Kings - Adelaide Comets,1.49,1,1
2012,NE Metrostars - Enfield City,1.33,1,1
2012,Blue Eagles - West Torrens,1.24,1,2
2012,Enfield City - Adelaide City,1.43,2,0
2012,Blue Eagles - Enfield City,1.46,1,1
2012,NE Metrostars - Adelaide Comets,1.34,1,1
2012,Adelaide City - Western Strikers,1.43,1,2
2012,Blue Eagles - Adelaide Comets,1.35,1,1
2012,Adelaide City - West Torrens,1.41,1,1
2012,Croydon Kings - Adelaide Comets,1.49,1,1
2012,NE Metrostars - Enfield City,1.33,1,1
2012,Blue Eagles - West Torrens,1.24,1,2
2012,Enfield City - Adelaide City,1.43,2,0
2012,Blue Eagles - Enfield City,1.46,1,1
2012,NE Metrostars - Adelaide Comets,1.34,1,1
2012,Adelaide City - Western Strikers,1.43,1,2
2012,Blue Eagles - Adelaide Comets,1.35,1,1
2012,Adelaide City - West Torrens,1.41,1,1
2011,Adelaide City - Croydon Kings,1.21,1,0
2011,NE Metrostars - Adelaide Galaxy,1.42,1,1
2011,Adelaide Galaxy - Modbury Jets,1.49,1,1
2011,Blue Eagles - Croydon Kings,1.45,1,0
2011,NE Metrostars - Adelaide Raiders,1.36,1,1
2011,Para - NE Metrostars,1.48,2,2
2011,Adelaide City - Adelaide Raiders,1.25,1,0
2011,Campbelltown City - NE Metrostars,1.48,2,0
2011,NE Metrostars - Modbury Jets,1.1,1,1
2011,Para - Adelaide City,1.4,2,0
2011,Modbury Jets - Adelaide City,1.24,2,2
2011,Campbelltown City - Adelaide City,1.4,2,2
2011,Croydon Kings - NE Metrostars,1.3,2,2
2011,Blue Eagles - Modbury Jets,1.3,1,1
2011,NE Metrostars - Western Strikers,1.4,1,1
2011,Adelaide City - Croydon Kings,1.21,1,0
2011,NE Metrostars - Adelaide Galaxy,1.42,1,1
2011,Adelaide Galaxy - Modbury Jets,1.49,1,1
2011,Blue Eagles - Croydon Kings,1.45,1,0
2011,NE Metrostars - Adelaide Raiders,1.36,1,1
2011,Para - NE Metrostars,1.48,2,2
2011,Adelaide City - Adelaide Raiders,1.25,1,0
2011,Campbelltown City - NE Metrostars,1.48,2,0
2011,NE Metrostars - Modbury Jets,1.1,1,1
2011,Para - Adelaide City,1.4,2,0
2011,Modbury Jets - Adelaide City,1.24,2,2
2011,Campbelltown City - Adelaide City,1.4,2,2
2011,Croydon Kings - NE Metrostars,1.3,2,2
2011,Blue Eagles - Modbury Jets,1.3,1,1
2011,NE Metrostars - Western Strikers,1.4,1,1
