Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Salzburg - Altach,1.29,1,1
2016,Salzburg - Admira,1.3,1,1
2016,Salzburg - Rapid Vienna,1.46,1,1
2016,Salzburg - Ried,1.2,1,0
2016,St. Polten - Salzburg,1.32,2,2
2016,AC Wolfsberger - Salzburg,1.43,2,2
2016,Salzburg - Sturm Graz,1.34,1,1
2016,Austria Vienna - St. Polten,1.43,1,2
2016,Salzburg - Altach,1.29,1,1
2016,Salzburg - Admira,1.3,1,1
2016,Salzburg - Rapid Vienna,1.46,1,1
2016,Salzburg - Ried,1.2,1,0
2016,St. Polten - Salzburg,1.32,2,2
2016,AC Wolfsberger - Salzburg,1.43,2,2
2016,Salzburg - Sturm Graz,1.34,1,1
2016,Austria Vienna - St. Polten,1.43,1,2
2016,Salzburg - Altach,1.29,1,1
2016,Salzburg - Admira,1.3,1,1
2016,Salzburg - Rapid Vienna,1.46,1,1
2016,Salzburg - Ried,1.2,1,0
2016,St. Polten - Salzburg,1.32,2,2
2016,AC Wolfsberger - Salzburg,1.43,2,2
2016,Salzburg - Sturm Graz,1.34,1,1
2016,Austria Vienna - St. Polten,1.43,1,2
2016,Salzburg - Altach,1.29,1,1
2016,Salzburg - Admira,1.3,1,1
2016,Salzburg - Rapid Vienna,1.46,1,1
2016,Salzburg - Ried,1.2,1,0
2016,St. Polten - Salzburg,1.32,2,2
2016,AC Wolfsberger - Salzburg,1.43,2,2
2016,Salzburg - Sturm Graz,1.34,1,1
2016,Austria Vienna - St. Polten,1.43,1,2
2015,Salzburg - AC Wolfsberger,1.47,1,1
2015,Rapid Vienna - Altach,1.37,1,0
2015,Sturm Graz - Mattersburg,1.37,1,0
2015,Austria Vienna - Admira,1.47,1,1
2015,Altach - Salzburg,1.45,2,2
2015,Salzburg - Ried,1.24,1,1
2015,Salzburg - Admira,1.21,1,1
2015,Austria Vienna - Grodig,1.43,1,2
2015,Sturm Graz - Altach,1.49,1,1
2015,Salzburg - Mattersburg,1.2,1,1
2015,Rapid Vienna - Admira,1.42,1,2
2015,Salzburg - AC Wolfsberger,1.47,1,1
2015,Rapid Vienna - Altach,1.37,1,0
2015,Sturm Graz - Mattersburg,1.37,1,0
2015,Austria Vienna - Admira,1.47,1,1
2015,Altach - Salzburg,1.45,2,2
2015,Salzburg - Ried,1.24,1,1
2015,Salzburg - Admira,1.21,1,1
2015,Austria Vienna - Grodig,1.43,1,2
2015,Sturm Graz - Altach,1.49,1,1
2015,Salzburg - Mattersburg,1.2,1,1
2015,Rapid Vienna - Admira,1.42,1,2
2015,Salzburg - AC Wolfsberger,1.47,1,1
2015,Rapid Vienna - Altach,1.37,1,0
2015,Sturm Graz - Mattersburg,1.37,1,0
2015,Austria Vienna - Admira,1.47,1,1
2015,Altach - Salzburg,1.45,2,2
2015,Salzburg - Ried,1.24,1,1
2015,Salzburg - Admira,1.21,1,1
2015,Austria Vienna - Grodig,1.43,1,2
2015,Sturm Graz - Altach,1.49,1,1
2015,Salzburg - Mattersburg,1.2,1,1
2015,Rapid Vienna - Admira,1.42,1,2
2015,Salzburg - AC Wolfsberger,1.47,1,1
2015,Rapid Vienna - Altach,1.37,1,0
2015,Sturm Graz - Mattersburg,1.37,1,0
2015,Austria Vienna - Admira,1.47,1,1
2015,Altach - Salzburg,1.45,2,2
2015,Salzburg - Ried,1.24,1,1
2015,Salzburg - Admira,1.21,1,1
2015,Austria Vienna - Grodig,1.43,1,2
2015,Sturm Graz - Altach,1.49,1,1
2015,Salzburg - Mattersburg,1.2,1,1
2015,Rapid Vienna - Admira,1.42,1,2
2014,Rapid Vienna - Neustadt,1.22,1,0
2014,Salzburg - AC Wolfsberger,1.19,1,1
2014,Altach - Salzburg,1.32,2,0
2014,Salzburg - Admira,1.11,1,1
