Season,Participants,Best Odd,Your Bet,Winning Bet
2016,AZAL PFK - Zira,1.27,2,2
2016,Kapaz - Inter Baku,1.37,1,1
2016,Gabala - Inter Baku,1.47,1,1
2016,Qarabag - SumQayit,1.32,1,1
2016,Neftci Baku - AZAL PFK,1.31,1,1
2016,Gabala - Zira,1.38,1,0
2016,Qarabag - Kapaz,1.26,1,1
2016,Inter Baku - AZAL PFK,1.49,1,1
2016,Zira - Qarabag,1.41,2,0
2016,AZAL PFK - Gabala,1.42,2,0
2016,Qarabag - AZAL PFK,1.13,1,1
2016,Inter Baku - SumQayit,1.49,1,1
2016,SumQayit - Qarabag,1.48,2,2
2016,Kapaz - Qarabag,1.49,2,2
2016,Qarabag - Zira,1.26,1,1
2016,Gabala - AZAL PFK,1.18,1,1
2016,AZAL PFK - Zira,1.27,2,2
2016,Kapaz - Inter Baku,1.37,1,1
2016,Gabala - Inter Baku,1.47,1,1
2016,Qarabag - SumQayit,1.32,1,1
2016,Neftci Baku - AZAL PFK,1.31,1,1
2016,Gabala - Zira,1.38,1,0
2016,Qarabag - Kapaz,1.26,1,1
2016,Inter Baku - AZAL PFK,1.49,1,1
2016,Zira - Qarabag,1.41,2,0
2016,AZAL PFK - Gabala,1.42,2,0
2016,Qarabag - AZAL PFK,1.13,1,1
2016,Inter Baku - SumQayit,1.49,1,1
2016,SumQayit - Qarabag,1.48,2,2
2016,Kapaz - Qarabag,1.49,2,2
2016,Qarabag - Zira,1.26,1,1
2016,Gabala - AZAL PFK,1.18,1,1
2016,AZAL PFK - Zira,1.27,2,2
2016,Kapaz - Inter Baku,1.37,1,1
2016,Gabala - Inter Baku,1.47,1,1
2016,Qarabag - SumQayit,1.32,1,1
2016,Neftci Baku - AZAL PFK,1.31,1,1
2016,Gabala - Zira,1.38,1,0
2016,Qarabag - Kapaz,1.26,1,1
2016,Inter Baku - AZAL PFK,1.49,1,1
2016,Zira - Qarabag,1.41,2,0
2016,AZAL PFK - Gabala,1.42,2,0
2016,Qarabag - AZAL PFK,1.13,1,1
2016,Inter Baku - SumQayit,1.49,1,1
2016,SumQayit - Qarabag,1.48,2,2
2016,Kapaz - Qarabag,1.49,2,2
2016,Qarabag - Zira,1.26,1,1
2016,Gabala - AZAL PFK,1.18,1,1
2015,Qarabag - AZAL PFK,1.43,1,1
2015,Gabala - AZAL PFK,1.29,1,1
2015,Ravan - Qarabag,1.34,2,1
2015,Inter Baku - Khazar Lenkoran,1.28,1,1
2015,Qarabag - SumQayit,1.27,1,1
2015,Kapaz - Ravan,1.29,1,1
2015,Zira - Khazar Lenkoran,1.37,1,1
2015,Gabala - Ravan,1.31,1,1
2015,Qarabag - Kapaz,1.44,1,1
2015,Khazar Lenkoran - Qarabag,1.19,2,2
2015,Zira - SumQayit,1.5,1,1
2015,Qarabag - Ravan,1.1,1,1
2015,Qarabag - AZAL PFK,1.43,1,1
2015,Gabala - AZAL PFK,1.29,1,1
2015,Ravan - Qarabag,1.34,2,1
2015,Inter Baku - Khazar Lenkoran,1.28,1,1
2015,Qarabag - SumQayit,1.27,1,1
2015,Kapaz - Ravan,1.29,1,1
2015,Zira - Khazar Lenkoran,1.37,1,1
2015,Gabala - Ravan,1.31,1,1
2015,Qarabag - Kapaz,1.44,1,1
2015,Khazar Lenkoran - Qarabag,1.19,2,2
2015,Zira - SumQayit,1.5,1,1
2015,Qarabag - Ravan,1.1,1,1
2015,Qarabag - AZAL PFK,1.43,1,1
2015,Gabala - AZAL PFK,1.29,1,1
2015,Ravan - Qarabag,1.34,2,1
2015,Inter Baku - Khazar Lenkoran,1.28,1,1
2015,Qarabag - SumQayit,1.27,1,1
2015,Kapaz - Ravan,1.29,1,1
2015,Zira - Khazar Lenkoran,1.37,1,1
2015,Gabala - Ravan,1.31,1,1
2015,Qarabag - Kapaz,1.44,1,1
2015,Khazar Lenkoran - Qarabag,1.19,2,2
2015,Zira - SumQayit,1.5,1,1
2015,Qarabag - Ravan,1.1,1,1
2015,Qarabag - AZAL PFK,1.43,1,1
2015,Gabala - AZAL PFK,1.29,1,1
2015,Ravan - Qarabag,1.34,2,1
2015,Inter Baku - Khazar Lenkoran,1.28,1,1
2015,Qarabag - SumQayit,1.27,1,1
2015,Kapaz - Ravan,1.29,1,1
2015,Zira - Khazar Lenkoran,1.37,1,1
2015,Gabala - Ravan,1.31,1,1
2015,Qarabag - Kapaz,1.44,1,1
2015,Khazar Lenkoran - Qarabag,1.19,2,2
2015,Zira - SumQayit,1.5,1,1
2015,Qarabag - Ravan,1.1,1,1
2014,Khazar Lenkoran - Zaqatala,1.34,1,0
2014,Gabala - FK Baku,1.15,1,1
2014,SumQayit - Inter Baku,1.5,1,1
2014,Qarabag - SumQayit,1.16,1,1
2014,Zaqatala - FK Baku,1.47,1,1
2014,Khazar Lenkoran - Qarabag,1.38,2,0
2014,SumQayit - Gabala,1.46,2,2
2014,Neftci Baku - SumQayit,1.41,1,0
2014,Zaqatala - Inter Baku,1.46,2,2
2014,Inter Baku - AZAL PFK,1.29,1,1
2014,FK Baku - Inter Baku,1.22,2,2
2014,Qarabag - AZAL PFK,1.2,1,1
2014,Inter Baku - Khazar Lenkoran,1.24,1,1
2014,FK Baku - Qarabag,1.11,2,0
2014,Neftci Baku - FK Baku,1.29,1,1
2014,SumQayit - Qarabag,1.36,2,2
2014,FK Baku - Zaqatala,1.45,2,2
2014,Qarabag - Khazar Lenkoran,1.23,1,1
2014,AZAL PFK - FK Baku,1.4,1,1
2014,Khazar Lenkoran - FK Baku,1.45,1,1
2014,Khazar Lenkoran - Zaqatala,1.34,1,0
2014,Gabala - FK Baku,1.15,1,1
2014,SumQayit - Inter Baku,1.5,1,1
2014,Qarabag - SumQayit,1.16,1,1
2014,Zaqatala - FK Baku,1.47,1,1
2014,Khazar Lenkoran - Qarabag,1.38,2,0
2014,SumQayit - Gabala,1.46,2,2
2014,Neftci Baku - SumQayit,1.41,1,0
2014,Zaqatala - Inter Baku,1.46,2,2
2014,Inter Baku - AZAL PFK,1.29,1,1
2014,FK Baku - Inter Baku,1.22,2,2
2014,Qarabag - AZAL PFK,1.2,1,1
2014,Inter Baku - Khazar Lenkoran,1.24,1,1
2014,FK Baku - Qarabag,1.11,2,0
2014,Neftci Baku - FK Baku,1.29,1,1
2014,SumQayit - Qarabag,1.36,2,2
2014,FK Baku - Zaqatala,1.45,2,2
2014,Qarabag - Khazar Lenkoran,1.23,1,1
2014,AZAL PFK - FK Baku,1.4,1,1
2014,Khazar Lenkoran - FK Baku,1.45,1,1
2014,Khazar Lenkoran - Zaqatala,1.34,1,0
2014,Gabala - FK Baku,1.15,1,1
2014,SumQayit - Inter Baku,1.5,1,1
