Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Al-Muharraq - Al-Najma,1.46,1,1
2016,Al-Muharraq - Bahrain SC,1.36,1,2
2016,Al-Muharraq - Al-Najma,1.46,1,1
2016,Al-Muharraq - Bahrain SC,1.36,1,2
2015,Sitra - Al-Muharraq,1.46,2,0
2015,Sitra - Al-Muharraq,1.46,2,0
2014,Bahrain SC - Al-Hadd,1.44,2,2
2014,Manama Club - Al-Shabbab,1.29,1,2
2014,Al-Muharraq - Al-Hala,1.32,1,1
2014,Al-Muharraq - Al-Shabbab,1.42,1,1
2014,Manama Club - Bahrain SC,1.41,1,1
2014,Al-Hala - Al Riffa,1.46,2,2
2014,Al Riffa - Malkia,1.45,1,0
2014,Al-Shabbab - Al Riffa,1.44,2,2
2014,Malkia - Al-Muharraq,1.26,2,0
2014,Al-Shabbab - Al-Hadd,1.29,2,2
2014,Bahrain SC - Al Riffa,1.42,2,2
2014,Bahrain SC - Al-Hadd,1.44,2,2
2014,Manama Club - Al-Shabbab,1.29,1,2
2014,Al-Muharraq - Al-Hala,1.32,1,1
2014,Al-Muharraq - Al-Shabbab,1.42,1,1
2014,Manama Club - Bahrain SC,1.41,1,1
2014,Al-Hala - Al Riffa,1.46,2,2
2014,Al Riffa - Malkia,1.45,1,0
2014,Al-Shabbab - Al Riffa,1.44,2,2
2014,Malkia - Al-Muharraq,1.26,2,0
2014,Al-Shabbab - Al-Hadd,1.29,2,2
2014,Bahrain SC - Al Riffa,1.42,2,2
2013,Al Riffa - Malkia,1.35,1,1
2013,Manama Club - Al-Shabbab,1.28,1,1
2013,Al-Hadd - Sitra,1.27,1,1
2013,Sitra - Manama Club,1.26,2,2
2013,Al-Muharraq - Al-Najma,1.4,1,0
2013,Al Riffa - Al-Najma,1.43,1,1
2013,Sitra - Al-Muharraq,1.36,2,2
2013,Al Riffa - Sitra,1.37,1,1
2013,Malkia - Al-Muharraq,1.36,2,0
2013,Al-Hala - Al Riffa,1.46,2,0
2013,Sitra - Al-Hadd,1.4,2,2
2013,Al Riffa - Malkia,1.35,1,1
2013,Manama Club - Al-Shabbab,1.28,1,1
2013,Al-Hadd - Sitra,1.27,1,1
2013,Sitra - Manama Club,1.26,2,2
2013,Al-Muharraq - Al-Najma,1.4,1,0
2013,Al Riffa - Al-Najma,1.43,1,1
2013,Sitra - Al-Muharraq,1.36,2,2
2013,Al Riffa - Sitra,1.37,1,1
2013,Malkia - Al-Muharraq,1.36,2,0
2013,Al-Hala - Al Riffa,1.46,2,0
2013,Sitra - Al-Hadd,1.4,2,2
2012,Al-Muharraq - Al Riffa,1.38,1,0
2012,Al-Muharraq - Malkia,1.14,1,1
2012,Al-Shabbab - Busaiteen,1.34,2,2
2012,Al Riffa - Al-Hala,1.29,1,1
2012,Manama Club - Bahrain SC,1.27,1,0
2012,Bahrain SC - Al Riffa,1.33,2,2
2012,Busaiteen - Malkia,1.25,1,0
2012,Al-Hala - Al-Muharraq,1.2,2,2
2012,Manama Club - Al-Shabbab,1.4,1,0
2012,Al-Muharraq - Bahrain SC,1.14,1,1
2012,Busaiteen - Al-Hala,1.34,1,1
2012,Manama Club - Al-Muharraq,1.3,2,2
2012,Al-Hadd - Al-Shabbab,1.4,1,1
2012,Al-Muharraq - Al-Najma,1.41,1,1
2012,Al Riffa - Al-Shabbab,1.17,1,1
2012,Busaiteen - Manama Club,1.41,1,0
2012,Al-Muharraq - Manama Club,1.36,1,1
2012,Al Riffa - Al-Najma,1.49,1,1
2012,Busaiteen - Bahrain SC,1.35,1,1
2012,Al-Muharraq - Al Riffa,1.38,1,0
2012,Al-Muharraq - Malkia,1.14,1,1
2012,Al-Shabbab - Busaiteen,1.34,2,2
2012,Al Riffa - Al-Hala,1.29,1,1
2012,Manama Club - Bahrain SC,1.27,1,0
2012,Bahrain SC - Al Riffa,1.33,2,2
2012,Busaiteen - Malkia,1.25,1,0
2012,Al-Hala - Al-Muharraq,1.2,2,2
2012,Manama Club - Al-Shabbab,1.4,1,0
2012,Al-Muharraq - Bahrain SC,1.14,1,1
2012,Busaiteen - Al-Hala,1.34,1,1
2012,Manama Club - Al-Muharraq,1.3,2,2
2012,Al-Hadd - Al-Shabbab,1.4,1,1
2012,Al-Muharraq - Al-Najma,1.41,1,1
2012,Al Riffa - Al-Shabbab,1.17,1,1
2012,Busaiteen - Manama Club,1.41,1,0
2012,Al-Muharraq - Manama Club,1.36,1,1
2012,Al Riffa - Al-Najma,1.49,1,1
2012,Busaiteen - Bahrain SC,1.35,1,1
2011,Al Riffa - Al-Ahli Manama,1.43,1,1
2011,Bahrain SC - Al-Muharraq,1.47,2,2
2011,Al-Muharraq - Al-Hadd,1.22,1,0
2011,East Riffa - Al Riffa,1.33,2,2
2011,Al-Muharraq - Al-Hala,1.31,1,1
2011,Al-Hadd - Al Riffa,1.49,2,0
2011,East Riffa - Al-Muharraq,1.46,2,2
2011,Al Riffa - Al-Hala,1.35,1,0
2011,Al-Muharraq - Al-Ahli Manama,1.31,1,1
2011,Busaiteen - East Riffa,1.34,1,0
2011,Al Riffa - Al-Ahli Manama,1.43,1,1
2011,Bahrain SC - Al-Muharraq,1.47,2,2
2011,Al-Muharraq - Al-Hadd,1.22,1,0
2011,East Riffa - Al Riffa,1.33,2,2
2011,Al-Muharraq - Al-Hala,1.31,1,1
2011,Al-Hadd - Al Riffa,1.49,2,0
2011,East Riffa - Al-Muharraq,1.46,2,2
2011,Al Riffa - Al-Hala,1.35,1,0
2011,Al-Muharraq - Al-Ahli Manama,1.31,1,1
2011,Busaiteen - East Riffa,1.34,1,0
2010,Al Riffa - Busaiteen,1.49,1,0
2010,Al-Ahli Manama - Busaiteen,1.49,1,2
2010,Al-Muharraq - Busaiteen,1.5,1,1
2010,Al Riffa - Al-Hadd,1.49,1,1
2010,Al-Shabbab - Al-Ahli Manama,1.4,2,2
2010,Al-Muharraq - Al-Shabbab,1.35,1,1
2010,Al-Ahli Manama - Al-Hala,1.34,1,0
2010,Al-Muharraq - Malkia,1.27,1,2
2010,Al Riffa - Busaiteen,1.49,1,0
2010,Al-Ahli Manama - Busaiteen,1.49,1,2
2010,Al-Muharraq - Busaiteen,1.5,1,1
2010,Al Riffa - Al-Hadd,1.49,1,1
2010,Al-Shabbab - Al-Ahli Manama,1.4,2,2
2010,Al-Muharraq - Al-Shabbab,1.35,1,1
2010,Al-Ahli Manama - Al-Hala,1.34,1,0
2010,Al-Muharraq - Malkia,1.27,1,2
2009,Al-Muharraq - Manama Club,1.41,1,1
2009,Al Riffa - Manama Club,1.39,1,0
2009,Al-Shabbab - Al-Muharraq,1.43,2,2
2009,Al-Muharraq - Malkia,1.23,1,0
2009,Al Riffa - Al-Shabbab,1.26,1,1
2009,East Riffa - Al-Muharraq,1.32,2,2
2009,Al Riffa - Malkia,1.32,1,1
2009,Al Riffa - East Riffa,1.47,1,1
2009,Al-Hala - Al-Muharraq,1.34,2,2
2009,Al-Muharraq - East Riffa,1.31,1,1
2009,Al-Muharraq - Manama Club,1.41,1,1
2009,Al Riffa - Manama Club,1.39,1,0
2009,Al-Shabbab - Al-Muharraq,1.43,2,2
2009,Al-Muharraq - Malkia,1.23,1,0
2009,Al Riffa - Al-Shabbab,1.26,1,1
2009,East Riffa - Al-Muharraq,1.32,2,2
2009,Al Riffa - Malkia,1.32,1,1
2009,Al Riffa - East Riffa,1.47,1,1
2009,Al-Hala - Al-Muharraq,1.34,2,2
2009,Al-Muharraq - East Riffa,1.31,1,1
2008,Al Riffa - Isa Town,1.07,1,1
