Season,Participants,Best Odd,Your Bet,Winning Bet
2016,BATE - Brest&nbsp;,1.48,1,1
2016,Shakhtyor Soligorsk - Slutsk&nbsp;,1.18,1,0
2016,BATE - FC Minsk&nbsp;,1.24,1,1
2016,Shakhtyor Soligorsk - Lokomotiv Gomel&nbsp;,1.12,1,1
2016,FC Minsk - BATE&nbsp;,1.31,2,2
2016,Lokomotiv Gomel - Shakhtyor Soligorsk&nbsp;,1.23,2,2
2016,BATE - Isloch Minsk,1.22,1,1
2016,Brest - Naftan,1.35,1,1
2016,Slutsk - Smorgon,1.25,1,1
2016,Baranovici - FC Minsk,1.12,2,0
2016,Torpedo - BATE,1.1,2,2
2016,Lida - Shakhtyor Soligorsk,1.09,2,2
2016,Vertical - Isloch Minsk,1.08,2,2
2016,Torpedo Minsk - Slavia Mozyr,1.41,2,2
2016,Volna Pinsk - Zhodino,1.19,2,2
2016,Baranovici - Belshina,1.27,2,0
2016,Zvezda Minsk - Gorodeja,1.42,2,0
2016,Neman Agro - Neman,1.18,2,2
2016,FC Slonim - Brest,1.5,2,2
2016,Orsha - FC Minsk,1.21,2,2
2016,Osipovici - Lokomotiv Gomel,1.3,2,0
2016,Molodechno - FC Gomel,1.13,2,2
2016,Viktoria Maryina Gorka - Smorgon,1.23,2,2
2016,FK Chist - Lida,1.11,2,2
2016,Kletsk - Chimik Svetlogorsk,1.32,2,2
2016,FK Montazhnik - Smolevichi STI,1.2,2,2
2015,BATE - Zhodino,1.32,1,0
2015,BATE - Naftan&nbsp;,1.11,1,0
2015,Naftan - BATE&nbsp;,1.19,2,0
2015,Shakhtyor Soligorsk - FC Minsk&nbsp;,1.45,1,0
2015,Belshina - Naftan&nbsp;,1.4,1,0
2015,Slutsk - BATE&nbsp;,1.44,2,2
2015,BATE - Slutsk&nbsp;,1.24,1,1
2015,Zhodino - Smorgon&nbsp;,1.06,1,1
2015,Din. Minsk - Neman&nbsp;,1.3,1,0
2015,Slutsk - FC Gomel&nbsp;,1.14,1,1
2015,BATE - Mikashevichi&nbsp;,1.35,1,1
2015,Belshina - Isloch Minsk&nbsp;,1.41,1,1
2015,Smorgon - Zhodino&nbsp;,1.17,2,2
2015,Shakhtyor Soligorsk - Vitebsk&nbsp;,1.19,1,1
2015,FC Gomel - Slutsk&nbsp;,1.4,2,2
2015,Smolevichi STI - Din. Minsk&nbsp;,1.28,2,2
2015,Zhodino - Orsha&nbsp;,1.12,1,1
2015,BATE - Spartak Shklov&nbsp;,1.07,1,1
2015,Belshina - Lokomotiv Gomel&nbsp;,1.2,1,0
2015,Neman - Rechitsa&nbsp;,1.19,1,1
2015,Byaroza 2010 - Brest&nbsp;,1.41,2,1
2015,Isloch Minsk - Chimik Svetlogorsk&nbsp;,1.25,1,1
2015,Din. Minsk - Smolevichi STI&nbsp;,1.17,1,1
2015,Orsha - Zhodino&nbsp;,1.21,2,2
2015,Chimik Svetlogorsk - Isloch Minsk&nbsp;,1.33,2,2
2015,Brest - Byaroza 2010&nbsp;,1.2,1,1
2015,Oshmyany - Mikashevichi&nbsp;,1.17,2,2
2015,Lokomotiv Gomel - Belshina&nbsp;,1.35,2,2
2015,BATE - Zhodino,1.32,1,0
2015,BATE - Naftan&nbsp;,1.11,1,0
2015,Naftan - BATE&nbsp;,1.19,2,0
2015,Shakhtyor Soligorsk - FC Minsk&nbsp;,1.45,1,0
2015,Belshina - Naftan&nbsp;,1.4,1,0
2015,Slutsk - BATE&nbsp;,1.44,2,2
2015,BATE - Slutsk&nbsp;,1.24,1,1
2015,Zhodino - Smorgon&nbsp;,1.06,1,1
2015,Din. Minsk - Neman&nbsp;,1.3,1,0
2015,Slutsk - FC Gomel&nbsp;,1.14,1,1
2015,BATE - Mikashevichi&nbsp;,1.35,1,1
2015,Belshina - Isloch Minsk&nbsp;,1.41,1,1
2015,Smorgon - Zhodino&nbsp;,1.17,2,2
2015,Shakhtyor Soligorsk - Vitebsk&nbsp;,1.19,1,1
2015,FC Gomel - Slutsk&nbsp;,1.4,2,2
2015,Smolevichi STI - Din. Minsk&nbsp;,1.28,2,2
2015,Zhodino - Orsha&nbsp;,1.12,1,1
2015,BATE - Spartak Shklov&nbsp;,1.07,1,1
