Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Itabaiana - Frei Paulistano,1.16,1,1
2017,Confianca - Amadense,1.19,1,2
2017,Itabaiana - Amadense,1.22,1,1
2017,Confianca - Boca Junior,1.35,1,1
2017,Sergipe - Frei Paulistano,1.27,1,1
2017,Sergipe - Frei Paulistano,1.37,1,1
2017,Confianca - Amadense,1.24,1,1
2017,Sergipe - Boca Junior,1.35,1,1
2017,Botafogo ASF - Itabaiana,1.05,2,2
2017,Confianca - Lagarto,1.21,1,1
2017,Lagarto - Sergipe,1.39,2,2
2017,Frei Paulistano - Amadense,1.36,1,0
2017,Confianca - Botafogo ASF,1.19,1,1
2016,Sergipe - Estanciano EC,1.28,1,2
2016,Confianca - Dorense,1.2,1,1
2016,Itabaiana - Estanciano EC,1.36,1,1
2016,Confianca - Estanciano EC,1.28,1,1
