Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Skovbakken W - Vejle W,1.34,1,1
2016,Sundby W - Sonderjyske W,1.18,1,1
2016,VSK Aarhus W - Odense Q W,1.21,2,2
2016,Koldingq FC W - Brondby W,1.05,2,2
2016,Fortuna Hjorring W - Vejle W,1.03,1,0
2016,Odense Q W - Sonderjyske W,1.12,1,1
2016,Brondby W - BSF W,1.01,1,1
2016,Varde W - Sundby W,1.35,1,1
2016,Brondby W - Vejle W,1.01,1,1
2016,Koldingq FC W - Fortuna Hjorring W,1.09,2,2
2016,Fortuna Hjorring W - Skovbakken W,1.06,1,1
2016,Skovbakken W - Brondby W,1.09,2,2
2016,Fortuna Hjorring W - BSF W,1.04,1,1
2016,Vejle W - Koldingq FC W,1.36,2,2
2016,Vejle W - Skovbakken W,1.45,2,0
2016,Koldingq FC W - BSF W,1.49,1,1
2016,Brondby W - Koldingq FC W,1.04,1,1
2016,Skovbakken W - Fortuna Hjorring W,1.12,2,2
2016,Vejle W - Fortuna Hjorring W,1.03,2,2
2016,BSF W - Brondby W,1.03,2,2
2016,Fortuna Hjorring W - Koldingq FC W,1.12,1,1
2016,Skovbakken W - BSF W,1.33,1,1
2016,Vejle W - Brondby W,1.02,2,2
2016,BSF W - Fortuna Hjorring W,1.06,2,2
2016,Koldingq FC W - Vejle W,1.1,1,0
2016,Brondby W - Skovbakken W,1.08,1,1
2016,BSF W - Skovbakken W,1.48,2,2
2016,Varde W - Koldingq FC W,1.04,2,2
2016,Koldingq FC W - Fortuna Hjorring W,1.29,2,2
2016,Skovbakken W - Vejle W,1.2,1,0
2016,Koldingq FC W - Brondby W,1.18,2,2
2016,Varde W - Fortuna Hjorring W,1.01,2,2
2016,Skovbakken W - Vejle W,1.34,1,1
2016,Sundby W - Sonderjyske W,1.18,1,1
2016,VSK Aarhus W - Odense Q W,1.21,2,2
2016,Koldingq FC W - Brondby W,1.05,2,2
2016,Fortuna Hjorring W - Vejle W,1.03,1,0
2016,Odense Q W - Sonderjyske W,1.12,1,1
2016,Brondby W - BSF W,1.01,1,1
2016,Varde W - Sundby W,1.35,1,1
2016,Brondby W - Vejle W,1.01,1,1
2016,Koldingq FC W - Fortuna Hjorring W,1.09,2,2
2016,Fortuna Hjorring W - Skovbakken W,1.06,1,1
2016,Skovbakken W - Brondby W,1.09,2,2
2016,Fortuna Hjorring W - BSF W,1.04,1,1
2016,Vejle W - Koldingq FC W,1.36,2,2
2016,Vejle W - Skovbakken W,1.45,2,0
2016,Koldingq FC W - BSF W,1.49,1,1
2016,Brondby W - Koldingq FC W,1.04,1,1
2016,Skovbakken W - Fortuna Hjorring W,1.12,2,2
2016,Vejle W - Fortuna Hjorring W,1.03,2,2
2016,BSF W - Brondby W,1.03,2,2
2016,Fortuna Hjorring W - Koldingq FC W,1.12,1,1
2016,Skovbakken W - BSF W,1.33,1,1
2016,Vejle W - Brondby W,1.02,2,2
2016,BSF W - Fortuna Hjorring W,1.06,2,2
2016,Koldingq FC W - Vejle W,1.1,1,0
2016,Brondby W - Skovbakken W,1.08,1,1
2016,BSF W - Skovbakken W,1.48,2,2
2016,Varde W - Koldingq FC W,1.04,2,2
2016,Koldingq FC W - Fortuna Hjorring W,1.29,2,2
2016,Skovbakken W - Vejle W,1.2,1,0
2016,Koldingq FC W - Brondby W,1.18,2,2
2016,Varde W - Fortuna Hjorring W,1.01,2,2
2015,BSF W - ASA Aarhus W,1.3,1,1
2015,Naesby W - Sundby W,1.34,1,2
2015,Varde W - Viborg W,1.41,1,1
2015,Vejle W - Koldingq FC W,1.39,2,2
2015,Brondby W - Koldingq FC W,1.22,1,1
2015,Skovbakken W - Fortuna Hjorring W,1.17,2,2
2015,BSF W - Viborg W,1.38,1,1
2015,Brondby W - Vejle W,1.04,1,1
2015,Fortuna Hjorring W - Odense Q W,1.2,1,1
2015,Vejle W - Skovbakken W,1.42,2,2
2015,Skovbakken W - Brondby W,1.12,2,0
2015,Fortuna Hjorring W - Vejle W,1.12,1,1
2015,Koldingq FC W - Vejle W,1.36,1,1
2015,Odense Q W - Vejle W,1.47,1,0
2015,Koldingq FC W - Brondby W,1.26,2,2
2015,Fortuna Hjorring W - Skovbakken W,1.17,1,1
2015,Odense Q W - Fortuna Hjorring W,1.24,2,2
2015,Varde W - Naesby W,1.42,1,2
2015,Vejle W - Brondby W,1.05,2,0
2015,Brondby W - Skovbakken W,1.08,1,1
2015,Vejle W - Fortuna Hjorring W,1.13,2,2
2015,Fortuna Hjorring W - Koldingq FC W,1.36,1,1
2015,Odense Q W - Brondby W,1.28,2,2
2015,Brondby W - Skovbakken W,1.18,1,1
2015,BSF W - Koldingq FC W,1.2,2,2
2015,Fortuna Hjorring W - Vejle W,1.01,1,1
2015,BSF W - ASA Aarhus W,1.3,1,1
2015,Naesby W - Sundby W,1.34,1,2
2015,Varde W - Viborg W,1.41,1,1
2015,Vejle W - Koldingq FC W,1.39,2,2
2015,Brondby W - Koldingq FC W,1.22,1,1
2015,Skovbakken W - Fortuna Hjorring W,1.17,2,2
2015,BSF W - Viborg W,1.38,1,1
2015,Brondby W - Vejle W,1.04,1,1
2015,Fortuna Hjorring W - Odense Q W,1.2,1,1
2015,Vejle W - Skovbakken W,1.42,2,2
2015,Skovbakken W - Brondby W,1.12,2,0
2015,Fortuna Hjorring W - Vejle W,1.12,1,1
2015,Koldingq FC W - Vejle W,1.36,1,1
2015,Odense Q W - Vejle W,1.47,1,0
2015,Koldingq FC W - Brondby W,1.26,2,2
2015,Fortuna Hjorring W - Skovbakken W,1.17,1,1
2015,Odense Q W - Fortuna Hjorring W,1.24,2,2
2015,Varde W - Naesby W,1.42,1,2
2015,Vejle W - Brondby W,1.05,2,0
2015,Brondby W - Skovbakken W,1.08,1,1
2015,Vejle W - Fortuna Hjorring W,1.13,2,2
2015,Fortuna Hjorring W - Koldingq FC W,1.36,1,1
2015,Odense Q W - Brondby W,1.28,2,2
2015,Brondby W - Skovbakken W,1.18,1,1
2015,BSF W - Koldingq FC W,1.2,2,2
2015,Fortuna Hjorring W - Vejle W,1.01,1,1
2015,BSF W - ASA Aarhus W,1.3,1,1
2015,Naesby W - Sundby W,1.34,1,2
2015,Varde W - Viborg W,1.41,1,1
2015,Vejle W - Koldingq FC W,1.39,2,2
2015,Brondby W - Koldingq FC W,1.22,1,1
2015,Skovbakken W - Fortuna Hjorring W,1.17,2,2
2015,BSF W - Viborg W,1.38,1,1
2015,Brondby W - Vejle W,1.04,1,1
2015,Fortuna Hjorring W - Odense Q W,1.2,1,1
2015,Vejle W - Skovbakken W,1.42,2,2
2015,Skovbakken W - Brondby W,1.12,2,0
2015,Fortuna Hjorring W - Vejle W,1.12,1,1
2015,Koldingq FC W - Vejle W,1.36,1,1
2015,Odense Q W - Vejle W,1.47,1,0
2015,Koldingq FC W - Brondby W,1.26,2,2
2015,Fortuna Hjorring W - Skovbakken W,1.17,1,1
2015,Odense Q W - Fortuna Hjorring W,1.24,2,2
2015,Varde W - Naesby W,1.42,1,2
2015,Vejle W - Brondby W,1.05,2,0
2015,Brondby W - Skovbakken W,1.08,1,1
2015,Vejle W - Fortuna Hjorring W,1.13,2,2
2015,Fortuna Hjorring W - Koldingq FC W,1.36,1,1
2015,Odense Q W - Brondby W,1.28,2,2
2015,Brondby W - Skovbakken W,1.18,1,1
2015,BSF W - Koldingq FC W,1.2,2,2
2015,Fortuna Hjorring W - Vejle W,1.01,1,1
2014,Brondby W - Fortuna Hjorring W,1.35,1,2
2014,Skovbakken W - BSF W,1.12,1,0
2014,Fortuna Hjorring W - Skovbakken W,1.2,1,2
2014,Koldingq FC W - Brondby W,1.27,2,2
2014,Brondby W - Odense Q W,1.1,1,1
2014,Fortuna Hjorring W - BSF W,1.03,1,1
2014,Brondby W - BSF W,1.01,1,1
2014,Koldingq FC W - Fortuna Hjorring W,1.48,2,2
2014,ASA Aarhus W - Viborg W,1.4,2,1
2014,BSF W - Brondby W,1.02,2,2
2014,Viborg W - Vorup W,1.43,1,1
2014,Fortuna Hjorring W - Odense Q W,1.26,1,1
2014,Skovbakken W - Brondby W,1.31,2,2
2014,BSF W - Koldingq FC W,1.42,2,2
2014,Odense Q W - Brondby W,1.23,2,2
2014,Brondby W - Koldingq FC W,1.2,1,1
2014,Odense Q W - BSF W,1.43,1,1
2014,Skovbakken W - Fortuna Hjorring W,1.2,2,0
2014,BSF W - Fortuna Hjorring W,1.05,2,2
2014,Fortuna Hjorring W - Koldingq FC W,1.15,1,2
2014,Brondby W - Skovbakken W,1.12,1,2
2014,Odense Q W - Fortuna Hjorring W,1.16,2,2
2014,Koldingq FC W - BSF W,1.29,1,1
2014,Fortuna Hjorring W - Odense Q W,1.09,1,1
2014,Vejle W - Skovbakken W,1.16,2,1
2014,Vorup W - BSF W,1.11,2,2
2014,Fortuna Hjorring W - Skovbakken W,1.03,1,1
2014,Brondby W - Koldingq FC W,1.04,1,1
2014,BSF W - Brondby W,1.14,2,2
2014,Viborg W - BSF W,1.38,2,2
2014,Odense Q W - Vejle W,1.14,1,1
2014,Fortuna Hjorring W - BSF W,1.02,1,1
2014,Brondby W - Fortuna Hjorring W,1.35,1,2
2014,Skovbakken W - BSF W,1.12,1,0
2014,Fortuna Hjorring W - Skovbakken W,1.2,1,2
2014,Koldingq FC W - Brondby W,1.27,2,2
2014,Brondby W - Odense Q W,1.1,1,1
2014,Fortuna Hjorring W - BSF W,1.03,1,1
2014,Brondby W - BSF W,1.01,1,1
2014,Koldingq FC W - Fortuna Hjorring W,1.48,2,2
2014,ASA Aarhus W - Viborg W,1.4,2,1
2014,BSF W - Brondby W,1.02,2,2
2014,Viborg W - Vorup W,1.43,1,1
2014,Fortuna Hjorring W - Odense Q W,1.26,1,1
2014,Skovbakken W - Brondby W,1.31,2,2
2014,BSF W - Koldingq FC W,1.42,2,2
2014,Odense Q W - Brondby W,1.23,2,2
2014,Brondby W - Koldingq FC W,1.2,1,1
2014,Odense Q W - BSF W,1.43,1,1
2014,Skovbakken W - Fortuna Hjorring W,1.2,2,0
