Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Zamalek - El-Shorta,1.31,1,1
2016,Al Ahly - Haras El Hodood,1.25,1,1
2016,Zamalek - El Dabaa,1.04,1,1
2016,Al Ahly - Derot,1.11,1,1
2016,El Ismaily - El Raja,1.46,1,0
2016,Petrojet - Sohag,1.45,1,0
2016,El-Shorta - Ghazl Port Said,1.4,1,1
2016,Smouha - Gomhoreyat Shepin,1.35,1,1
2016,El Daklyeh - Fayoum,1.38,1,1
2016,El Masry - Nasr Taadeen,1.17,1,0
2016,Al Ahly - Smouha,1.5,1,1
2016,Al Ahly - Wadi Degla,1.27,1,1
2016,Al Ahly - El Daklyeh,1.33,1,1
2016,Haras El Hodood - Zamalek,1.28,2,2
2016,Zamalek - El-Olympi,1.23,1,1
2016,Misr Elmaqasah - El-Shorta,1.21,1,1
2016,El Masry - Ghazl El Mahallah,1.28,1,0
2016,El Ismaily - Alrml,1.15,1,1
2016,El Daklyeh - El Gounah,1.5,1,1
2016,El Gaish - Alasmalia,1.2,1,1
2016,Al Ahly - Hammadi,1.12,1,1
2016,Smouha - Marekh,1.36,1,1
2016,Enppi - Fayoum,1.2,1,1
2015,Smouha - Zamalek,1.39,2,0
2015,Al Ahly - Petrojet,1.25,1,1
2015,Al Ittihad - Zamalek,1.43,2,0
2015,Al Ahly - El-Shorta,1.31,1,1
2015,Zamalek - Haras El Hodood,1.38,1,1
2015,Al Ahly - El Gounah,1.22,1,1
2015,El Ismaily - El Raja,1.44,1,1
2015,Alaab Damanhour - Petrojet,1.36,2,2
2015,El Raja - Gazl,1.5,1,1
2015,Al Ahly - Tahta SC,1.09,1,1
2015,Al Nasr - Maady &amp; Yakhet,1.36,1,1
2014,Al Ahly - El Raja,1.32,1,1
2014,Al Ahly - El Minya,1.21,1,1
2012,Helwan - El-Entag El-Harby,1.3,2,2
2012,Enppi - Markaz Shabab,1.34,1,1
2010,Al Ahly - Kima Aswan,1.1,1,1
