Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Swansea U23 - Wolves U23,1.45,1,1
2016,Scunthorpe - Morecambe,1.42,1,0
2016,Swansea U23 - Wolves U23,1.45,1,1
2016,Scunthorpe - Morecambe,1.42,1,0
2016,Swansea U23 - Wolves U23,1.45,1,1
2016,Scunthorpe - Morecambe,1.42,1,0
2015,Oxford Utd - Yeovil,1.44,1,1
2015,Gillingham FC - Yeovil,1.34,1,0
2015,Wigan - Blackpool,1.49,1,1
2014,Bristol City - Gillingham FC&nbsp;,1.44,1,0
2014,Bristol City - AFC Wimbledon,1.38,1,1
2014,Bury - Tranmere,1.5,1,2
2014,Milton Keynes Dons - AFC Wimbledon,1.47,1,2
2013,Swindon - Wycombe,1.5,1,1
2013,Peterborough - Dagenham &amp; Red.,1.33,1,1
2013,Swindon - Plymouth,1.47,1,1
2013,Wolves - Notts County,1.46,1,0
2012,Coventry - Burton,1.49,1,0
2011,Sheffield Utd - Bradford,1.38,1,0
2011,Huddersfield - Bradford,1.33,1,0
2009,Leeds - Accrington,1.34,1,1
2009,Leeds - Grimsby Town,1.22,1,1
2009,Leeds - Darlington,1.25,1,1
2009,Southampton - Torquay,1.48,1,0
2008,Scunthorpe - Grimsby Town,1.44,1,1
2008,Leicester - Lincoln City,1.42,1,0
2008,Oldham - Morecambe,1.46,1,0
2007,Leeds - Bury,1.43,1,2
2007,Carlisle - Stockport,1.45,1,2
2007,Hartlepool - Morecambe,1.49,1,0
2005,Carlisle - Kidderminster,1.48,1,1
2005,Swansea - Peterborough,1.49,1,0
2005,Swansea - Rushden,1.38,1,1
2005,Bournemouth - Aldershot,1.4,1,1
2005,Gillingham FC - Crawley Town,1.46,1,0
2005,Rotherham - Accrington,1.48,1,0
2005,Carlisle - Kidderminster,1.48,1,1
2005,Swansea - Peterborough,1.49,1,0
2005,Swansea - Rushden,1.38,1,1
2005,Bournemouth - Aldershot,1.4,1,1
2005,Gillingham FC - Crawley Town,1.46,1,0
2005,Rotherham - Accrington,1.48,1,0
