Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Cholet - Mantes,1.5,1,1
2015,Lens II - Aubervilliers,1.45,1,1
2015,IC Croix - Aubervilliers,1.4,1,1
2015,Boulogne - Roye,1.45,1,1
2015,Poissy - Calais,1.45,1,0
2015,Lens II - Aubervilliers,1.45,1,1
2015,IC Croix - Aubervilliers,1.4,1,1
2015,Boulogne - Roye,1.45,1,1
2015,Poissy - Calais,1.45,1,0
2014,Sannois - Quevilly Rouen,1.4,1,1
2014,Sedan - Beauvais,1.4,1,0
2014,Quevilly Rouen - Calais,1.5,1,2
2014,Sedan - Amiens AC,1.42,1,2
2013,Lille II - JA Drancy,1.36,1,1
2013,Lens II - Villemomble,1.5,1,1
2013,Roye - Dieppe,1.25,1,2
2013,Beauvais - JA Drancy,1.5,1,1
2013,Ivry - JA Drancy,1.2,1,2
2013,Aubervilliers - JA Drancy,1.4,1,1
2013,Lille II - JA Drancy,1.36,1,1
2013,Lens II - Villemomble,1.5,1,1
2013,Roye - Dieppe,1.25,1,2
2013,Beauvais - JA Drancy,1.5,1,1
2013,Ivry - JA Drancy,1.2,1,2
2013,Aubervilliers - JA Drancy,1.4,1,1
2013,Lille II - JA Drancy,1.36,1,1
2013,Lens II - Villemomble,1.5,1,1
2013,Roye - Dieppe,1.25,1,2
2013,Beauvais - JA Drancy,1.5,1,1
2013,Ivry - JA Drancy,1.2,1,2
2013,Aubervilliers - JA Drancy,1.4,1,1
2012,Amneville - Roye,1.5,1,1
2012,Amiens AC - JA Drancy,1.47,1,2
2012,Chambly - Villemomble,1.47,1,0
2012,Dunkerque - Lille II,1.36,1,0
2012,Chambly - Compiegne,1.27,1,2
2012,Amneville - Roye,1.5,1,1
2012,Amiens AC - JA Drancy,1.47,1,2
2012,Chambly - Villemomble,1.47,1,0
2012,Dunkerque - Lille II,1.36,1,0
2012,Chambly - Compiegne,1.27,1,2
2012,Amneville - Roye,1.5,1,1
2012,Amiens AC - JA Drancy,1.47,1,2
2012,Chambly - Villemomble,1.47,1,0
2012,Dunkerque - Lille II,1.36,1,0
2012,Chambly - Compiegne,1.27,1,2
2012,Amneville - Roye,1.5,1,1
2012,Amiens AC - JA Drancy,1.47,1,2
2012,Chambly - Villemomble,1.47,1,0
2012,Dunkerque - Lille II,1.36,1,0
2012,Chambly - Compiegne,1.27,1,2
2012,Amneville - Roye,1.5,1,1
2012,Amiens AC - JA Drancy,1.47,1,2
2012,Chambly - Villemomble,1.47,1,0
2012,Dunkerque - Lille II,1.36,1,0
2012,Chambly - Compiegne,1.27,1,2
2012,Amneville - Roye,1.5,1,1
2012,Amiens AC - JA Drancy,1.47,1,2
2012,Chambly - Villemomble,1.47,1,0
2012,Dunkerque - Lille II,1.36,1,0
2012,Chambly - Compiegne,1.27,1,2
