Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2016,Wolfsburg - Braunschweig&nbsp;,1.49,1,1
2016,B. Monchengladbach - Darmstadt,1.23,1,0
2016,Bayern Munich - SC Freiburg,1.15,1,1
2016,Dortmund - SV Werder Bremen,1.18,1,1
2016,Hoffenheim - FC Augsburg,1.44,1,0
2016,FC Koln - 1. FSV Mainz 05,1.49,1,1
2016,FC Augsburg - Dortmund,1.38,2,0
2016,Bayern Munich - Darmstadt,1.07,1,1
2016,Dortmund - Hoffenheim,1.5,1,1
2016,Hoffenheim - Eintracht Frankfurt,1.49,1,1
2016,Wolfsburg - Bayern Munich,1.4,2,2
2016,Dortmund - FC Koln,1.29,1,0
2016,Bayern Munich - 1. FSV Mainz 05,1.18,1,0
2016,Hamburger SV - Darmstadt,1.34,1,2
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2015,Bayern Munich - Hannover,1.1,1,1
2015,Dortmund - FC Koln,1.26,1,0
2015,Eintracht Frankfurt - Dortmund,1.47,2,1
2015,Ingolstadt - Bayern Munich,1.24,2,2
2015,Dortmund - Wolfsburg,1.37,1,1
2015,Hertha Berlin - Bayern Munich,1.38,2,2
2015,Dortmund - Hamburger SV,1.46,1,1
2015,Bayern Munich - Schalke,1.22,1,1
2015,Bayer Leverkusen - Eintracht Frankfurt,1.5,1,1
2014,B. Monchengladbach - FC Augsburg,1.46,1,2
2014,Bayern Munich - 1. FSV Mainz 05,1.17,1,1
2014,Dortmund - SV Werder Bremen,1.26,1,1
2014,Bayer Leverkusen - Hoffenheim,1.4,1,1
