Season,Participants,Best Odd,Your Bet,Winning Bet
2015,Atletico de Kolkata - Mumbai City,1.18,1,2
2015,Delhi Dynamos - Kerala Blasters,1.43,1,0
2015,Chennaiyin - Mumbai City,1.37,1,1
2015,Atletico de Kolkata - Mumbai City,1.18,1,2
2015,Delhi Dynamos - Kerala Blasters,1.43,1,0
2015,Chennaiyin - Mumbai City,1.37,1,1
2014,Atletico de Kolkata - Pune City,1.5,1,2
2014,Delhi Dynamos - North East Utd,1.5,1,0
2014,Chennaiyin - Mumbai City,1.42,1,1
2014,Atletico de Kolkata - Pune City,1.5,1,2
2014,Delhi Dynamos - North East Utd,1.5,1,0
2014,Chennaiyin - Mumbai City,1.42,1,1
