Season,Participants,Best Odd,Your Bet,Winning Bet
2016,H. Beer Sheva - Sakhnin,1.5,1,1
2016,H. Beer Sheva - Maccabi Petah Tikva,1.33,1,0
2016,Sakhnin - Maccabi Tel Aviv,1.5,2,2
2016,Sakhnin - H. Beer Sheva,1.39,2,2
2016,H. Beer Sheva - Beitar Jerusalem,1.41,1,1
2016,Maccabi Tel Aviv - Maccabi Petah Tikva,1.41,1,1
2016,H. Beer Sheva - Sakhnin,1.5,1,1
2016,H. Beer Sheva - Maccabi Petah Tikva,1.33,1,0
2016,Sakhnin - Maccabi Tel Aviv,1.5,2,2
2016,Sakhnin - H. Beer Sheva,1.39,2,2
2016,H. Beer Sheva - Beitar Jerusalem,1.41,1,1
2016,Maccabi Tel Aviv - Maccabi Petah Tikva,1.41,1,1
2016,H. Beer Sheva - Sakhnin,1.5,1,1
2016,H. Beer Sheva - Maccabi Petah Tikva,1.33,1,0
2016,Sakhnin - Maccabi Tel Aviv,1.5,2,2
2016,Sakhnin - H. Beer Sheva,1.39,2,2
2016,H. Beer Sheva - Beitar Jerusalem,1.41,1,1
2016,Maccabi Tel Aviv - Maccabi Petah Tikva,1.41,1,1
2016,H. Beer Sheva - Sakhnin,1.5,1,1
2016,H. Beer Sheva - Maccabi Petah Tikva,1.33,1,0
2016,Sakhnin - Maccabi Tel Aviv,1.5,2,2
2016,Sakhnin - H. Beer Sheva,1.39,2,2
2016,H. Beer Sheva - Beitar Jerusalem,1.41,1,1
2016,Maccabi Tel Aviv - Maccabi Petah Tikva,1.41,1,1
2016,H. Beer Sheva - Sakhnin,1.5,1,1
2016,H. Beer Sheva - Maccabi Petah Tikva,1.33,1,0
2016,Sakhnin - Maccabi Tel Aviv,1.5,2,2
2016,Sakhnin - H. Beer Sheva,1.39,2,2
2016,H. Beer Sheva - Beitar Jerusalem,1.41,1,1
2016,Maccabi Tel Aviv - Maccabi Petah Tikva,1.41,1,1
2015,H. Beer Sheva - Sakhnin,1.17,1,1
2015,Maccabi Tel Aviv - Maccabi Haifa,1.23,1,1
2015,H. Beer Sheva - Beitar Jerusalem,1.31,1,1
2015,H. Raanana - Maccabi Tel Aviv,1.21,2,0
2015,Maccabi Petah Tikva - Netanya,1.45,1,1
2015,H. Raanana - H. Beer Sheva,1.42,2,2
2015,Maccabi Haifa - Maccabi Tel Aviv,1.47,2,0
2015,Hapoel Haifa - Netanya,1.38,1,1
2015,Maccabi Tel Aviv - Beitar Jerusalem,1.4,1,1
2015,Netanya - Hapoel Tel Aviv,1.41,2,2
2015,H. Beer Sheva - Maccabi Haifa,1.43,1,0
2015,Maccabi Tel Aviv - H. Raanana,1.3,1,1
2015,Shmona - Netanya,1.4,1,1
2015,H. Beer Sheva - Sakhnin,1.17,1,1
2015,Maccabi Tel Aviv - Maccabi Haifa,1.23,1,1
2015,H. Beer Sheva - Beitar Jerusalem,1.31,1,1
2015,H. Raanana - Maccabi Tel Aviv,1.21,2,0
2015,Maccabi Petah Tikva - Netanya,1.45,1,1
2015,H. Raanana - H. Beer Sheva,1.42,2,2
2015,Maccabi Haifa - Maccabi Tel Aviv,1.47,2,0
2015,Hapoel Haifa - Netanya,1.38,1,1
2015,Maccabi Tel Aviv - Beitar Jerusalem,1.4,1,1
2015,Netanya - Hapoel Tel Aviv,1.41,2,2
2015,H. Beer Sheva - Maccabi Haifa,1.43,1,0
2015,Maccabi Tel Aviv - H. Raanana,1.3,1,1
2015,Shmona - Netanya,1.4,1,1
2015,H. Beer Sheva - Sakhnin,1.17,1,1
2015,Maccabi Tel Aviv - Maccabi Haifa,1.23,1,1
2015,H. Beer Sheva - Beitar Jerusalem,1.31,1,1
