Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Kauno Zalgiris - Trakai,1.37,2,2
2017,Suduva - Stumbras,1.46,1,1
2017,Atlantas - Kauno Zalgiris,1.45,1,0
2017,Zalgiris - Utenis,1.21,1,1
2017,Kauno Zalgiris - Zalgiris,1.16,2,0
2017,Zalgiris - Stumbras,1.18,1,1
2017,Trakai - Utenis,1.4,1,1
2017,Jonava - Zalgiris,1.19,2,2
2017,Suduva - Jonava,1.33,1,0
2017,Zalgiris - Atlantas,1.4,1,1
2017,Atlantas - Utenis,1.29,1,0
2017,Kauno Zalgiris - Zalgiris,1.1,2,1
2017,Trakai - Kauno Zalgiris,1.17,1,1
2017,Atlantas - Jonava,1.23,1,2
2017,Zalgiris - Trakai,1.42,1,0
2017,Kauno Zalgiris - Suduva,1.29,2,2
2017,Suduva - Utenis,1.26,1,1
2017,Jonava - Zalgiris,1.16,2,2
2017,Zalgiris - Stumbras,1.12,1,1
2017,Zalgiris - Atlantas,1.34,1,1
2017,Kauno Zalgiris - Trakai,1.37,2,2
2017,Suduva - Stumbras,1.46,1,1
2017,Atlantas - Kauno Zalgiris,1.45,1,0
2017,Zalgiris - Utenis,1.21,1,1
2017,Kauno Zalgiris - Zalgiris,1.16,2,0
2017,Zalgiris - Stumbras,1.18,1,1
2017,Trakai - Utenis,1.4,1,1
2017,Jonava - Zalgiris,1.19,2,2
2017,Suduva - Jonava,1.33,1,0
2017,Zalgiris - Atlantas,1.4,1,1
2017,Atlantas - Utenis,1.29,1,0
2017,Kauno Zalgiris - Zalgiris,1.1,2,1
2017,Trakai - Kauno Zalgiris,1.17,1,1
2017,Atlantas - Jonava,1.23,1,2
2017,Zalgiris - Trakai,1.42,1,0
2017,Kauno Zalgiris - Suduva,1.29,2,2
2017,Suduva - Utenis,1.26,1,1
2017,Jonava - Zalgiris,1.16,2,2
2017,Zalgiris - Stumbras,1.12,1,1
2017,Zalgiris - Atlantas,1.34,1,1
2016,Jonava - Suduva,1.43,2,1
2016,Trakai - Jonava,1.17,1,1
2016,Zalgiris - Stumbras,1.15,1,0
2016,Atlantas - Jonava,1.23,1,1
2016,Trakai - Stumbras,1.27,1,0
2016,Utenis - Palanga&nbsp;,1.5,1,2
2016,Zalgiris - Atlantas,1.5,1,1
2016,Suduva - Stumbras,1.38,1,1
2016,Jonava - Zalgiris,1.15,2,2
2016,Kauno Zalgiris - Zalgiris,1.4,2,2
2016,Trakai - Jonava,1.19,1,2
2016,Suduva - Kauno Zalgiris,1.29,1,1
2016,Kauno Zalgiris - Atlantas,1.4,2,0
2016,Suduva - Stumbras,1.36,1,1
2016,Jonava - Zalgiris,1.23,2,2
2016,Utenis - Trakai,1.38,2,2
2016,Zalgiris - Utenis,1.07,1,1
2016,Atlantas - Jonava,1.22,1,0
2016,Utenis - Atlantas,1.23,2,0
2016,Stumbras - Trakai,1.36,2,2
2016,Suduva - Zalgiris,1.5,2,0
2016,Zalgiris - Suduva,1.35,1,1
2016,Trakai - Kauno Zalgiris,1.3,1,1
2016,Zalgiris - Stumbras,1.12,1,1
2016,Suduva - Jonava,1.26,1,0
2016,Zalgiris - Kauno Zalgiris,1.07,1,1
2016,Suduva - Utenis,1.25,1,1
2016,Jonava - Suduva,1.43,2,1
2016,Trakai - Jonava,1.17,1,1
2016,Zalgiris - Stumbras,1.15,1,0
2016,Atlantas - Jonava,1.23,1,1
2016,Trakai - Stumbras,1.27,1,0
2016,Utenis - Palanga&nbsp;,1.5,1,2
2016,Zalgiris - Atlantas,1.5,1,1
2016,Suduva - Stumbras,1.38,1,1
2016,Jonava - Zalgiris,1.15,2,2
2016,Kauno Zalgiris - Zalgiris,1.4,2,2
2016,Trakai - Jonava,1.19,1,2
2016,Suduva - Kauno Zalgiris,1.29,1,1
2016,Kauno Zalgiris - Atlantas,1.4,2,0
2016,Suduva - Stumbras,1.36,1,1
2016,Jonava - Zalgiris,1.23,2,2
2016,Utenis - Trakai,1.38,2,2
2016,Zalgiris - Utenis,1.07,1,1
2016,Atlantas - Jonava,1.22,1,0
2016,Utenis - Atlantas,1.23,2,0
2016,Stumbras - Trakai,1.36,2,2
2016,Suduva - Zalgiris,1.5,2,0
2016,Zalgiris - Suduva,1.35,1,1
2016,Trakai - Kauno Zalgiris,1.3,1,1
2016,Zalgiris - Stumbras,1.12,1,1
2016,Suduva - Jonava,1.26,1,0
2016,Zalgiris - Kauno Zalgiris,1.07,1,1
2016,Suduva - Utenis,1.25,1,1
2016,Jonava - Suduva,1.43,2,1
2016,Trakai - Jonava,1.17,1,1
2016,Zalgiris - Stumbras,1.15,1,0
2016,Atlantas - Jonava,1.23,1,1
2016,Trakai - Stumbras,1.27,1,0
