Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Fola - Victoria Rosport,1.15,1,1
2016,Grevenmacher - Differdange,1.1,2,2
2016,Hostert - Fola,1.14,2,2
2016,Wiltz - Dudelange,1.12,2,2
2016,Lorentzweiler - Racing Luxembourg,1.09,2,2
2015,Dudelange - Mondorf,1.26,1,1
2015,Dudelange - Petange,1.05,1,0
2015,Fola - UNA Strassen,1.36,1,1
2015,Esch - Petange,1.4,2,2
2015,UNA Strassen - Ettelbruck,1.46,1,1
2015,Kaerjeng - Differdange,1.08,2,1
2014,Dudelange - Ettelbruck,1.17,1,1
2014,Differdange - Jeunesse Canach,1.12,1,1
2013,Differdange - Racing Luxembourg,1.45,1,1
2012,Differdange - Bissen,1.23,1,1
