Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Wydad - FUS Rabat,1.33,1,2
2016,FUS Rabat - Moghreb Tetouan,1.37,1,0
2016,Difaa El Jadidi - Kasba Tadla,1.46,1,1
2016,Moghreb Tetouan - Olympique de Safi,1.4,1,1
2016,Raja Casablanca - Hoceima,1.27,1,1
2016,FAR Rabat - KAC Kenitra,1.5,1,1
2016,Raja Casablanca - Moghreb Tetouan,1.38,1,1
2016,Wydad - FUS Rabat,1.33,1,2
2016,FUS Rabat - Moghreb Tetouan,1.37,1,0
2016,Difaa El Jadidi - Kasba Tadla,1.46,1,1
2016,Moghreb Tetouan - Olympique de Safi,1.4,1,1
2016,Raja Casablanca - Hoceima,1.27,1,1
2016,FAR Rabat - KAC Kenitra,1.5,1,1
2016,Raja Casablanca - Moghreb Tetouan,1.38,1,1
2016,Wydad - FUS Rabat,1.33,1,2
2016,FUS Rabat - Moghreb Tetouan,1.37,1,0
2016,Difaa El Jadidi - Kasba Tadla,1.46,1,1
2016,Moghreb Tetouan - Olympique de Safi,1.4,1,1
2016,Raja Casablanca - Hoceima,1.27,1,1
2016,FAR Rabat - KAC Kenitra,1.5,1,1
2016,Raja Casablanca - Moghreb Tetouan,1.38,1,1
2016,Wydad - FUS Rabat,1.33,1,2
2016,FUS Rabat - Moghreb Tetouan,1.37,1,0
2016,Difaa El Jadidi - Kasba Tadla,1.46,1,1
2016,Moghreb Tetouan - Olympique de Safi,1.4,1,1
2016,Raja Casablanca - Hoceima,1.27,1,1
2016,FAR Rabat - KAC Kenitra,1.5,1,1
2016,Raja Casablanca - Moghreb Tetouan,1.38,1,1
2016,Wydad - FUS Rabat,1.33,1,2
2016,FUS Rabat - Moghreb Tetouan,1.37,1,0
2016,Difaa El Jadidi - Kasba Tadla,1.46,1,1
2016,Moghreb Tetouan - Olympique de Safi,1.4,1,1
2016,Raja Casablanca - Hoceima,1.27,1,1
2016,FAR Rabat - KAC Kenitra,1.5,1,1
2016,Raja Casablanca - Moghreb Tetouan,1.38,1,1
2015,FUS Rabat - Mouloudia Oujda,1.43,1,1
2015,Wydad - Moghreb Tetouan,1.44,1,1
2015,Olympique Khouribga - KAC Kenitra,1.43,1,1
2015,FUS Rabat - KAC Kenitra,1.34,1,1
2015,FUS Rabat - Mouloudia Oujda,1.43,1,1
2015,Wydad - Moghreb Tetouan,1.44,1,1
2015,Olympique Khouribga - KAC Kenitra,1.43,1,1
2015,FUS Rabat - KAC Kenitra,1.34,1,1
2015,FUS Rabat - Mouloudia Oujda,1.43,1,1
2015,Wydad - Moghreb Tetouan,1.44,1,1
2015,Olympique Khouribga - KAC Kenitra,1.43,1,1
2015,FUS Rabat - KAC Kenitra,1.34,1,1
2015,FUS Rabat - Mouloudia Oujda,1.43,1,1
2015,Wydad - Moghreb Tetouan,1.44,1,1
2015,Olympique Khouribga - KAC Kenitra,1.43,1,1
2015,FUS Rabat - KAC Kenitra,1.34,1,1
2015,FUS Rabat - Mouloudia Oujda,1.43,1,1
2015,Wydad - Moghreb Tetouan,1.44,1,1
2015,Olympique Khouribga - KAC Kenitra,1.43,1,1
2015,FUS Rabat - KAC Kenitra,1.34,1,1
2014,Kawkab Marrakech - Olympique de Safi,1.44,1,0
2014,Wydad - Olympique de Safi,1.37,1,1
2014,Kawkab Marrakech - Olympique de Safi,1.44,1,0
2014,Wydad - Olympique de Safi,1.37,1,1
2014,Kawkab Marrakech - Olympique de Safi,1.44,1,0
2014,Wydad - Olympique de Safi,1.37,1,1
2014,Kawkab Marrakech - Olympique de Safi,1.44,1,0
2014,Wydad - Olympique de Safi,1.37,1,1
2014,Kawkab Marrakech - Olympique de Safi,1.44,1,0
2014,Wydad - Olympique de Safi,1.37,1,1
2013,Kawkab Marrakech - Wydad Fes,1.41,1,0
2013,Moghreb Tetouan - Berkane,1.48,1,1
2013,Olympique Khouribga - KAC Kenitra,1.43,1,1
2013,Kawkab Marrakech - Hoceima,1.49,1,2
2013,Wydad - Wydad Fes,1.5,1,0
2013,Wydad - Hoceima,1.45,1,1
2013,Kawkab Marrakech - Wydad Fes,1.41,1,0
2013,Moghreb Tetouan - Berkane,1.48,1,1
2013,Olympique Khouribga - KAC Kenitra,1.43,1,1
2013,Kawkab Marrakech - Hoceima,1.49,1,2
2013,Wydad - Wydad Fes,1.5,1,0
2013,Wydad - Hoceima,1.45,1,1
2013,Kawkab Marrakech - Wydad Fes,1.41,1,0
2013,Moghreb Tetouan - Berkane,1.48,1,1
2013,Olympique Khouribga - KAC Kenitra,1.43,1,1
2013,Kawkab Marrakech - Hoceima,1.49,1,2
2013,Wydad - Wydad Fes,1.5,1,0
2013,Wydad - Hoceima,1.45,1,1
2013,Kawkab Marrakech - Wydad Fes,1.41,1,0
