Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Team Wellington - Waitakere United,1.47,1,0
2016,Hawke's Bay - Hamilton,1.19,1,1
2016,Team Wellington - Tasman United,1.18,1,1
2016,Auckland City - Eastern Suburbs,1.35,1,1
2016,Wellington Phoenix Res 2 - Waitakere United,1.48,2,2
2016,Hawke's Bay - Southern United,1.27,1,1
2016,Auckland City - Southern United,1.11,1,1
2016,Auckland City - Hamilton,1.13,1,1
2016,Southern United - Team Wellington,1.34,2,2
2016,Hamilton - Auckland City,1.32,2,2
2016,Auckland City - Wellington Phoenix Res 2,1.35,1,1
2016,Waitakere United - Tasman United,1.3,1,0
2016,Hamilton - Team Wellington,1.48,2,2
2016,Hawke's Bay - Tasman United,1.3,1,1
2016,Canterbury - Southern United,1.42,1,2
2016,Tasman United - Auckland City,1.17,2,0
2016,Waitakere United - Hamilton,1.38,1,1
2016,Team Wellington - Waitakere United,1.47,1,0
2016,Hawke's Bay - Hamilton,1.19,1,1
2016,Team Wellington - Tasman United,1.18,1,1
2016,Auckland City - Eastern Suburbs,1.35,1,1
2016,Wellington Phoenix Res 2 - Waitakere United,1.48,2,2
2016,Hawke's Bay - Southern United,1.27,1,1
2016,Auckland City - Southern United,1.11,1,1
2016,Auckland City - Hamilton,1.13,1,1
2016,Southern United - Team Wellington,1.34,2,2
2016,Hamilton - Auckland City,1.32,2,2
2016,Auckland City - Wellington Phoenix Res 2,1.35,1,1
2016,Waitakere United - Tasman United,1.3,1,0
2016,Hamilton - Team Wellington,1.48,2,2
2016,Hawke's Bay - Tasman United,1.3,1,1
2016,Canterbury - Southern United,1.42,1,2
2016,Tasman United - Auckland City,1.17,2,0
2016,Waitakere United - Hamilton,1.38,1,1
2015,Auckland City - Team Wellington,1.44,1,0
2015,Auckland City - Canterbury,1.23,1,1
2015,Auckland City - WaiBOP,1.2,1,1
2015,Canterbury - Southern United,1.15,1,1
2015,Wellington Phoenix Res 2 - Team Wellington,1.4,2,2
2015,Canterbury - Auckland City,1.39,2,2
2015,Southern United - Auckland City,1.05,2,2
2015,Southern United - Team Wellington,1.2,2,2
2015,Auckland City - Waitakere United,1.17,1,1
2015,Waitakere United - Southern United,1.33,1,1
2015,Auckland City - Team Wellington,1.39,1,1
2015,Auckland City - Wellington Phoenix Res 2,1.14,1,1
2015,Southern United - Hawke's Bay,1.29,2,2
2015,WaiBOP - Southern United,1.36,1,1
2015,Auckland City - Southern United,1.04,1,1
2015,WaiBOP - Auckland City,1.34,2,2
2015,Team Wellington - Wellington Phoenix Res 2,1.46,1,1
2015,Team Wellington - Southern United,1.32,1,1
2015,Auckland City - Canterbury,1.28,1,1
2015,Auckland City - Team Wellington,1.44,1,0
2015,Auckland City - Canterbury,1.23,1,1
2015,Auckland City - WaiBOP,1.2,1,1
2015,Canterbury - Southern United,1.15,1,1
2015,Wellington Phoenix Res 2 - Team Wellington,1.4,2,2
2015,Canterbury - Auckland City,1.39,2,2
2015,Southern United - Auckland City,1.05,2,2
2015,Southern United - Team Wellington,1.2,2,2
2015,Auckland City - Waitakere United,1.17,1,1
2015,Waitakere United - Southern United,1.33,1,1
2015,Auckland City - Team Wellington,1.39,1,1
2015,Auckland City - Wellington Phoenix Res 2,1.14,1,1
2015,Southern United - Hawke's Bay,1.29,2,2
2015,WaiBOP - Southern United,1.36,1,1
2015,Auckland City - Southern United,1.04,1,1
2015,WaiBOP - Auckland City,1.34,2,2
2015,Team Wellington - Wellington Phoenix Res 2,1.46,1,1
2015,Team Wellington - Southern United,1.32,1,1
2015,Auckland City - Canterbury,1.28,1,1
2014,Auckland City - Hawke's Bay,1.29,1,1
2014,Auckland City - Waitakere United&nbsp;,1.44,1,1
2014,Hawke's Bay - Canterbury,1.41,1,1
2014,WaiBOP - Southern United,1.46,1,1
2014,Auckland City - Waitakere United,1.35,1,1
2014,Team Wellington - Wanderers,1.27,1,0
2014,Southern United - Hawke's Bay,1.43,2,2
2014,Auckland City - Canterbury,1.25,1,1
2014,Southern United - Team Wellington,1.25,2,2
2014,Waitakere United - WaiBOP,1.44,1,1
2014,WaiBOP - Auckland City,1.31,2,2
2014,Team Wellington - Canterbury,1.5,1,1
2014,Auckland City - Southern United,1.14,1,1
2014,WaiBOP - Team Wellington,1.34,2,1
2014,Team Wellington - Hawke's Bay,1.36,1,1
2014,Auckland City - WaiBOP,1.28,1,1
2014,Wanderers - Waitakere United,1.45,2,1
2014,Wanderers - Auckland City,1.14,2,2
2014,Team Wellington - Waitakere United,1.47,1,2
2014,Auckland City - Wellington Phoenix Res 2,1.33,1,2
2014,Auckland City - Hawke's Bay,1.29,1,1
2014,Auckland City - Waitakere United&nbsp;,1.44,1,1
2014,Hawke's Bay - Canterbury,1.41,1,1
2014,WaiBOP - Southern United,1.46,1,1
2014,Auckland City - Waitakere United,1.35,1,1
2014,Team Wellington - Wanderers,1.27,1,0
2014,Southern United - Hawke's Bay,1.43,2,2
2014,Auckland City - Canterbury,1.25,1,1
2014,Southern United - Team Wellington,1.25,2,2
2014,Waitakere United - WaiBOP,1.44,1,1
2014,WaiBOP - Auckland City,1.31,2,2
2014,Team Wellington - Canterbury,1.5,1,1
2014,Auckland City - Southern United,1.14,1,1
2014,WaiBOP - Team Wellington,1.34,2,1
2014,Team Wellington - Hawke's Bay,1.36,1,1
2014,Auckland City - WaiBOP,1.28,1,1
2014,Wanderers - Waitakere United,1.45,2,1
2014,Wanderers - Auckland City,1.14,2,2
2014,Team Wellington - Waitakere United,1.47,1,2
2014,Auckland City - Wellington Phoenix Res 2,1.33,1,2
2013,Auckland City - Team Wellington,1.32,1,1
2013,Auckland City - Waitakere United&nbsp;,1.45,1,1
2013,Wanderers - Team Wellington,1.36,2,2
2013,Southern United - Auckland City,1.07,2,2
2013,WaiBOP - Waitakere United,1.43,2,0
2013,Auckland City - Wanderers,1.06,1,1
2013,Auckland City - Southern United,1.09,1,1
2013,Hawke's Bay - Wanderers,1.14,1,1
