Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Valerenga - Elverum,1.23,1,1
2017,Jerv - Rosenborg,1.49,2,2
2017,K. Oslo - Molde,1.26,2,2
2017,Flekkeroy - Odd,1.23,2,2
2017,Egersunds - Haugesund,1.38,2,0
2017,Floya - Tromso,1.12,2,2
2017,Kjelsas - Aalesund,1.24,2,2
2017,Levanger - Rosenborg,1.28,2,2
2017,Nest-Sotra - Brann,1.31,2,2
2017,Notodden - Stabaek,1.4,2,0
2017,Orn - Valerenga,1.21,2,0
2017,Bodo/Glimt - Elverum,1.32,1,0
2017,Asker - Stabaek,1.29,2,2
2017,Egersunds - Viking,1.34,2,1
2017,Tynset - Rosenborg,1.02,2,2
2017,Asane - Fyllingsdalen,1.16,1,1
2017,Byasen - Aalesund,1.21,2,2
2017,Flekkeroy - Start,1.29,2,1
2017,Floro - Fana,1.24,1,1
2017,Floya - Tromsdalen,1.28,2,0
2017,Krakeroy - Valerenga,1.11,2,0
2017,Lysekloster - Brann,1.13,2,2
2017,Mjondalen - Halden,1.25,1,1
2017,Mosjoen - Levanger,1.14,2,2
2017,Moss - Sarpsborg 08,1.25,2,2
2017,Orn - Sandefjord,1.18,2,1
2017,Pors Grenland - Odd,1.15,2,2
2017,Skeid - Stromsgodset,1.43,2,0
2017,Strommen - Kjelsas,1.27,1,2
2017,V. Haugesund - Haugesund,1.25,2,2
2017,Verdal - Kristiansund,1.15,2,2
2017,Valerenga - Elverum,1.23,1,1
2017,Jerv - Rosenborg,1.49,2,2
2017,K. Oslo - Molde,1.26,2,2
2017,Flekkeroy - Odd,1.23,2,2
2017,Egersunds - Haugesund,1.38,2,0
2017,Floya - Tromso,1.12,2,2
2017,Kjelsas - Aalesund,1.24,2,2
2017,Levanger - Rosenborg,1.28,2,2
2017,Nest-Sotra - Brann,1.31,2,2
2017,Notodden - Stabaek,1.4,2,0
2017,Orn - Valerenga,1.21,2,0
2017,Bodo/Glimt - Elverum,1.32,1,0
2017,Asker - Stabaek,1.29,2,2
2017,Egersunds - Viking,1.34,2,1
2017,Tynset - Rosenborg,1.02,2,2
2017,Asane - Fyllingsdalen,1.16,1,1
2017,Byasen - Aalesund,1.21,2,2
2017,Flekkeroy - Start,1.29,2,1
2017,Floro - Fana,1.24,1,1
2017,Floya - Tromsdalen,1.28,2,0
2017,Krakeroy - Valerenga,1.11,2,0
2017,Lysekloster - Brann,1.13,2,2
2017,Mjondalen - Halden,1.25,1,1
2017,Mosjoen - Levanger,1.14,2,2
2017,Moss - Sarpsborg 08,1.25,2,2
2017,Orn - Sandefjord,1.18,2,1
2017,Pors Grenland - Odd,1.15,2,2
2017,Skeid - Stromsgodset,1.43,2,0
2017,Strommen - Kjelsas,1.27,1,2
2017,V. Haugesund - Haugesund,1.25,2,2
2017,Verdal - Kristiansund,1.15,2,2
2017,Valerenga - Elverum,1.23,1,1
2017,Jerv - Rosenborg,1.49,2,2
2017,K. Oslo - Molde,1.26,2,2
2017,Flekkeroy - Odd,1.23,2,2
2017,Egersunds - Haugesund,1.38,2,0
2017,Floya - Tromso,1.12,2,2
2017,Kjelsas - Aalesund,1.24,2,2
2017,Levanger - Rosenborg,1.28,2,2
2017,Nest-Sotra - Brann,1.31,2,2
2017,Notodden - Stabaek,1.4,2,0
2017,Orn - Valerenga,1.21,2,0
2017,Bodo/Glimt - Elverum,1.32,1,0
2017,Asker - Stabaek,1.29,2,2
2017,Egersunds - Viking,1.34,2,1
2017,Tynset - Rosenborg,1.02,2,2
2017,Asane - Fyllingsdalen,1.16,1,1
2017,Byasen - Aalesund,1.21,2,2
2017,Flekkeroy - Start,1.29,2,1
2017,Floro - Fana,1.24,1,1
2017,Floya - Tromsdalen,1.28,2,0
2017,Krakeroy - Valerenga,1.11,2,0
2017,Lysekloster - Brann,1.13,2,2
2017,Mjondalen - Halden,1.25,1,1
2017,Mosjoen - Levanger,1.14,2,2
2017,Moss - Sarpsborg 08,1.25,2,2
2017,Orn - Sandefjord,1.18,2,1
2017,Pors Grenland - Odd,1.15,2,2
2017,Skeid - Stromsgodset,1.43,2,0
2017,Strommen - Kjelsas,1.27,1,2
2017,V. Haugesund - Haugesund,1.25,2,2
2017,Verdal - Kristiansund,1.15,2,2
2016,Kongsvinger - Rosenborg,1.2,2,2
2016,Stromsgodset - Kongsvinger,1.37,1,2
2016,Rosenborg - Bodo/Glimt,1.18,1,1
2016,Rosenborg - Nest-Sotra,1.09,1,1
2016,Kongsvinger - Brattvag,1.37,1,1
2016,Sarpsborg 08 - Stjordals Blink,1.14,1,1
2016,Stromsgodset - Stabaek,1.39,1,1
2016,Valerenga - Vidar,1.16,1,1
2016,Alta - Bodo/Glimt,1.42,2,2
2016,Asker - Odd,1.2,2,2
2016,Baerum Sportsklubb - Stabaek,1.49,2,2
2016,Nardo - Rosenborg,1.12,2,2
2016,Stjordals Blink - Molde,1.21,2,1
2016,Vidar - Viking,1.27,2,1
2016,Vindbjart - Stromsgodset,1.35,2,2
2016,Brattvag - Aalesund,1.34,2,0
2016,Forde - Sogndal,1.32,2,2
2016,Halden - Sarpsborg 08,1.34,2,2
2016,Sparta Sarpsborg - Stabaek,1.12,2,2
2016,Tromsdalen - Senja,1.21,1,1
2016,Varegg - Haugesund,1.15,2,2
2016,Asker - Mjondalen,1.45,2,0
2016,Egersunds - Sandnes,1.45,2,2
2016,Honefoss - Valerenga,1.25,2,2
2016,Kjelsas - Sandefjord,1.38,2,2
2016,Lillehammer - Lillestrom,1.11,2,2
2016,Tonsberg - Odd,1.1,2,2
2016,Vindbjart - Jerv,1.5,2,1
2016,Kongsvinger - Rosenborg,1.2,2,2
2016,Stromsgodset - Kongsvinger,1.37,1,2
2016,Rosenborg - Bodo/Glimt,1.18,1,1
2016,Rosenborg - Nest-Sotra,1.09,1,1
2016,Kongsvinger - Brattvag,1.37,1,1
2016,Sarpsborg 08 - Stjordals Blink,1.14,1,1
2016,Stromsgodset - Stabaek,1.39,1,1
2016,Valerenga - Vidar,1.16,1,1
2016,Alta - Bodo/Glimt,1.42,2,2
2016,Asker - Odd,1.2,2,2
2016,Baerum Sportsklubb - Stabaek,1.49,2,2
2016,Nardo - Rosenborg,1.12,2,2
2016,Stjordals Blink - Molde,1.21,2,1
2016,Vidar - Viking,1.27,2,1
2016,Vindbjart - Stromsgodset,1.35,2,2
2016,Brattvag - Aalesund,1.34,2,0
2016,Forde - Sogndal,1.32,2,2
2016,Halden - Sarpsborg 08,1.34,2,2
2016,Sparta Sarpsborg - Stabaek,1.12,2,2
2016,Tromsdalen - Senja,1.21,1,1
2016,Varegg - Haugesund,1.15,2,2
2016,Asker - Mjondalen,1.45,2,0
2016,Egersunds - Sandnes,1.45,2,2
2016,Honefoss - Valerenga,1.25,2,2
2016,Kjelsas - Sandefjord,1.38,2,2
2016,Lillehammer - Lillestrom,1.11,2,2
2016,Tonsberg - Odd,1.1,2,2
2016,Vindbjart - Jerv,1.5,2,1
2016,Kongsvinger - Rosenborg,1.2,2,2
2016,Stromsgodset - Kongsvinger,1.37,1,2
