Season,Participants,Best Odd,Your Bet,Winning Bet
2013,Kluczbork - Ruch Zdzieszowice,1.47,1,1
2013,Rakow - Drutex-Bytovia,1.39,1,0
2013,Drutex-Bytovia - Zielona Gora,1.36,1,0
2013,Zaglebie Sosnowiec - Zielona Gora,1.33,1,2
2013,Chrobry Glogow - Calisia Kalisz,1.34,1,0
2013,Polonia Bytom - Jarocin,1.45,1,1
2013,Chrobry Glogow - Jarocin,1.36,1,0
2013,Kluczbork - Ruch Zdzieszowice,1.47,1,1
2013,Rakow - Drutex-Bytovia,1.39,1,0
2013,Drutex-Bytovia - Zielona Gora,1.36,1,0
2013,Zaglebie Sosnowiec - Zielona Gora,1.33,1,2
2013,Chrobry Glogow - Calisia Kalisz,1.34,1,0
2013,Polonia Bytom - Jarocin,1.45,1,1
2013,Chrobry Glogow - Jarocin,1.36,1,0
2013,Kluczbork - Ruch Zdzieszowice,1.47,1,1
2013,Rakow - Drutex-Bytovia,1.39,1,0
2013,Drutex-Bytovia - Zielona Gora,1.36,1,0
2013,Zaglebie Sosnowiec - Zielona Gora,1.33,1,2
2013,Chrobry Glogow - Calisia Kalisz,1.34,1,0
2013,Polonia Bytom - Jarocin,1.45,1,1
2013,Chrobry Glogow - Jarocin,1.36,1,0
2013,Kluczbork - Ruch Zdzieszowice,1.47,1,1
2013,Rakow - Drutex-Bytovia,1.39,1,0
2013,Drutex-Bytovia - Zielona Gora,1.36,1,0
2013,Zaglebie Sosnowiec - Zielona Gora,1.33,1,2
2013,Chrobry Glogow - Calisia Kalisz,1.34,1,0
2013,Polonia Bytom - Jarocin,1.45,1,1
2013,Chrobry Glogow - Jarocin,1.36,1,0
2013,Kluczbork - Ruch Zdzieszowice,1.47,1,1
2013,Rakow - Drutex-Bytovia,1.39,1,0
2013,Drutex-Bytovia - Zielona Gora,1.36,1,0
2013,Zaglebie Sosnowiec - Zielona Gora,1.33,1,2
2013,Chrobry Glogow - Calisia Kalisz,1.34,1,0
2013,Polonia Bytom - Jarocin,1.45,1,1
2013,Chrobry Glogow - Jarocin,1.36,1,0
2013,Kluczbork - Ruch Zdzieszowice,1.47,1,1
2013,Rakow - Drutex-Bytovia,1.39,1,0
2013,Drutex-Bytovia - Zielona Gora,1.36,1,0
2013,Zaglebie Sosnowiec - Zielona Gora,1.33,1,2
2013,Chrobry Glogow - Calisia Kalisz,1.34,1,0
2013,Polonia Bytom - Jarocin,1.45,1,1
2013,Chrobry Glogow - Jarocin,1.36,1,0
2012,Rozwoj Katowice - Elana Torun,1.29,1,1
2012,Ruch Zdzieszowice - ROW Rybnik,1.47,2,2
2012,Turek - Kluczbork,1.41,2,0
2012,Zaglebie Sosnowiec - Elana Torun,1.36,1,1
2012,ROW Rybnik - Chrobry Glogow,1.45,1,1
2012,ROW Rybnik - Olawa,1.33,1,1
2012,Rozwoj Katowice - Walbrzych,1.47,1,0
2012,Chojniczanka - Gryf Wejherowo,1.4,1,1
2012,Rozwoj Katowice - Elana Torun,1.29,1,1
2012,Ruch Zdzieszowice - ROW Rybnik,1.47,2,2
2012,Turek - Kluczbork,1.41,2,0
