Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Celtic - Aberdeen&nbsp;,1.43,1,1
2016,Celtic - Rangers&nbsp;,1.41,1,1
2016,Celtic - St. Mirren&nbsp;,1.05,1,1
2016,Hibernian - Ayr&nbsp;,1.24,1,1
2016,Rangers - Hamilton&nbsp;,1.34,1,1
2016,Rangers - Morton&nbsp;,1.25,1,1
2016,Ayr - Clyde&nbsp;,1.45,1,0
2016,Celtic - Inverness&nbsp;,1.12,1,1
2016,Hearts - Raith&nbsp;,1.32,1,0
2016,Albion Rovers - Celtic&nbsp;,1.04,2,2
2016,Raith - Hearts&nbsp;,1.5,2,0
2016,Aberdeen - Stranraer&nbsp;,1.09,1,1
2016,Bonnyrigg Rose - Hibernian&nbsp;,1.08,2,2
2016,Elgin City - Inverness&nbsp;,1.33,2,2
2016,Partick - Formartine Utd&nbsp;,1.17,1,1
2016,St Johnstone - Stenhousemuir&nbsp;,1.12,1,1
2016,Rangers - Motherwell&nbsp;,1.4,1,1
2016,Dumbarton - Bonnyrigg Rose&nbsp;,1.18,1,2
2016,Stenhousemuir - Forres Mechanics&nbsp;,1.36,1,1
2016,Stranraer - East Kilbride&nbsp;,1.5,1,1
2016,Beith - Morton&nbsp;,1.15,2,2
2016,St. Mirren - Spartans&nbsp;,1.25,1,1
2016,East Fife - Edinburgh City&nbsp;,1.46,1,0
2016,Celtic - Aberdeen&nbsp;,1.43,1,1
2016,Celtic - Rangers&nbsp;,1.41,1,1
2016,Celtic - St. Mirren&nbsp;,1.05,1,1
2016,Hibernian - Ayr&nbsp;,1.24,1,1
2016,Rangers - Hamilton&nbsp;,1.34,1,1
2016,Rangers - Morton&nbsp;,1.25,1,1
2016,Ayr - Clyde&nbsp;,1.45,1,0
2016,Celtic - Inverness&nbsp;,1.12,1,1
2016,Hearts - Raith&nbsp;,1.32,1,0
2016,Albion Rovers - Celtic&nbsp;,1.04,2,2
2016,Raith - Hearts&nbsp;,1.5,2,0
2016,Aberdeen - Stranraer&nbsp;,1.09,1,1
2016,Bonnyrigg Rose - Hibernian&nbsp;,1.08,2,2
2016,Elgin City - Inverness&nbsp;,1.33,2,2
2016,Partick - Formartine Utd&nbsp;,1.17,1,1
2016,St Johnstone - Stenhousemuir&nbsp;,1.12,1,1
2016,Rangers - Motherwell&nbsp;,1.4,1,1
2016,Dumbarton - Bonnyrigg Rose&nbsp;,1.18,1,2
2016,Stenhousemuir - Forres Mechanics&nbsp;,1.36,1,1
2016,Stranraer - East Kilbride&nbsp;,1.5,1,1
2016,Beith - Morton&nbsp;,1.15,2,2
2016,St. Mirren - Spartans&nbsp;,1.25,1,1
2016,East Fife - Edinburgh City&nbsp;,1.46,1,0
2015,Celtic - Morton&nbsp;,1.07,1,1
2015,Dundee FC - Dumbarton&nbsp;,1.29,1,1
2015,East Kilbride - Celtic&nbsp;,1.01,2,2
2015,Ross County - Linlithgow Rose&nbsp;,1.08,1,1
2015,Rangers - Kilmarnock&nbsp;,1.28,1,0
2015,Forfar Athletic - Linlithgow Rose&nbsp;,1.42,1,0
2015,East Kilbride - Lothian Thistle&nbsp;,1.48,1,1
2015,Inverness - Stirling&nbsp;,1.17,1,1
2015,Stranraer - Celtic&nbsp;,1.08,2,2
2015,Rangers - Cowdenbeath&nbsp;,1.07,1,1
2015,Airdrieonians - Dundee Utd&nbsp;,1.33,2,2
2015,Annan - Hamilton&nbsp;,1.24,2,1
2015,Motherwell - Cove Rangers&nbsp;,1.1,1,1
2015,Raith - Hibernian&nbsp;,1.49,2,2
2015,Stirling - Inverness&nbsp;,1.28,2,0
2015,Annan - Inverurie Loco Works&nbsp;,1.4,1,1
2015,Celtic - Morton&nbsp;,1.07,1,1
2015,Dundee FC - Dumbarton&nbsp;,1.29,1,1
2015,East Kilbride - Celtic&nbsp;,1.01,2,2
2015,Ross County - Linlithgow Rose&nbsp;,1.08,1,1
2015,Rangers - Kilmarnock&nbsp;,1.28,1,0
2015,Forfar Athletic - Linlithgow Rose&nbsp;,1.42,1,0
2015,East Kilbride - Lothian Thistle&nbsp;,1.48,1,1
2015,Inverness - Stirling&nbsp;,1.17,1,1
2015,Stranraer - Celtic&nbsp;,1.08,2,2
2015,Rangers - Cowdenbeath&nbsp;,1.07,1,1
2015,Airdrieonians - Dundee Utd&nbsp;,1.33,2,2
2015,Annan - Hamilton&nbsp;,1.24,2,1
2015,Motherwell - Cove Rangers&nbsp;,1.1,1,1
2015,Raith - Hibernian&nbsp;,1.49,2,2
2015,Stirling - Inverness&nbsp;,1.28,2,0
2015,Annan - Inverurie Loco Works&nbsp;,1.4,1,1
2015,Celtic - Morton&nbsp;,1.07,1,1
2015,Dundee FC - Dumbarton&nbsp;,1.29,1,1
2015,East Kilbride - Celtic&nbsp;,1.01,2,2
2015,Ross County - Linlithgow Rose&nbsp;,1.08,1,1
2015,Rangers - Kilmarnock&nbsp;,1.28,1,0
2015,Forfar Athletic - Linlithgow Rose&nbsp;,1.42,1,0
2015,East Kilbride - Lothian Thistle&nbsp;,1.48,1,1
2015,Inverness - Stirling&nbsp;,1.17,1,1
2015,Stranraer - Celtic&nbsp;,1.08,2,2
2015,Rangers - Cowdenbeath&nbsp;,1.07,1,1
2015,Airdrieonians - Dundee Utd&nbsp;,1.33,2,2
2015,Annan - Hamilton&nbsp;,1.24,2,1
2015,Motherwell - Cove Rangers&nbsp;,1.1,1,1
2015,Raith - Hibernian&nbsp;,1.49,2,2
2015,Stirling - Inverness&nbsp;,1.28,2,0
2015,Annan - Inverurie Loco Works&nbsp;,1.4,1,1
2014,Inverness - Celtic,1.36,2,0
2014,Celtic - Dundee Utd&nbsp;,1.21,1,1
2014,Inverness - Raith&nbsp;,1.25,1,1
2014,Dundee Utd - Celtic&nbsp;,1.37,2,0
2014,Hibernian - Berwick&nbsp;,1.12,1,1
2014,Berwick - Spartans&nbsp;,1.44,1,1
2014,Rangers - Raith&nbsp;,1.26,1,2
2014,Stranraer - Dundee Utd&nbsp;,1.33,2,2
2014,Falkirk - Brechin&nbsp;,1.4,1,1
2014,Hibernian - Arbroath&nbsp;,1.18,1,1
2014,Dundee FC - Celtic&nbsp;,1.32,2,2
2014,Brechin - Annan&nbsp;,1.49,1,1
2014,Hearts - Celtic&nbsp;,1.44,2,2
2014,Falkirk - Cowdenbeath&nbsp;,1.49,1,1
2014,Queen of South - Brora Rangers&nbsp;,1.29,1,1
2014,Spartans - Morton&nbsp;,1.43,2,1
2014,Stirling - Raith&nbsp;,1.4,2,2
2014,Boness United - Arbroath&nbsp;,1.44,2,2
2014,Alloa - Ayr&nbsp;,1.48,1,1
2014,Stirling - Hurlford United&nbsp;,1.31,1,0
2014,East Stirlingshire - Dunfermline&nbsp;,1.25,2,2
2014,Arbroath - Nairn County&nbsp;,1.29,1,1
2014,Dumbarton - Rangers&nbsp;,1.21,2,2
2014,Inverness - Celtic,1.36,2,0
2014,Celtic - Dundee Utd&nbsp;,1.21,1,1
2014,Inverness - Raith&nbsp;,1.25,1,1
2014,Dundee Utd - Celtic&nbsp;,1.37,2,0
2014,Hibernian - Berwick&nbsp;,1.12,1,1
2014,Berwick - Spartans&nbsp;,1.44,1,1
2014,Rangers - Raith&nbsp;,1.26,1,2
2014,Stranraer - Dundee Utd&nbsp;,1.33,2,2
2014,Falkirk - Brechin&nbsp;,1.4,1,1
2014,Hibernian - Arbroath&nbsp;,1.18,1,1
2014,Dundee FC - Celtic&nbsp;,1.32,2,2
2014,Brechin - Annan&nbsp;,1.49,1,1
2014,Hearts - Celtic&nbsp;,1.44,2,2
2014,Falkirk - Cowdenbeath&nbsp;,1.49,1,1
2014,Queen of South - Brora Rangers&nbsp;,1.29,1,1
2014,Spartans - Morton&nbsp;,1.43,2,1
2014,Stirling - Raith&nbsp;,1.4,2,2
2014,Boness United - Arbroath&nbsp;,1.44,2,2
2014,Alloa - Ayr&nbsp;,1.48,1,1
2014,Stirling - Hurlford United&nbsp;,1.31,1,0
2014,East Stirlingshire - Dunfermline&nbsp;,1.25,2,2
2014,Arbroath - Nairn County&nbsp;,1.29,1,1
2014,Dumbarton - Rangers&nbsp;,1.21,2,2
2013,Albion Rovers - Rangers&nbsp;,1.11,2,2
2013,Rangers - Albion Rovers&nbsp;,1.06,1,0
2013,Aberdeen - Dumbarton&nbsp;,1.22,1,1
2013,Inverness - Stranraer&nbsp;,1.2,1,1
2013,Forfar Athletic - St Johnstone&nbsp;,1.33,2,2
2013,Stranraer - Inverness&nbsp;,1.38,2,0
2013,Hibernian - Raith&nbsp;,1.43,1,2
2013,Celtic - Aberdeen&nbsp;,1.4,1,2
2013,Rangers - Dunfermline&nbsp;,1.15,1,1
2013,Stranraer - Clyde&nbsp;,1.41,1,1
2013,Hearts - Celtic&nbsp;,1.3,2,2
2013,Albion Rovers - Motherwell&nbsp;,1.14,2,1
2013,Alloa - Stirling&nbsp;,1.39,1,1
2013,Inverness - Morton&nbsp;,1.25,1,1
2013,St Johnstone - Livingston&nbsp;,1.33,1,1
2013,Stenhousemuir - Fraserburgh&nbsp;,1.33,1,1
2013,Dundee Utd - Kilmarnock&nbsp;,1.46,1,1
2013,Berwick - Culter&nbsp;,1.32,1,1
2013,East Stirlingshire - Raith&nbsp;,1.3,2,2
2013,Ayr - Queen's Park&nbsp;,1.4,1,1
2013,Albion Rovers - Rangers&nbsp;,1.11,2,2
2013,Rangers - Albion Rovers&nbsp;,1.06,1,0
2013,Aberdeen - Dumbarton&nbsp;,1.22,1,1
2013,Inverness - Stranraer&nbsp;,1.2,1,1
2013,Forfar Athletic - St Johnstone&nbsp;,1.33,2,2
2013,Stranraer - Inverness&nbsp;,1.38,2,0
2013,Hibernian - Raith&nbsp;,1.43,1,2
2013,Celtic - Aberdeen&nbsp;,1.4,1,2
2013,Rangers - Dunfermline&nbsp;,1.15,1,1
2013,Stranraer - Clyde&nbsp;,1.41,1,1
2013,Hearts - Celtic&nbsp;,1.3,2,2
2013,Albion Rovers - Motherwell&nbsp;,1.14,2,1
2013,Alloa - Stirling&nbsp;,1.39,1,1
2013,Inverness - Morton&nbsp;,1.25,1,1
2013,St Johnstone - Livingston&nbsp;,1.33,1,1
2013,Stenhousemuir - Fraserburgh&nbsp;,1.33,1,1
2013,Dundee Utd - Kilmarnock&nbsp;,1.46,1,1
2013,Berwick - Culter&nbsp;,1.32,1,1
2013,East Stirlingshire - Raith&nbsp;,1.3,2,2
2013,Ayr - Queen's Park&nbsp;,1.4,1,1
2012,Hibernian - Celtic,1.35,2,2
2012,Dundee Utd - Celtic&nbsp;,1.37,2,0
2012,St. Mirren - Celtic&nbsp;,1.35,2,2
2012,Raith - Celtic&nbsp;,1.19,2,2
2012,Falkirk - Forfar Athletic&nbsp;,1.45,1,1
2012,Cowdenbeath - St Johnstone&nbsp;,1.38,2,2
2012,Morton - Turriff Utd&nbsp;,1.09,1,1
2012,Arbroath - Celtic&nbsp;,1.11,2,2
2012,Rangers - Elgin City&nbsp;,1.1,1,1
2012,Celtic - Arbroath&nbsp;,1.06,1,0
2012,Raith - Deveronvale&nbsp;,1.14,1,1
2012,St. Mirren - Brechin&nbsp;,1.23,1,1
2012,Stranraer - Dundee Utd&nbsp;,1.17,2,2
2012,Turriff Utd - Morton&nbsp;,1.17,2,0
2012,Raith - Airdrieonians&nbsp;,1.42,1,0
2012,Morton - Albion Rovers&nbsp;,1.26,1,1
2012,Arbroath - Inverurie Loco Works&nbsp;,1.27,1,1
2012,Edinburgh City - Queen of South&nbsp;,1.25,2,2
2012,Forfar Athletic - Nairn County&nbsp;,1.39,1,0
2012,Partick - Cove Rangers&nbsp;,1.19,1,1
2012,Rangers - Alloa&nbsp;,1.16,1,1
2012,Hibernian - Celtic,1.35,2,2
2012,Dundee Utd - Celtic&nbsp;,1.37,2,0
2012,St. Mirren - Celtic&nbsp;,1.35,2,2
2012,Raith - Celtic&nbsp;,1.19,2,2
2012,Falkirk - Forfar Athletic&nbsp;,1.45,1,1
2012,Cowdenbeath - St Johnstone&nbsp;,1.38,2,2
2012,Morton - Turriff Utd&nbsp;,1.09,1,1
2012,Arbroath - Celtic&nbsp;,1.11,2,2
2012,Rangers - Elgin City&nbsp;,1.1,1,1
2012,Celtic - Arbroath&nbsp;,1.06,1,0
2012,Raith - Deveronvale&nbsp;,1.14,1,1
2012,St. Mirren - Brechin&nbsp;,1.23,1,1
2012,Stranraer - Dundee Utd&nbsp;,1.17,2,2
2012,Turriff Utd - Morton&nbsp;,1.17,2,0
2012,Raith - Airdrieonians&nbsp;,1.42,1,0
2012,Morton - Albion Rovers&nbsp;,1.26,1,1
2012,Arbroath - Inverurie Loco Works&nbsp;,1.27,1,1
2012,Edinburgh City - Queen of South&nbsp;,1.25,2,2
2012,Forfar Athletic - Nairn County&nbsp;,1.39,1,0
2012,Partick - Cove Rangers&nbsp;,1.19,1,1
2012,Rangers - Alloa&nbsp;,1.16,1,1
2011,Celtic - Hearts&nbsp;,1.46,1,2
2011,Rangers - Dundee Utd&nbsp;,1.46,1,2
2011,Aberdeen - Queen of South&nbsp;,1.37,1,0
2011,Motherwell - Morton&nbsp;,1.34,1,1
2011,Inverness - Celtic&nbsp;,1.47,2,2
2011,Peterhead - Celtic&nbsp;,1.06,2,2
2011,Arbroath - Rangers&nbsp;,1.11,2,2
2011,Airdrieonians - Dundee Utd&nbsp;,1.29,2,2
2011,Falkirk - East Fife&nbsp;,1.29,1,1
2011,Forfar Athletic - Aberdeen&nbsp;,1.33,2,2
2011,Hearts - Auchinleck Talbot&nbsp;,1.05,1,1
2011,Motherwell - Queen's Park&nbsp;,1.14,1,1
2011,Ross County - Stenhousemuir&nbsp;,1.34,1,1
2011,St Johnstone - Brechin&nbsp;,1.23,1,1
2011,Partick - Culter&nbsp;,1.08,1,1
2011,Ayr - Montrose&nbsp;,1.29,1,0
2011,East Fife - East Stirlingshire&nbsp;,1.21,1,1
2011,Keith - Arbroath&nbsp;,1.46,2,2
2011,Ross County - Albion Rovers&nbsp;,1.29,1,1
2011,Celtic - Hearts&nbsp;,1.46,1,2
2011,Rangers - Dundee Utd&nbsp;,1.46,1,2
2011,Aberdeen - Queen of South&nbsp;,1.37,1,0
2011,Motherwell - Morton&nbsp;,1.34,1,1
2011,Inverness - Celtic&nbsp;,1.47,2,2
2011,Peterhead - Celtic&nbsp;,1.06,2,2
2011,Arbroath - Rangers&nbsp;,1.11,2,2
2011,Airdrieonians - Dundee Utd&nbsp;,1.29,2,2
2011,Falkirk - East Fife&nbsp;,1.29,1,1
2011,Forfar Athletic - Aberdeen&nbsp;,1.33,2,2
2011,Hearts - Auchinleck Talbot&nbsp;,1.05,1,1
2011,Motherwell - Queen's Park&nbsp;,1.14,1,1
2011,Ross County - Stenhousemuir&nbsp;,1.34,1,1
2011,St Johnstone - Brechin&nbsp;,1.23,1,1
2011,Partick - Culter&nbsp;,1.08,1,1
2011,Ayr - Montrose&nbsp;,1.29,1,0
2011,East Fife - East Stirlingshire&nbsp;,1.21,1,1
2011,Keith - Arbroath&nbsp;,1.46,2,2
2011,Ross County - Albion Rovers&nbsp;,1.29,1,1
2010,Motherwell - Celtic&nbsp;,1.32,2,2
2010,Aberdeen - Celtic&nbsp;,1.35,2,2
2010,St Johnstone - Brechin&nbsp;,1.32,1,1
2010,Inverness - Celtic&nbsp;,1.41,2,2
2010,Inverness - Morton&nbsp;,1.48,1,1
2010,Dunfermline - Montrose&nbsp;,1.15,1,1
2010,Rangers - Kilmarnock&nbsp;,1.4,1,1
2010,Berwick - Celtic&nbsp;,1.09,2,2
2010,Aberdeen - East Fife&nbsp;,1.19,1,1
2010,Dundee Utd - Ross County&nbsp;,1.41,1,0
2010,Hamilton - Alloa&nbsp;,1.4,1,1
2010,Hibernian - Ayr&nbsp;,1.25,1,0
2010,Inverness - Elgin City&nbsp;,1.15,1,1
2010,Montrose - Dunfermline&nbsp;,1.24,2,0
2010,St. Mirren - Peterhead&nbsp;,1.27,1,0
2010,Airdrieonians - Beith&nbsp;,1.32,1,0
2010,Ayr - Sunnybank&nbsp;,1.16,1,1
2010,Elgin City - Livingston&nbsp;,1.45,2,1
2010,Montrose - Whitehill Welfare&nbsp;,1.43,1,1
2010,Stranraer - Girvan&nbsp;,1.24,1,1
2010,Motherwell - Celtic&nbsp;,1.32,2,2
2010,Aberdeen - Celtic&nbsp;,1.35,2,2
2010,St Johnstone - Brechin&nbsp;,1.32,1,1
2010,Inverness - Celtic&nbsp;,1.41,2,2
2010,Inverness - Morton&nbsp;,1.48,1,1
2010,Dunfermline - Montrose&nbsp;,1.15,1,1
2010,Rangers - Kilmarnock&nbsp;,1.4,1,1
2010,Berwick - Celtic&nbsp;,1.09,2,2
2010,Aberdeen - East Fife&nbsp;,1.19,1,1
2010,Dundee Utd - Ross County&nbsp;,1.41,1,0
2010,Hamilton - Alloa&nbsp;,1.4,1,1
2010,Hibernian - Ayr&nbsp;,1.25,1,0
2010,Inverness - Elgin City&nbsp;,1.15,1,1
2010,Montrose - Dunfermline&nbsp;,1.24,2,0
2010,St. Mirren - Peterhead&nbsp;,1.27,1,0
2010,Airdrieonians - Beith&nbsp;,1.32,1,0
2010,Ayr - Sunnybank&nbsp;,1.16,1,1
2010,Elgin City - Livingston&nbsp;,1.45,2,1
2010,Montrose - Whitehill Welfare&nbsp;,1.43,1,1
2010,Stranraer - Girvan&nbsp;,1.24,1,1
2009,Dundee Utd - Raith&nbsp;,1.38,1,1
2009,Celtic - Ross County&nbsp;,1.16,1,2
2009,Rangers - Dundee Utd&nbsp;,1.32,1,0
2009,Hibernian - Ross County&nbsp;,1.41,1,0
2009,Kilmarnock - Celtic&nbsp;,1.4,2,2
2009,Rangers - St. Mirren&nbsp;,1.18,1,1
2009,Aberdeen - Raith&nbsp;,1.28,1,2
2009,Dunfermline - Celtic&nbsp;,1.24,2,2
2009,Dundee FC - Ayr&nbsp;,1.45,1,1
2009,Hibernian - Montrose&nbsp;,1.06,1,1
2009,Ross County - Stirling&nbsp;,1.42,1,1
2009,St. Mirren - Rangers&nbsp;,1.36,2,0
2009,Stenhousemuir - Dunfermline&nbsp;,1.3,2,0
2009,Stirling - Albion Rovers&nbsp;,1.39,1,1
2009,Morton - Celtic&nbsp;,1.14,2,2
2009,Rangers - Hamilton&nbsp;,1.17,1,0
2009,Forfar Athletic - St Johnstone&nbsp;,1.29,2,2
2009,Ross County - Inverurie Loco Works&nbsp;,1.16,1,1
