Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Albirex Niigata - Geylang,1.27,1,1
2017,Tampines - Brunei DPMM,1.36,1,1
2017,Albirex Niigata - Balestier Khalsa,1.15,1,1
2017,Balestier Khalsa - Home Utd,1.4,2,2
2017,Hougang - Albirex Niigata,1.3,2,1
2017,Geylang - Young Lions,1.19,1,1
2017,Home Utd - Hougang,1.39,1,2
2017,Tampines - Geylang,1.38,1,0
2017,Young Lions - Warriors,1.2,2,0
2017,Tampines - Balestier Khalsa,1.19,1,1
2017,Albirex Niigata - Brunei DPMM,1.17,1,1
2017,Albirex Niigata - Young Lions,1.06,1,1
2017,Home Utd - Brunei DPMM,1.39,1,1
2017,Young Lions - Home Utd,1.2,2,2
2017,Warriors - Balestier Khalsa,1.43,1,1
2017,Young Lions - Brunei DPMM,1.31,2,0
2017,Geylang - Albirex Niigata,1.36,2,2
2017,Home Utd - Balestier Khalsa,1.29,1,1
2017,Tampines - Young Lions,1.08,1,1
2017,Balestier Khalsa - Albirex Niigata,1.3,2,2
2017,Young Lions - Geylang,1.35,2,2
2017,Albirex Niigata - Hougang,1.4,1,1
2017,Warriors - Young Lions,1.13,1,1
2017,Albirex Niigata - Geylang,1.27,1,1
2017,Tampines - Brunei DPMM,1.36,1,1
2017,Albirex Niigata - Balestier Khalsa,1.15,1,1
2017,Balestier Khalsa - Home Utd,1.4,2,2
2017,Hougang - Albirex Niigata,1.3,2,1
2017,Geylang - Young Lions,1.19,1,1
2017,Home Utd - Hougang,1.39,1,2
2017,Tampines - Geylang,1.38,1,0
2017,Young Lions - Warriors,1.2,2,0
2017,Tampines - Balestier Khalsa,1.19,1,1
2017,Albirex Niigata - Brunei DPMM,1.17,1,1
2017,Albirex Niigata - Young Lions,1.06,1,1
2017,Home Utd - Brunei DPMM,1.39,1,1
2017,Young Lions - Home Utd,1.2,2,2
2017,Warriors - Balestier Khalsa,1.43,1,1
2017,Young Lions - Brunei DPMM,1.31,2,0
2017,Geylang - Albirex Niigata,1.36,2,2
2017,Home Utd - Balestier Khalsa,1.29,1,1
2017,Tampines - Young Lions,1.08,1,1
2017,Balestier Khalsa - Albirex Niigata,1.3,2,2
2017,Young Lions - Geylang,1.35,2,2
2017,Albirex Niigata - Hougang,1.4,1,1
2017,Warriors - Young Lions,1.13,1,1
2016,Tampines - Balestier Khalsa,1.16,1,1
2016,Young Lions - Tampines,1.31,2,2
2016,Albirex Niigata - Hougang,1.37,1,1
2016,Hougang - Balestier Khalsa,1.5,1,0
2016,Warriors - Albirex Niigata,1.46,2,1
2016,Home Utd - Young Lions,1.22,1,1
2016,Brunei DPMM - Young Lions,1.13,1,1
2016,Young Lions - Hougang,1.44,2,2
2016,Albirex Niigata - Geylang,1.3,1,1
2016,Warriors - Young Lions,1.37,1,1
2016,Brunei DPMM - Warriors,1.43,1,1
2016,Balestier Khalsa - Albirex Niigata,1.33,2,2
2016,Young Lions - Geylang,1.4,2,2
2016,Tampines - Hougang,1.5,1,2
2016,Warriors - Tampines,1.39,2,2
2016,Albirex Niigata - Young Lions,1.09,1,1
2016,Tampines - Geylang,1.43,1,1
2016,Home Utd - Balestier Khalsa,1.44,1,2
2016,Tampines - Young Lions,1.25,1,1
2016,Young Lions - Home Utd,1.39,2,0
2016,Tampines - Balestier Khalsa,1.16,1,1
2016,Young Lions - Tampines,1.31,2,2
2016,Albirex Niigata - Hougang,1.37,1,1
2016,Hougang - Balestier Khalsa,1.5,1,0
2016,Warriors - Albirex Niigata,1.46,2,1
2016,Home Utd - Young Lions,1.22,1,1
2016,Brunei DPMM - Young Lions,1.13,1,1
2016,Young Lions - Hougang,1.44,2,2
2016,Albirex Niigata - Geylang,1.3,1,1
2016,Warriors - Young Lions,1.37,1,1
2016,Brunei DPMM - Warriors,1.43,1,1
2016,Balestier Khalsa - Albirex Niigata,1.33,2,2
2016,Young Lions - Geylang,1.4,2,2
2016,Tampines - Hougang,1.5,1,2
2016,Warriors - Tampines,1.39,2,2
2016,Albirex Niigata - Young Lions,1.09,1,1
2016,Tampines - Geylang,1.43,1,1
2016,Home Utd - Balestier Khalsa,1.44,1,2
2016,Tampines - Young Lions,1.25,1,1
2016,Young Lions - Home Utd,1.39,2,0
2016,Tampines - Balestier Khalsa,1.16,1,1
2016,Young Lions - Tampines,1.31,2,2
2016,Albirex Niigata - Hougang,1.37,1,1
2016,Hougang - Balestier Khalsa,1.5,1,0
2016,Warriors - Albirex Niigata,1.46,2,1
2016,Home Utd - Young Lions,1.22,1,1
2016,Brunei DPMM - Young Lions,1.13,1,1
2016,Young Lions - Hougang,1.44,2,2
2016,Albirex Niigata - Geylang,1.3,1,1
2016,Warriors - Young Lions,1.37,1,1
2016,Brunei DPMM - Warriors,1.43,1,1
2016,Balestier Khalsa - Albirex Niigata,1.33,2,2
2016,Young Lions - Geylang,1.4,2,2
2016,Tampines - Hougang,1.5,1,2
2016,Warriors - Tampines,1.39,2,2
2016,Albirex Niigata - Young Lions,1.09,1,1
2016,Tampines - Geylang,1.43,1,1
2016,Home Utd - Balestier Khalsa,1.44,1,2
2016,Tampines - Young Lions,1.25,1,1
2016,Young Lions - Home Utd,1.39,2,0
2015,Brunei DPMM - Balestier Khalsa,1.47,1,1
2015,Tampines - Harimau Muda B,1.35,1,0
2015,Geylang - Brunei DPMM,1.39,2,1
2015,Albirex Niigata - Young Lions,1.42,1,2
2015,Albirex Niigata - Geylang,1.5,1,1
2015,Balestier Khalsa - Young Lions,1.49,1,1
2015,Young Lions - Brunei DPMM,1.5,2,2
2015,Harimau Muda B - Warriors,1.47,2,0
2015,Tampines - Young Lions,1.4,1,2
2015,Tampines - Harimau Muda B,1.42,1,1
2015,Brunei DPMM - Harimau Muda B,1.35,1,1
2015,Brunei DPMM - Balestier Khalsa,1.47,1,1
2015,Tampines - Harimau Muda B,1.35,1,0
2015,Geylang - Brunei DPMM,1.39,2,1
2015,Albirex Niigata - Young Lions,1.42,1,2
2015,Albirex Niigata - Geylang,1.5,1,1
2015,Balestier Khalsa - Young Lions,1.49,1,1
2015,Young Lions - Brunei DPMM,1.5,2,2
2015,Harimau Muda B - Warriors,1.47,2,0
2015,Tampines - Young Lions,1.4,1,2
2015,Tampines - Harimau Muda B,1.42,1,1
2015,Brunei DPMM - Harimau Muda B,1.35,1,1
2015,Brunei DPMM - Balestier Khalsa,1.47,1,1
2015,Tampines - Harimau Muda B,1.35,1,0
2015,Geylang - Brunei DPMM,1.39,2,1
2015,Albirex Niigata - Young Lions,1.42,1,2
2015,Albirex Niigata - Geylang,1.5,1,1
2015,Balestier Khalsa - Young Lions,1.49,1,1
2015,Young Lions - Brunei DPMM,1.5,2,2
2015,Harimau Muda B - Warriors,1.47,2,0
2015,Tampines - Young Lions,1.4,1,2
2015,Tampines - Harimau Muda B,1.42,1,1
2015,Brunei DPMM - Harimau Muda B,1.35,1,1
2014,Brunei DPMM - Balestier Khalsa,1.42,1,0
2014,Hougang - Harimau Muda B,1.49,1,2
2014,Harimau Muda B - Balestier Khalsa,1.48,2,2
2014,Hougang - Harimau Muda B,1.43,1,2
2014,Tanjong Pagar - Brunei DPMM,1.49,2,2
2014,Home Utd - Young Lions,1.3,1,2
2014,Brunei DPMM - Woodlands W.,1.31,1,1
2014,Tampines - Tanjong Pagar,1.34,1,2
2014,Warriors - Young Lions,1.41,1,1
2014,Brunei DPMM - Balestier Khalsa,1.42,1,0
2014,Hougang - Harimau Muda B,1.49,1,2
2014,Harimau Muda B - Balestier Khalsa,1.48,2,2
2014,Hougang - Harimau Muda B,1.43,1,2
2014,Tanjong Pagar - Brunei DPMM,1.49,2,2
2014,Home Utd - Young Lions,1.3,1,2
2014,Brunei DPMM - Woodlands W.,1.31,1,1
2014,Tampines - Tanjong Pagar,1.34,1,2
2014,Warriors - Young Lions,1.41,1,1
2014,Brunei DPMM - Balestier Khalsa,1.42,1,0
2014,Hougang - Harimau Muda B,1.49,1,2
2014,Harimau Muda B - Balestier Khalsa,1.48,2,2
2014,Hougang - Harimau Muda B,1.43,1,2
2014,Tanjong Pagar - Brunei DPMM,1.49,2,2
2014,Home Utd - Young Lions,1.3,1,2
2014,Brunei DPMM - Woodlands W.,1.31,1,1
