Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Skalica - Slovan Bratislava,1.21,2,2
2016,Slovan Bratislava - Michalovce&nbsp;,1.44,1,1
2016,L. Hradok - Michalovce,1.49,2,2
2016,Dun. Streda - Poprad,1.31,1,2
2016,L. Mikulas - L. Hradok,1.33,1,0
2016,Sered - Zilina,1.22,2,0
2016,Velke Ludince - Slovan Bratislava,1.1,2,2
2016,Sala - Myjava,1.14,2,2
2016,L. Hradok - Lok. Kosice,1.5,2,0
2016,Slovan Brvniste - Nitra,1.09,2,2
2016,Simonovany - Ruzomberok,1.06,2,2
2016,AFC Nove Mesto - Trnava,1.35,2,2
2016,Lip. Stiavnica - Dun. Streda,1.13,2,2
2016,Malzenice - Presov,1.16,2,2
2016,Slovenske Darmoty - Slovan Bratislava,1.04,2,2
2016,Tisovec - Poprad,1.21,2,2
2016,Velky Meder - Trencin,1.09,2,2
2016,TJ Visnove - L. Mikulas,1.08,2,2
2016,Novy Zivot - Michalovce,1.06,2,2
2016,SK Odeva Lipany - Zilina,1.05,2,2
2016,Velke Ludince - Senica,1.36,2,0
2016,Puchov - Trencin,1.28,2,2
2016,Salkova - Nitra,1.04,2,2
2016,Zilina - VSS Kosice,1.12,1,1
2016,Borcice - Trnava,1.17,2,2
2016,Oravska Poruba - Lok. Kosice,1.12,2,2
2016,Slovan Ivanka - AFC Nove Mesto,1.2,2,2
2016,Svaty Jur - Dun. Streda,1.3,2,2
2016,Skalica - Slovan Bratislava,1.21,2,2
2016,Slovan Bratislava - Michalovce&nbsp;,1.44,1,1
2016,L. Hradok - Michalovce,1.49,2,2
2016,Dun. Streda - Poprad,1.31,1,2
2016,L. Mikulas - L. Hradok,1.33,1,0
2016,Sered - Zilina,1.22,2,0
2016,Velke Ludince - Slovan Bratislava,1.1,2,2
2016,Sala - Myjava,1.14,2,2
2016,L. Hradok - Lok. Kosice,1.5,2,0
2016,Slovan Brvniste - Nitra,1.09,2,2
2016,Simonovany - Ruzomberok,1.06,2,2
2016,AFC Nove Mesto - Trnava,1.35,2,2
2016,Lip. Stiavnica - Dun. Streda,1.13,2,2
2016,Malzenice - Presov,1.16,2,2
2016,Slovenske Darmoty - Slovan Bratislava,1.04,2,2
2016,Tisovec - Poprad,1.21,2,2
2016,Velky Meder - Trencin,1.09,2,2
2016,TJ Visnove - L. Mikulas,1.08,2,2
2016,Novy Zivot - Michalovce,1.06,2,2
2016,SK Odeva Lipany - Zilina,1.05,2,2
2016,Velke Ludince - Senica,1.36,2,0
2016,Puchov - Trencin,1.28,2,2
2016,Salkova - Nitra,1.04,2,2
2016,Zilina - VSS Kosice,1.12,1,1
2016,Borcice - Trnava,1.17,2,2
2016,Oravska Poruba - Lok. Kosice,1.12,2,2
2016,Slovan Ivanka - AFC Nove Mesto,1.2,2,2
2016,Svaty Jur - Dun. Streda,1.3,2,2
2015,Trencin - Ruzomberok&nbsp;,1.29,1,1
2015,VSS Kosice - Trencin,1.25,2,2
2015,Senica - Slovan Bratislava,1.48,2,0
2015,MFK Topolcany - Ruzomberok,1.07,2,2
2015,Dun. Streda - Presov,1.35,1,1
2015,Slovan Bratislava - Pohronie,1.11,1,1
2015,AFC Nove Mesto - Senica,1.46,2,0
2015,D. Kubin - Trencin,1.11,2,2
2015,Rohoznik - VSS Kosice,1.41,2,2
2015,Vysne Opatske - Zilina,1.04,2,2
2015,Borcice - Zilina,1.33,2,2
2015,Nitra - Slovan Bratislava,1.31,2,2
2015,D. Luzna - Ruzomberok,1.33,2,2
2015,AFC Nove Mesto - Podbrezova,1.43,2,0
2015,Banik Stranavy - Dun. Streda,1.07,2,2
2015,SK Javornik Makov - Presov,1.24,2,2
2015,Rohoznik - Michalovce,1.24,2,0
2015,Tomasov - Pohronie,1.26,2,2
2015,Vysne Opatske - Nova Bana,1.49,1,1
2015,MSK Martin - Z. Moravce,1.2,2,2
2015,Sered - Myjava,1.5,2,2
2015,SK Blava Jaslovske Bohunice - Trencin,1.05,2,2
2015,L. Mikulas - Zilina,1.16,2,2
2015,Vinica - Slovan Bratislava,1.01,2,2
2015,SK Zavod - Trencin,1.01,2,2
2015,FK Nove Zamky - Trnava,1.05,2,2
2015,Palarikovo - D. Luzna,1.35,2,2
2015,Malacky - Podbrezova,1.06,2,2
2015,Nemsova - Myjava,1.21,2,2
2015,FK Cana - Spisska Nova Ves,1.44,2,1
2015,Slovan Ivanka - Sered,1.2,2,2
2015,Svaty Jur - Z. Moravce,1.36,2,2
2015,Teplicka n. Vahom - Michalovce,1.14,2,2
2015,Trencin - Ruzomberok&nbsp;,1.29,1,1
2015,VSS Kosice - Trencin,1.25,2,2
2015,Senica - Slovan Bratislava,1.48,2,0
2015,MFK Topolcany - Ruzomberok,1.07,2,2
2015,Dun. Streda - Presov,1.35,1,1
2015,Slovan Bratislava - Pohronie,1.11,1,1
2015,AFC Nove Mesto - Senica,1.46,2,0
2015,D. Kubin - Trencin,1.11,2,2
2015,Rohoznik - VSS Kosice,1.41,2,2
2015,Vysne Opatske - Zilina,1.04,2,2
2015,Borcice - Zilina,1.33,2,2
2015,Nitra - Slovan Bratislava,1.31,2,2
2015,D. Luzna - Ruzomberok,1.33,2,2
2015,AFC Nove Mesto - Podbrezova,1.43,2,0
2015,Banik Stranavy - Dun. Streda,1.07,2,2
2015,SK Javornik Makov - Presov,1.24,2,2
2015,Rohoznik - Michalovce,1.24,2,0
2015,Tomasov - Pohronie,1.26,2,2
2015,Vysne Opatske - Nova Bana,1.49,1,1
2015,MSK Martin - Z. Moravce,1.2,2,2
2015,Sered - Myjava,1.5,2,2
2015,SK Blava Jaslovske Bohunice - Trencin,1.05,2,2
2015,L. Mikulas - Zilina,1.16,2,2
2015,Vinica - Slovan Bratislava,1.01,2,2
2015,SK Zavod - Trencin,1.01,2,2
2015,FK Nove Zamky - Trnava,1.05,2,2
2015,Palarikovo - D. Luzna,1.35,2,2
2015,Malacky - Podbrezova,1.06,2,2
2015,Nemsova - Myjava,1.21,2,2
2015,FK Cana - Spisska Nova Ves,1.44,2,1
2015,Slovan Ivanka - Sered,1.2,2,2
2015,Svaty Jur - Z. Moravce,1.36,2,2
2015,Teplicka n. Vahom - Michalovce,1.14,2,2
2014,B. Bystrica - Trencin&nbsp;,1.43,2,2
2014,Trencin - B. Bystrica&nbsp;,1.12,1,1
2014,Slovan Bratislava - Nitra,1.17,1,1
2014,Skalica - Slovan Bratislava,1.35,2,2
2014,Rohoznik - Senica,1.1,2,2
2014,Pohronie - Slovan Bratislava,1.15,2,2
2014,D. Luzna - B. Bystrica,1.42,2,2
2014,Jupie Banska Bystrica - VSS Kosice,1.09,2,2
2014,Roznava - Dun. Streda,1.06,2,2
2014,Raca - Zilina,1.08,2,2
2014,Nova Bana - Senica,1.06,2,2
2014,Poproc - Rohoznik,1.25,2,2
2014,Trencianske Teplice - Trnava,1.06,2,2
2014,Zvolen - Trencin,1.42,2,2
2014,FK Nove Zamky - Dun. Streda,1.12,2,2
2014,Nemsova - VSS Kosice,1.13,2,2
2014,Bahon - Zilina,1.09,2,2
2014,Teplicka n. Vahom - Trnava,1.09,2,2
2014,Modranka - Slovan Bratislava,1.01,2,2
2014,Nova Bana - Rakytovce,1.49,1,1
2014,Kalna n. Hronom - Z. Moravce,1.04,2,2
2014,Banik Prievidza - Senica,1.13,2,2
2014,B. Bystrica - Trencin&nbsp;,1.43,2,2
2014,Trencin - B. Bystrica&nbsp;,1.12,1,1
2014,Slovan Bratislava - Nitra,1.17,1,1
2014,Skalica - Slovan Bratislava,1.35,2,2
2014,Rohoznik - Senica,1.1,2,2
2014,Pohronie - Slovan Bratislava,1.15,2,2
2014,D. Luzna - B. Bystrica,1.42,2,2
2014,Jupie Banska Bystrica - VSS Kosice,1.09,2,2
2014,Roznava - Dun. Streda,1.06,2,2
2014,Raca - Zilina,1.08,2,2
2014,Nova Bana - Senica,1.06,2,2
2014,Poproc - Rohoznik,1.25,2,2
2014,Trencianske Teplice - Trnava,1.06,2,2
2014,Zvolen - Trencin,1.42,2,2
2014,FK Nove Zamky - Dun. Streda,1.12,2,2
2014,Nemsova - VSS Kosice,1.13,2,2
2014,Bahon - Zilina,1.09,2,2
2014,Teplicka n. Vahom - Trnava,1.09,2,2
2014,Modranka - Slovan Bratislava,1.01,2,2
2014,Nova Bana - Rakytovce,1.49,1,1
2014,Kalna n. Hronom - Z. Moravce,1.04,2,2
2014,Banik Prievidza - Senica,1.13,2,2
2013,Slovan Bratislava - VSS Kosice&nbsp;,1.33,1,2
2013,Slovan Bratislava - Senica&nbsp;,1.39,1,1
2013,D. Luzna - Slovan Bratislava,1.06,2,2
2013,Nemsova - Zilina,1.16,2,2
2013,Ruzomberok - Michalovce,1.47,1,0
2013,Presov - Dun. Streda,1.4,1,1
2013,Trnava - L. Mikulas,1.17,1,1
2013,Z. Moravce - Sala,1.23,1,1
2013,AFC Nove Mesto - Slovan Bratislava,1.1,2,2
2013,Dun. Streda - Pohronie,1.42,1,1
2013,Nemsova - Myjava,1.2,2,1
2013,Petrzalka Akademia - Z. Moravce,1.33,2,2
2013,Ruzina - VSS Kosice,1.27,2,2
2013,Trnava - Skalica,1.12,1,1
2013,B. Bystrica - L. Mikulas,1.25,1,0
2013,D. Kubin - Zilina,1.15,2,2
2013,D. Luzna - Nitra,1.29,2,0
2013,Sered - Trencin,1.13,2,0
2013,Vrable - Senica,1.1,2,0
2013,Rovinka - Pohronie,1.43,2,2
2013,Cadca - Presov,1.16,2,2
2013,Haniska - Podbrezova,1.16,2,2
2013,Kalinovo - L. Mikulas,1.3,2,0
2013,Namestovo - Michalovce,1.4,2,2
2013,TJ Partizan Precin - Sala,1.2,2,2
2013,Rimavska Sobota - Moldava,1.38,1,1
2013,Vrable - SK Senec,1.41,2,0
2013,Bardejov - SK Odeva Lipany,1.26,1,1
2012,Slovan Bratislava - VSS Kosice&nbsp;,1.4,1,1
2012,Slovan Bratislava - Ruzomberok&nbsp;,1.39,1,1
2012,Domino - Senica,1.31,2,2
2012,Slovan Bratislava - Z. Moravce,1.3,1,1
2012,Lok. Kosice - VSS Kosice,1.34,2,2
2012,B. Bystrica - Bardejov,1.33,1,1
2012,Sered - Trnava,1.3,2,2
2012,Kalinovo - Presov,1.1,2,2
2012,Trnava - AFC Nove Mesto,1.14,1,1
2012,Senica - Dun. Streda,1.23,1,1
2012,Ruzomberok - Rimavska Sobota,1.32,1,1
2012,Zilina - Ruzina,1.12,1,1
2012,D. Luzna - Myjava,1.42,2,2
2012,Poprad - VSS Kosice,1.48,2,2
2012,Namestovo - B. Bystrica,1.25,2,2
2012,Nemsova - Trencin,1.2,2,2
2012,Bardejov - SK Odeva Lipany,1.4,1,1
2012,Sala - Nemsova,1.31,1,0
2011,Zilina - B. Bystrica&nbsp;,1.49,1,1
2011,Zilina - Presov&nbsp;,1.23,1,1
2011,Nemsova - Trnava,1.09,2,2
2011,Presov - Lucenec,1.36,1,1
2011,Z. Moravce - Myjava,1.35,1,1
2011,Ruzina - Senica,1.14,2,2
2011,Zdana - B. Bystrica,1.26,2,2
2011,Poprad - Zilina,1.13,2,0
2011,Pezinok - Slovan Bratislava,1.05,2,2
2011,Vrbove - Nitra,1.18,2,2
2011,Lucenec - Kremnicka,1.35,1,1
2011,MSK Povazska Bystrica - Senica,1.11,2,2
2011,Moravany - Z. Moravce,1.17,2,2
2011,Puchov - Trnava,1.14,2,2
2011,Presov - Podbrezova,1.44,1,1
2011,Spisska Nova Ves - Zilina,1.14,2,2
2011,VSS Kosice - D. Kubin,1.27,1,1
2011,Zdana - Ruzomberok,1.26,2,0
2011,Petrzalka Akademia - Sered,1.41,1,1
2011,D. Kubin - Lubovna,1.1,1,1
2011,Dubnica - Vrbove,1.16,1,2
2010,Slovan Bratislava - Trnava&nbsp;,1.46,1,0
2010,Zilina - Z. Moravce&nbsp;,1.35,1,1
2010,Zilina - L. Mikulas&nbsp;,1.1,1,1
2010,Slovan Bratislava - Myjava&nbsp;,1.18,1,1
2010,L. Mikulas - Zilina&nbsp;,1.36,2,2
2010,Myjava - Slovan Bratislava&nbsp;,1.37,2,2
2010,SK Senec - Zilina,1.19,2,2
2010,Nemsova - Trnava,1.34,2,2
2010,Slovan Bratislava - Puchov,1.05,1,1
2010,SK Blava Jaslovske Bohunice - Trencin,1.19,2,2
2010,SK Odeva Lipany - Presov,1.3,2,0
2010,Poprad - B. Bystrica,1.27,2,2
2010,Myjava - Senica,1.48,2,1
2010,Samorin - Z. Moravce,1.3,2,2
2010,Kremnicka - Dubnica,1.31,2,2
2010,Vranov - Zilina,1.14,2,2
2010,Sala - Nitra,1.37,2,2
2009,Trnava - Dun. Streda&nbsp;,1.39,1,1
