Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Venezuela U17 W - Paraguay U17 W,1.21,1,1
2016,Brazil U17 W - Colombia U17 W,1.38,1,1
2016,Venezuela U17 W - Colombia U17 W,1.29,1,1
2016,Brazil U17 W - Paraguay U17 W,1.44,1,1
2016,Brazil U17 W - Colombia U17 W,1.24,1,0
2016,Venezuela U17 W - Paraguay U17 W,1.42,1,1
2016,Argentina U17 W - Peru U17 W,1.21,1,2
2016,Colombia U17 W - Uruguay U17 W,1.28,1,2
2016,Chile U17 W - Peru U17 W,1.5,1,1
2016,Brazil U17 W - Bolivia U17 W,1.02,1,1
2016,Colombia U17 W - Ecuador U17 W,1.25,1,1
2016,Brazil U17 W - Ecuador U17 W,1.14,1,1
2016,Brazil U17 W - Uruguay U17 W,1.08,1,1
2016,Colombia U17 W - Bolivia U17 W,1.19,1,1
