Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Rosengard W - Bunkeflo W,1.09,1,1
2017,Eskilstuna United W - Pitea W,1.44,1,2
2017,Linkopings W - Kvarnsvedens W,1.17,1,1
2017,Vittsjo W - Rosengard W,1.28,2,2
2017,Goteborg W - Hammarby W,1.41,1,0
2017,Rosengard W - Kristianstads W,1.08,1,1
2017,Djurgarden W - Eskilstuna United W,1.4,2,1
2017,Rosengard W - Orebro W,1.1,1,0
2017,Eskilstuna United W - Kvarnsvedens W,1.23,1,1
2017,Linkopings W - Goteborg W,1.39,1,1
2017,Hammarby W - Rosengard W,1.09,2,1
2017,Bunkeflo W - Eskilstuna United W,1.45,2,2
2017,Eskilstuna United W - Orebro W,1.47,1,1
2017,Rosengard W - Goteborg W,1.24,1,1
2017,Djurgarden W - Kvarnsvedens W,1.47,1,2
2017,Kristianstads W - Linkopings W,1.38,2,2
2017,Goteborg W - Vittsjo W,1.43,1,1
2017,Rosengard W - Bunkeflo W,1.09,1,1
2017,Eskilstuna United W - Pitea W,1.44,1,2
2017,Linkopings W - Kvarnsvedens W,1.17,1,1
2017,Vittsjo W - Rosengard W,1.28,2,2
2017,Goteborg W - Hammarby W,1.41,1,0
2017,Rosengard W - Kristianstads W,1.08,1,1
2017,Djurgarden W - Eskilstuna United W,1.4,2,1
2017,Rosengard W - Orebro W,1.1,1,0
2017,Eskilstuna United W - Kvarnsvedens W,1.23,1,1
2017,Linkopings W - Goteborg W,1.39,1,1
2017,Hammarby W - Rosengard W,1.09,2,1
2017,Bunkeflo W - Eskilstuna United W,1.45,2,2
2017,Eskilstuna United W - Orebro W,1.47,1,1
2017,Rosengard W - Goteborg W,1.24,1,1
2017,Djurgarden W - Kvarnsvedens W,1.47,1,2
2017,Kristianstads W - Linkopings W,1.38,2,2
2017,Goteborg W - Vittsjo W,1.43,1,1
2016,Linkopings W - Eskilstuna United W,1.23,1,1
2016,Rosengard W - Mallbackens W,1.22,1,1
2016,Eskilstuna United W - Orebro W,1.5,1,1
2016,Mallbackens W - Linkopings W,1.24,2,2
2016,Rosengard W - Eskilstuna United W,1.23,1,2
2016,Pitea W - Kristianstads W,1.39,1,1
2016,Vittsjo W - Linkopings W,1.18,2,2
2016,Orebro W - Linkopings W,1.3,2,0
2016,Pitea W - Mallbackens W,1.32,1,1
2016,Rosengard W - Umea W,1.03,1,1
2016,Goteborg W - Linkopings W,1.32,2,2
2016,Kristianstads W - Rosengard W,1.14,2,2
2016,Linkopings W - Djurgarden W,1.13,1,1
2016,Eskilstuna United W - Mallbackens W,1.24,1,0
2016,Linkopings W - Kristianstads W,1.08,1,1
2016,Pitea W - Umea W,1.23,1,1
2016,Vittsjo W - Rosengard W,1.13,2,0
2016,Rosengard W - Goteborg W,1.13,1,1
2016,Umea W - Linkopings W,1.08,2,2
2016,Linkopings W - Eskilstuna United W,1.23,1,1
2016,Rosengard W - Mallbackens W,1.22,1,1
2016,Eskilstuna United W - Orebro W,1.5,1,1
2016,Mallbackens W - Linkopings W,1.24,2,2
2016,Rosengard W - Eskilstuna United W,1.23,1,2
2016,Pitea W - Kristianstads W,1.39,1,1
2016,Vittsjo W - Linkopings W,1.18,2,2
2016,Orebro W - Linkopings W,1.3,2,0
2016,Pitea W - Mallbackens W,1.32,1,1
2016,Rosengard W - Umea W,1.03,1,1
2016,Goteborg W - Linkopings W,1.32,2,2
2016,Kristianstads W - Rosengard W,1.14,2,2
2016,Linkopings W - Djurgarden W,1.13,1,1
2016,Eskilstuna United W - Mallbackens W,1.24,1,0
2016,Linkopings W - Kristianstads W,1.08,1,1
2016,Pitea W - Umea W,1.23,1,1
2016,Vittsjo W - Rosengard W,1.13,2,0
2016,Rosengard W - Goteborg W,1.13,1,1
2016,Umea W - Linkopings W,1.08,2,2
2016,Linkopings W - Eskilstuna United W,1.23,1,1
2016,Rosengard W - Mallbackens W,1.22,1,1
2016,Eskilstuna United W - Orebro W,1.5,1,1
2016,Mallbackens W - Linkopings W,1.24,2,2
2016,Rosengard W - Eskilstuna United W,1.23,1,2
2016,Pitea W - Kristianstads W,1.39,1,1
2016,Vittsjo W - Linkopings W,1.18,2,2
2016,Orebro W - Linkopings W,1.3,2,0
2016,Pitea W - Mallbackens W,1.32,1,1
2016,Rosengard W - Umea W,1.03,1,1
2016,Goteborg W - Linkopings W,1.32,2,2
2016,Kristianstads W - Rosengard W,1.14,2,2
2016,Linkopings W - Djurgarden W,1.13,1,1
2016,Eskilstuna United W - Mallbackens W,1.24,1,0
2016,Linkopings W - Kristianstads W,1.08,1,1
2016,Pitea W - Umea W,1.23,1,1
2016,Vittsjo W - Rosengard W,1.13,2,0
2016,Rosengard W - Goteborg W,1.13,1,1
2016,Umea W - Linkopings W,1.08,2,2
2015,Eskilstuna United W - Goteborg W,1.27,1,1
2015,Kristianstads W - AIK W,1.07,1,1
2015,AIK W - Rosengard W,1.01,2,2
2015,Pitea W - Kristianstads W,1.31,1,1
2015,Eskilstuna United W - Mallbackens W,1.19,1,1
2015,Kristianstads W - Linkopings W,1.31,2,2
2015,Goteborg W - AIK W,1.08,1,1
2015,Vittsjo W - Hammarby W,1.48,1,0
2015,Rosengard W - Umea W,1.13,1,1
2015,Linkopings W - Goteborg W,1.35,1,1
2015,Hammarby W - Rosengard W,1.2,2,2
2015,AIK W - Orebro W,1.09,2,2
2015,AIK W - Linkopings W,1.06,2,2
2015,Hammarby W - Eskilstuna United W,1.34,2,2
2015,Linkopings W - Mallbackens W,1.13,1,1
2015,Eskilstuna United W - Vittsjo W,1.28,1,1
2015,Pitea W - AIK W,1.05,1,1
2015,Kristianstads W - Hammarby W,1.39,1,1
2015,Rosengard W - Orebro W,1.23,1,1
2015,Goteborg W - Vittsjo W,1.44,1,1
2015,Linkopings W - Umea W,1.18,1,2
2015,Orebro W - Hammarby W,1.36,1,1
2015,AIK W - Eskilstuna United W,1.07,2,2
2015,Vittsjo W - Linkopings W,1.43,2,2
2015,Eskilstuna United W - Orebro W,1.38,1,1
2015,Goteborg W - Mallbackens W,1.33,1,1
2015,Hammarby W - AIK W,1.22,1,0
2015,Kristianstads W - Rosengard W,1.24,2,0
2015,Eskilstuna United W - Kristianstads W,1.36,1,1
2015,Eskilstuna United W - Goteborg W,1.27,1,1
2015,Kristianstads W - AIK W,1.07,1,1
2015,AIK W - Rosengard W,1.01,2,2
2015,Pitea W - Kristianstads W,1.31,1,1
2015,Eskilstuna United W - Mallbackens W,1.19,1,1
2015,Kristianstads W - Linkopings W,1.31,2,2
2015,Goteborg W - AIK W,1.08,1,1
2015,Vittsjo W - Hammarby W,1.48,1,0
2015,Rosengard W - Umea W,1.13,1,1
2015,Linkopings W - Goteborg W,1.35,1,1
2015,Hammarby W - Rosengard W,1.2,2,2
2015,AIK W - Orebro W,1.09,2,2
2015,AIK W - Linkopings W,1.06,2,2
2015,Hammarby W - Eskilstuna United W,1.34,2,2
2015,Linkopings W - Mallbackens W,1.13,1,1
2015,Eskilstuna United W - Vittsjo W,1.28,1,1
2015,Pitea W - AIK W,1.05,1,1
2015,Kristianstads W - Hammarby W,1.39,1,1
2015,Rosengard W - Orebro W,1.23,1,1
2015,Goteborg W - Vittsjo W,1.44,1,1
2015,Linkopings W - Umea W,1.18,1,2
2015,Orebro W - Hammarby W,1.36,1,1
2015,AIK W - Eskilstuna United W,1.07,2,2
2015,Vittsjo W - Linkopings W,1.43,2,2
2015,Eskilstuna United W - Orebro W,1.38,1,1
2015,Goteborg W - Mallbackens W,1.33,1,1
2015,Hammarby W - AIK W,1.22,1,0
2015,Kristianstads W - Rosengard W,1.24,2,0
2015,Eskilstuna United W - Kristianstads W,1.36,1,1
2015,Eskilstuna United W - Goteborg W,1.27,1,1
2015,Kristianstads W - AIK W,1.07,1,1
2015,AIK W - Rosengard W,1.01,2,2
2015,Pitea W - Kristianstads W,1.31,1,1
2015,Eskilstuna United W - Mallbackens W,1.19,1,1
2015,Kristianstads W - Linkopings W,1.31,2,2
2015,Goteborg W - AIK W,1.08,1,1
2015,Vittsjo W - Hammarby W,1.48,1,0
2015,Rosengard W - Umea W,1.13,1,1
2015,Linkopings W - Goteborg W,1.35,1,1
2015,Hammarby W - Rosengard W,1.2,2,2
2015,AIK W - Orebro W,1.09,2,2
2015,AIK W - Linkopings W,1.06,2,2
2015,Hammarby W - Eskilstuna United W,1.34,2,2
2015,Linkopings W - Mallbackens W,1.13,1,1
2015,Eskilstuna United W - Vittsjo W,1.28,1,1
2015,Pitea W - AIK W,1.05,1,1
2015,Kristianstads W - Hammarby W,1.39,1,1
2015,Rosengard W - Orebro W,1.23,1,1
2015,Goteborg W - Vittsjo W,1.44,1,1
2015,Linkopings W - Umea W,1.18,1,2
2015,Orebro W - Hammarby W,1.36,1,1
2015,AIK W - Eskilstuna United W,1.07,2,2
2015,Vittsjo W - Linkopings W,1.43,2,2
2015,Eskilstuna United W - Orebro W,1.38,1,1
2015,Goteborg W - Mallbackens W,1.33,1,1
2015,Hammarby W - AIK W,1.22,1,0
2015,Kristianstads W - Rosengard W,1.24,2,0
2015,Eskilstuna United W - Kristianstads W,1.36,1,1
2014,Goteborg W - Vittsjo W,1.17,1,1
2014,Linkopings W - Pitea W,1.23,1,1
2014,Orebro W - Eskilstuna United W,1.36,1,1
2014,Rosengard W - AIK W,1.05,1,1
2014,Kristianstads W - Goteborg W,1.49,2,1
2014,Vittsjo W - Rosengard W,1.32,2,2
2014,AIK W - Linkopings W,1.17,2,0
2014,Linkopings W - Eskilstuna United W,1.24,1,0
2014,Pitea W - AIK W,1.22,1,2
2014,Kristianstads W - Jitex W,1.1,1,1
2014,AIK W - Orebro W,1.24,2,2
2014,Kristianstads W - Linkopings W,1.41,2,1
2014,AIK W - Jitex W,1.41,1,1
2014,Eskilstuna United W - Rosengard W,1.42,2,2
2014,Umea W - AIK W,1.18,1,1
2014,Linkopings W - Vittsjo W,1.17,1,1
2014,Rosengard W - Kristianstads W,1.16,1,1
2014,Jitex W - Pitea W,1.31,2,2
2014,Goteborg W - Eskilstuna United W,1.39,1,1
2014,Rosengard W - Linkopings W,1.37,1,2
2014,Kristianstads W - AIK W,1.2,1,1
2014,Goteborg W - Umea W,1.42,1,1
2014,Jitex W - Eskilstuna United W,1.13,2,2
2014,AIK W - Goteborg W,1.15,2,2
2014,Jitex W - Linkopings W,1.1,2,2
2014,Pitea W - Rosengard W,1.1,2,2
2014,Rosengard W - Jitex W,1.01,1,1
2014,Linkopings W - Umea W,1.5,1,1
2014,Eskilstuna United W - Vittsjo W,1.5,1,1
2014,Goteborg W - Pitea W,1.34,1,1
2014,Umea W - Rosengard W,1.3,2,2
2014,AIK W - Eskilstuna United W,1.41,2,0
2014,Goteborg W - Vittsjo W,1.17,1,1
2014,Linkopings W - Pitea W,1.23,1,1
2014,Orebro W - Eskilstuna United W,1.36,1,1
2014,Rosengard W - AIK W,1.05,1,1
2014,Kristianstads W - Goteborg W,1.49,2,1
2014,Vittsjo W - Rosengard W,1.32,2,2
2014,AIK W - Linkopings W,1.17,2,0
2014,Linkopings W - Eskilstuna United W,1.24,1,0
2014,Pitea W - AIK W,1.22,1,2
2014,Kristianstads W - Jitex W,1.1,1,1
2014,AIK W - Orebro W,1.24,2,2
2014,Kristianstads W - Linkopings W,1.41,2,1
2014,AIK W - Jitex W,1.41,1,1
2014,Eskilstuna United W - Rosengard W,1.42,2,2
2014,Umea W - AIK W,1.18,1,1
2014,Linkopings W - Vittsjo W,1.17,1,1
