Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Lerums IS - Karlstad,1.21,2,2
2017,Karlstad - Vanersborgs IF,1.21,1,1
2017,Vargarda IK - Skoftebyns,1.41,1,0
2017,Gauthiod - Lerums IS,1.14,1,1
2017,Vanersborgs FK - FBK Karlstad,1.26,1,2
2017,Nordvarmland - Trollhattan,1.47,2,2
2017,Skoftebyns - Lerums IS,1.3,1,1
2017,Gauthiod - FBK Karlstad,1.27,1,1
2017,Vargarda IK - Lidkopings FK,1.23,1,1
2017,FBK Karlstad - Karlstad,1.41,2,2
2017,Karlstad - Uddevalla,1.37,1,2
2017,Nordvarmland - Vanersborgs FK,1.5,2,2
2017,Grebbestads - Stenungsunds,1.26,1,1
2017,Vargarda IK - Lerums IS,1.17,1,1
2017,Karlstad - Nordvarmland,1.19,1,1
2017,Skoftebyns - Grebbestads,1.46,2,2
2017,Uddevalla - Skoftebyns,1.49,1,1
2017,Trollhattan - Stenungsunds,1.42,1,1
2017,Lerums IS - Karlstad,1.21,2,2
2017,Karlstad - Vanersborgs IF,1.21,1,1
2017,Vargarda IK - Skoftebyns,1.41,1,0
2017,Gauthiod - Lerums IS,1.14,1,1
2017,Vanersborgs FK - FBK Karlstad,1.26,1,2
2017,Nordvarmland - Trollhattan,1.47,2,2
2017,Skoftebyns - Lerums IS,1.3,1,1
2017,Gauthiod - FBK Karlstad,1.27,1,1
2017,Vargarda IK - Lidkopings FK,1.23,1,1
2017,FBK Karlstad - Karlstad,1.41,2,2
2017,Karlstad - Uddevalla,1.37,1,2
2017,Nordvarmland - Vanersborgs FK,1.5,2,2
2017,Grebbestads - Stenungsunds,1.26,1,1
2017,Vargarda IK - Lerums IS,1.17,1,1
2017,Karlstad - Nordvarmland,1.19,1,1
2017,Skoftebyns - Grebbestads,1.46,2,2
2017,Uddevalla - Skoftebyns,1.49,1,1
2017,Trollhattan - Stenungsunds,1.42,1,1
2017,Lerums IS - Karlstad,1.21,2,2
2017,Karlstad - Vanersborgs IF,1.21,1,1
2017,Vargarda IK - Skoftebyns,1.41,1,0
2017,Gauthiod - Lerums IS,1.14,1,1
2017,Vanersborgs FK - FBK Karlstad,1.26,1,2
2017,Nordvarmland - Trollhattan,1.47,2,2
2017,Skoftebyns - Lerums IS,1.3,1,1
2017,Gauthiod - FBK Karlstad,1.27,1,1
2017,Vargarda IK - Lidkopings FK,1.23,1,1
2017,FBK Karlstad - Karlstad,1.41,2,2
2017,Karlstad - Uddevalla,1.37,1,2
2017,Nordvarmland - Vanersborgs FK,1.5,2,2
2017,Grebbestads - Stenungsunds,1.26,1,1
2017,Vargarda IK - Lerums IS,1.17,1,1
2017,Karlstad - Nordvarmland,1.19,1,1
2017,Skoftebyns - Grebbestads,1.46,2,2
2017,Uddevalla - Skoftebyns,1.49,1,1
2017,Trollhattan - Stenungsunds,1.42,1,1
2016,Linkoping City - Hudiksvalls,1.45,1,0
2016,Skovde AIK - Lidkopings FK,1.24,1,1
2016,Uddevalla - Lidkopings FK,1.42,1,1
2016,Kortedala - Kumla,1.33,2,2
2016,Skovde AIK - Orebro Syr.,1.31,1,1
2016,Vanersborgs FK - Kortedala,1.1,1,1
2016,Grebbestads - Kortedala,1.12,1,1
2016,Skovde AIK - Stenungsunds,1.43,1,1
2016,Uddevalla - Rynninge,1.45,1,1
2016,Kortedala - Gauthiod,1.34,2,2
2016,Skovde AIK - Kortedala,1.16,1,1
2016,Karlstad - Lidkopings FK,1.5,1,1
2016,Linkoping City - Hudiksvalls,1.45,1,0
2016,Skovde AIK - Lidkopings FK,1.24,1,1
2016,Uddevalla - Lidkopings FK,1.42,1,1
2016,Kortedala - Kumla,1.33,2,2
2016,Skovde AIK - Orebro Syr.,1.31,1,1
2016,Vanersborgs FK - Kortedala,1.1,1,1
2016,Grebbestads - Kortedala,1.12,1,1
2016,Skovde AIK - Stenungsunds,1.43,1,1
2016,Uddevalla - Rynninge,1.45,1,1
2016,Kortedala - Gauthiod,1.34,2,2
2016,Skovde AIK - Kortedala,1.16,1,1
2016,Karlstad - Lidkopings FK,1.5,1,1
2016,Linkoping City - Hudiksvalls,1.45,1,0
2016,Skovde AIK - Lidkopings FK,1.24,1,1
2016,Uddevalla - Lidkopings FK,1.42,1,1
2016,Kortedala - Kumla,1.33,2,2
2016,Skovde AIK - Orebro Syr.,1.31,1,1
2016,Vanersborgs FK - Kortedala,1.1,1,1
2016,Grebbestads - Kortedala,1.12,1,1
2016,Skovde AIK - Stenungsunds,1.43,1,1
2016,Uddevalla - Rynninge,1.45,1,1
2016,Kortedala - Gauthiod,1.34,2,2
2016,Skovde AIK - Kortedala,1.16,1,1
2016,Karlstad - Lidkopings FK,1.5,1,1
2016,Linkoping City - Hudiksvalls,1.45,1,0
